Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20201004,11:00,11:12
1,2,26,20201004,11:19,11:29
1,3,67,20201004,11:31,11:41
1,4,94,20201004,11:45,11:55
1,5,120,20201004,11:57,12:08
1,6,175,20201004,12:10,12:20
1,7,280,20201004,12:22,12:32
1,8,437,20201004,12:38,12:48
1,9,652,20201004,12:50,13:00
1,10,733,20201004,13:02,13:12
2,1,0,20201004,16:34,16:46
2,2,26,20201004,16:50,17:01
2,3,67,20201004,17:03,17:13
2,4,94,20201004,17:15,17:25
2,5,120,20201004,17:28,17:40
2,6,175,20201004,17:42,17:53
2,7,280,20201004,17:55,18:05
2,8,437,20201004,18:10,18:24
2,9,652,20201004,18:26,18:38
2,10,733,20201004,18:44,18:55
3,1,0,20200105,09:11,09:24
3,2,26,20200105,09:26,09:36
3,3,67,20200105,09:41,09:53
3,4,94,20200105,09:58,10:10
3,5,120,20200105,10:12,10:23
3,6,175,20200105,10:25,10:35
3,7,280,20200105,10:37,10:48
3,8,437,20200105,10:52,11:03
3,9,652,20200105,11:05,11:18
3,10,733,20200105,11:21,11:32
4,1,0,20200105,14:20,14:31
4,2,26,20200105,14:33,14:46
4,3,67,20200105,14:48,15:04
4,4,94,20200105,15:06,15:16
4,5,120,20200105,15:18,15:28
4,6,175,20200105,15:31,15:44
4,7,280,20200105,15:46,15:56
4,8,437,20200105,16:04,16:14
4,9,652,20200105,16:16,16:27
4,10,733,20200105,16:29,16:40
5,1,0,20200106,10:16,10:26
5,2,67,20200106,10:28,10:39
5,3,94,20200106,10:41,10:51
5,4,120,20200106,10:53,11:03
5,5,175,20200106,11:05,11:15
5,6,280,20200106,11:17,11:27
5,7,437,20200106,11:33,11:43
5,8,652,20200106,11:45,11:55
5,9,733,20200106,11:57,12:11
5,10,835,20200106,12:17,12:27
6,1,0,20200106,16:04,16:14
6,2,67,20200106,16:16,16:27
6,3,94,20200106,16:29,16:39
6,4,120,20200106,16:41,16:51
6,5,175,20200106,17:02,17:13
6,6,280,20200106,17:16,17:27
6,7,437,20200106,17:32,17:42
6,8,652,20200106,17:44,17:57
6,9,733,20200106,17:59,18:09
6,10,835,20200106,18:14,18:24
7,1,0,20200107,09:41,09:53
7,2,67,20200107,09:55,10:12
7,3,94,20200107,10:14,10:24
7,4,120,20200107,10:26,10:36
7,5,175,20200107,10:38,10:48
7,6,280,20200107,10:50,11:01
7,7,437,20200107,11:05,11:20
7,8,652,20200107,11:22,11:32
7,9,733,20200107,11:34,11:44
7,10,835,20200107,11:48,11:58
8,1,0,20200107,14:55,15:05
8,2,67,20200107,15:07,15:17
8,3,94,20200107,15:19,15:29
8,4,120,20200107,15:31,15:41
8,5,175,20200107,15:44,15:54
8,6,280,20200107,15:56,16:06
8,7,437,20200107,16:10,16:20
8,8,652,20200107,16:22,16:32
8,9,733,20200107,16:34,16:44
8,10,833,20200107,16:48,16:58
9,1,0,20200108,09:18,09:31
9,2,67,20200108,09:33,09:45
9,3,94,20200108,09:47,09:57
9,4,120,20200108,09:59,10:12
9,5,175,20200108,10:14,10:24
9,6,280,20200108,10:26,10:36
9,7,437,20200108,10:41,10:51
9,8,652,20200108,10:53,11:04
9,9,733,20200108,11:06,11:16
9,10,833,20200108,11:19,11:29
10,1,0,20200108,14:20,14:30
10,2,67,20200108,14:32,14:44
10,3,94,20200108,14:46,14:56
10,4,120,20200108,14:58,15:08
10,5,175,20200108,15:10,15:20
10,6,280,20200108,15:22,15:34
10,7,437,20200108,15:39,15:49
10,8,652,20200108,15:51,16:01
10,9,733,20200108,16:03,16:13
10,10,833,20200108,16:19,16:30
11,1,0,20200109,15:15,15:25
11,2,67,20200109,15:27,15:37
11,3,94,20200109,15:39,15:49
11,4,120,20200109,15:51,16:03
11,5,175,20200109,16:05,16:18
11,6,280,20200109,16:20,16:31
11,7,437,20200109,16:33,16:45
11,8,652,20200109,16:47,16:57
11,9,733,20200109,16:59,17:09
11,10,833,20200109,17:14,17:25
12,1,0,20200110,09:25,09:35
12,2,67,20200110,09:37,09:47
12,3,94,20200110,09:49,09:59
12,4,120,20200110,10:01,10:11
12,5,175,20200110,10:13,10:23
12,6,280,20200110,10:26,10:36
12,7,437,20200110,10:40,10:50
12,8,652,20200110,10:52,11:15
12,9,733,20200110,11:17,11:27
12,10,833,20200110,11:31,11:41
13,1,0,20200110,14:14,14:24
13,2,67,20200110,14:27,14:39
13,3,94,20200110,14:41,14:51
13,4,120,20200110,14:53,15:04
13,5,175,20200110,15:06,15:16
13,6,280,20200110,15:18,15:28
13,7,437,20200110,15:34,15:44
13,8,652,20200110,15:46,15:56
13,9,733,20200110,15:58,16:08
13,10,833,20200110,16:12,16:22
14,1,0,20200111,08:07,08:17
14,2,67,20200111,08:19,08:29
14,3,94,20200111,08:31,08:41
14,4,120,20200111,08:43,08:54
14,5,175,20200111,08:56,09:06
14,6,280,20200111,09:08,09:18
14,7,437,20200111,09:22,09:32
14,8,652,20200111,09:34,09:44
14,9,733,20200111,09:46,09:56
14,10,833,20200111,10:00,10:12
15,1,0,20200111,12:55,13:05
15,2,67,20200111,13:07,13:23
15,3,94,20200111,13:25,13:35
15,4,120,20200111,13:37,13:47
15,5,175,20200111,13:49,13:59
15,6,280,20200111,14:01,14:11
15,7,437,20200111,14:15,14:25
15,8,652,20200111,14:27,14:37
15,9,733,20200111,14:39,14:49
15,10,833,20200111,14:55,15:05
