SampleID,TA,Mass,Salinity
JUNK 1,1556.042717,59.872,35
POR-224_20201102_2,1982.241031,59.795,38.53
Initial2_20201102_2,2070.523004,60.014,38.55
ACR-225_20201103_3,2272.051437,59.752,38.64
POR-221_20201103_3,2233.261461,60.259,38.76
POC-259_20201103_4,2135.601687,60.289,38.67
ACR-389_20201104_6,2340.146366,59.756,38.73
POC-372_20201104_6,2226.120918,60.127,38.66
POC-366_20201104_5,2042.308183,60.216,38.73
