SampleID,TA,Mass,Salinity
JUNK 1,2446.892464,59.876,35
POR-251_20201103_4,2293.292242,59.387,39.29
Initial1_20201104_6,2342.073978,59.896,39.22
POR-262_20201103_4,2266.244573,60.434,39.26
Initial1_20201104_5,2343.472578,60.971,39.27
POR-338_20201104_5,2288.888055,60.698,39.16
POR-245_20201103_3,2261.054367,60.193,39.18
POR-354_20201104_6,2296.805218,59.555,39.08
BK-5_20201104_5,2347.685996,60.532,39.23
