SampleID,TA,Mass,Salinity
JUNK 1,2470.811032,59.913,35
Initial1_20201105_7,2375.621104,59.944,38.74
POR-362_20201105_7,2241.103602,59.764,38.51
POC-386_20201105_7,2316.371182,59.829,38.5
ACR-244_20201102_1,2278.364669,60.471,38.31
POR-383_20201105_8,2317.132536,59.813,38.47
ACR-237_20201102_1,2158.403012,60.309,38.53
ACR-229_20201103_3,2288.220377,60.121,38.51
Initial1_20201103_4,2350.701543,59.984,38.65
