colony_id,homog_vol_ml,notes,date_airbrushed
POR-71,32.5,,20200922
ACR-145,17.5,,20200922
POC-47,27.5,,20200922
POR-82,70,between two 50 mL falcon tubes,20200922
POR-79,67.5,between two 50 mL falcon tubes,20200922
POR-69,55,between two 50 mL falcon tubes,20200922
ACR-190,24,,20200922
ACR-173,37.5,,20200922
POC-40,50,,20200922
ACR-140,16.5,,20200922
ACR-178,32.5,,20200922
ACR-139,32.5,,20200922
POR-70,60,between two 50 mL falcon tubes,20200922
POC-44,22.5,,20200923
ACR-213,17.5,,20200924
POR-224,30,,20200924
POC-68,19,,20200924
POR-74,46.5,"aliqout step, spun down twice (3 min x 30 rpm) as it was very dark after first spin",20200924
POR-80,50,,20200924
ACR-237,15,,20200924
ACR-150,22.5,,20200924
POC-259,7.5,,20200924
POC-205,18.5,,20200924
ACR-265,12.5,,20200924
POR-216,32.5,,20200924
POR-73,45,,20200924
POC-239,21,,20200924
POC-222,21.5,,20200924
ACR-218,15,,20200924
POR-251,67.5,between two 50 mL falcon tubes,20200924
POC-257,27.5,,20200924
POC-238,22.5,,20200924
POR-245,45,,20200924
POC-366,36,,20200924
ACR-210,14,,20200924
ACR-175,15,,20200924
POC-48,25,,20200925
POR-76,38,,20200925
POC-55,19.5,,20200925
POR-83,41.5,,20200925
ACR-186,22.5,,20200925
POR-72,42.5,,20200925
POC-207,21,,20200925
POR-242,86.5,between two 50 mL falcon tubes,20200925
POC-45,28.5,,20200925
POC-52,22.5,,20200925
POR-81,43,,20200925
POC-377,14,,20200925
POR-260,32,,20200925
ACR-244,9,,20200925
POC-57,14.5,,20200925
POC-53,26.5,,20200925
POC-200,42.5,,20200925
POC-201,20,,20200925
POC-248,17.5,,20200925
POR-209,45,,20200925
POR-262,35,,20200925
POR-214,50,,20200925
POR-253,42.5,,20200925
ACR-241,17.5,,20200925
POC-219,22.5,,20200925
ACR-225,10,,20200925
POR-240,37,,20200925
POC-375,15,,20200925
POR-381,40,,20200925
POC-254,22.5,,20200925
ACR-229,10,,20200925
ACR-220,15,,20200925
ACR-364,15,,20200925
POC-255,27.5,,20200925
POC-391,25,,20200925
POC-372,45,,20200926
POC-42,10,,20200926
POR-385,38,,20200926
POR-354,35,,20200926
POR-340,55,between two 50 mL falcon tubes,20200926
POR-383,50,,20200926
POR-355,37,,20200926
POC-369,57,between two 50 mL falcon tubes,20200926
POR-384,58.5,between two 50 mL falcon tubes,20200926
POC-395,37.5,,20200926
POR-338,29,,20200926
POC-359,30,,20200926
POR-365,30,,20200926
POR-341,37.5,,20200926
POR-353,15,,20200926
POR-357,30,,20200926
POR-367,22.5,,20200926
POC-371,16,,20200926
POC-358,20,,20200926
POR-75,30,,20200926
POR-362,28,,20200926
POC-378,23,,20200926
POC-43,12.5,,20200926
POR-349,37,,20200926
POC-386,40,,20200926
POR-221,25,,20200926
ACR-343,17.5,,20200926
POC-373,50,,20200926
