Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
1,POR_338,,,,
2,POR_387,,,,
3,POR_365,,,,
4,POR_354,,,,
5,POR_341,,,,
6,POC_57,,,,
7,POC_391,,,,
8,ACR_220,,,,
9,POR_353,,,,
10,POC_395,,,,
11,POC_42,,,,
12,POC_378,,,,
13,POC_255,,,,
14,POR_387,,,,
15,POR_367,,,,
16,POR_355,,,,
17,POR_383,,,,
18,POR_75,,,,
19,POC_391,,,,
20,POR_251,,,,
21,POR_384,,,,
22,POC_43,,,,
23,POR_362,,,,
24,POC_255,,,,
25,POC_48,,,,
26,NA,,,,
27,POR_349,,,,
28,POC_48,,,,
29,POC_358,,,,
30,POC_386,,,,
31,POR_354,,,,
32,POC_372,,,,
33,ACR_220,,,,
34,POR_72,,,,
35,POR_209,,,,
36,POC_369,,,,
37,POC_358,,,,
38,POR_254,,,,
39,ACR_241,,,,
40,ACR_241,,,,
41,POR_349,,,,
42,POR_383,,,,
43,POC_57,,,,
44,POC_395,,,,
45,POC_359,,,,
46,POC_359,,,,
47,POR_340,,,,
48,POR_384,,,,
49,POR_353,,,,
50,POC_386,,,,
51,POC_371,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
