Well,562:562
A1,0.085
B1,0.658
C1,0.712
D1,2.067
E1,0.754
F1,0.548
G1,0.798
H1,0.976
A2,0.087
B2,0.622
C2,0.671
D2,2.002
E2,0.749
F2,0.513
G2,0.739
H2,0.945
A3,0.847
B3,1.468
C3,1.222
D3,0.344
E3,0.832
F3,0.675
G3,0.854
H3,2.111
A4,0.855
B4,1.434
C4,1.119
D4,0.329
E4,0.833
F4,0.67
G4,0.829
H4,2.104
A5,2.662
B5,0.934
C5,1.964
D5,0.478
E5,0.499
F5,1.523
G5,0.586
H5,1.997
A6,2.693
B6,0.892
C6,1.899
D6,0.413
E6,0.475
F6,1.477
G6,0.601
H6,1.977
A7,1.052
B7,2.536
C7,0.617
D7,0.572
E7,1.992
F7,0.747
G7,1.148
H7,2.191
A8,1.008
B8,2.49
C8,0.503
D8,0.567
E8,1.903
F8,0.656
G8,1.139
H8,2.165
A9,2.37
B9,0.72
C9,0.721
D9,1.626
E9,0.772
F9,0.764
G9,0.6
H9,0.569
A10,2.301
B10,0.655
C10,0.695
D10,1.546
E10,0.72
F10,0.683
G10,0.554
H10,0.572
A11,0.887
B11,0.939
C11,0.987
D11,0.62
E11,0.887
F11,1.163
G11,1.171
H11,0.429
A12,0.861
B12,0.865
C12,0.902
D12,0.606
E12,0.881
F12,1.173
G12,1.179
H12,0.419
