Well,562:562
A1,2.252
B1,0.276
C1,1.124
D1,1.359
E1,0.393
F1,0.934
G1,0.814
H1,1.661
A2,2.197
B2,0.271
C2,1.082
D2,1.324
E2,0.399
F2,0.881
G2,0.805
H2,1.574
A3,1.908
B3,0.115
C3,0.773
D3,1.043
E3,0.081
F3,0.881
G3,0.48
H3,1.407
A4,1.885
B4,0.115
C4,0.762
D4,1.128
E4,0.08
F4,0.868
G4,0.458
H4,1.405
A5,1.361
B5,0.08
C5,0.616
D5,0.843
E5,1.021
F5,0.998
G5,1.248
H5,1.943
A6,1.272
B6,0.08
C6,0.621
D6,0.814
E6,1.039
F6,0.994
G6,1.163
H6,1.974
A7,1.122
B7,0.404
C7,1.02
D7,0.721
E7,1.145
F7,0.926
G7,0.883
H7,0.686
A8,1.105
B8,0.386
C8,1.026
D8,0.705
E8,1.149
F8,0.918
G8,0.721
H8,0.654
A9,0.798
B9,0.968
C9,2.046
D9,0.555
E9,2.371
F9,0.681
G9,1.566
H9,1.865
A10,0.801
B10,0.951
C10,1.815
D10,0.581
E10,2.364
F10,0.713
G10,1.485
H10,1.864
A11,0.461
B11,0.516
C11,0.867
D11,0.895
E11,0.494
F11,0.975
G11,1.081
H11,0.758
A12,0.462
B12,0.52
C12,0.912
D12,0.918
E12,0.504
F12,0.905
G12,1.078
H12,0.778
