colony_id,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Average Per Square,Std.Dev. Per square,CV
POC-52,5,105,110,126,104,107,111,,,,KW,,,
POC-53,8,121,134,130,139,122,136,,,,KW,,,
POR-75,2,154,165,146,157,166,149,,,,KW,,,
POR-72,2,122,124,133,139,124,131,,,,KW,,,
POR-83,2,182,185,181,188,193,181,,,,KW,,,
POC-41,4,155,139,148,133,143,165,,,,KW,,,
POC-57,8,137,126,149,128,136,147,,,,KW,,,
ACR-51,2,151,152,161,170,158,167,,,,KW,,,
POR-74,2,137,159,161,137,121,152,,,,KW,,,
POR-82,2,142,141,135,156,138,128,,,,KW,,,
POC-43,9,112,123,145,134,151,149,,,,KW,,,
ACR-190,2,337,313,299,308,292,296,,,,KW,,,
POR-70,2,216,195,198,211,181,194,,,,KW,,,
POR-78,2,215,227,192,196,206,183,,,,KW,,,
POR-81,2,128,111,133,109,112,106,,,,KW,,,
POR-76,2,183,190,211,211,199,190,,,,KW,,,
POC-56,4,173,168,193,200,193,176,,,,KW,,,
POC-47,9,58,74,82,86,67,57,,,,KW,,,
ACR-140,2,240,242,232,233,239,231,,,,KW,,,
POC-55,4,145,153,168,170,153,155,,,,KW,,,
POC-40,4,105,96,113,104,119,114,,,,KW,,,
POR-79,4,231,230,237,244,227,241,,,,KW,,,
POC-45,9,77,71,68,73,89,82,,,,KW,,,
POR-80,2,136,124,128,152,160,147,,,,KW,,,
POC-44,5,102,100,82,93,115,105,,,,KW,,,
ACR-145,2,279,273,269,272,277,260,,,,KW,,,
POR-77,2,192,199,177,170,172,187,,,,KW,,,
POR-69,2,145,139,128,135,132,136,,,,KW,,,
POR-71,2,121,119,130,118,122,135,,,,KW,,,
ACR-139,2,187,159,163,170,186,174,,,,KW,,,
ACR-178,2,208,211,213,205,221,212,,,,KW,,,
POR-221,8,130,117,153,138,158,154,,,,KW,,,
POC-372,9,112,114,124,128,135,132,,,,KW,,,
ACR-350,3,144,157,164,165,166,148,,,,KW,,,
POC-205,9,180,149,144,184,148,185,,,,KW,,,
POR-340,3,116,100,108,119,114,110,,,,KW,,,
POR-349,2,148,138,120,126,135,130,,,,KW,,,
POC-50,3,154,148,161,133,123,157,,,,KW,,,
POC-68,9,130,135,123,152,157,143,,,,KW,,,
POC-48,3,142,123,135,119,114,121,,,,KW,,,
ACR-173,2,156,157,149,156,157,146,,,,KW,,,
POC-42,4,137,165,121,140,167,163,,,,KW,,,
POC-386,4,117,140,123,124,138,144,,,,KW,,,
POR-354,2,141,145,140,121,125,122,,,,KW,,,
POR-73,2,179,139,171,168,177,166,,,,KW,,,
ACR-150,2,331,306,374,298,264,275,265,297,,KW,,,
POR-338,3,126,115,140,128,122,136,,,,KW,,,
POC-377,4,128,126,134,132,122,117,,,,KW,,,
POC-346,5,121,109,125,115,133,113,,,,KW,,,
ACR-186,2,162,147,136,136,172,135,,,,KW,,,
POC-366,9,74,75,92,94,90,81,,,,KW,,,
POC-375,3,140,157,169,131,151,138,,,,KW,,,
POR-266,4,103,94,101,91,103,96,,,,KW,,,
POR-385,3,163,162,149,159,147,146,,,,KW,,,
ACR-393,2,164,182,147,166,173,161,,,,KW,,,
POC-369,6,103,95,95,105,103,113,,,,KW,,,
POR-209,4,113,117,99,101,114,109,,,,KW,,,
ACR-396,2,196,169,174,178,161,171,,,,KW,,,
ACR-343,2,203,217,221,199,217,199,,,,KW,,,
POR-384,4,131,121,110,112,130,111,,,,KW,,,
POR-214,4,141,144,142,143,163,159,,,,KW,,,
POC-201,3,152,155,123,166,140,128,,,,KW,,,
POC-255,6,124,109,99,106,129,106,,,,KW,,,
ACR-225,4,132,125,151,150,153,121,,,,KW,,,
ACR-237,2,262,254,274,239,238,256,,,,KW,,,
ACR-265,2,391,388,334,323,369,333,,,,KW,,,
POR-355,2,126,120,104,109,115,125,,,,KW,,,
POC-219,4,162,151,152,181,146,142,,,,KW,,,
POR-216,2,185,166,154,163,150,158,,,,KW,,,
POR-242,5,114,125,121,130,138,121,,,,KW,,,
POC-254,9,124,109,127,104,135,118,,,,KW,,,
ACR-351,2,164,169,142,171,163,143,,,,KW,,,
POC-378,4,107,125,121,133,134,146,,,,KW,,,
POC-371,5,110,124,130,125,132,116,,,,KW,,,
POC-395,4,107,126,101,97,117,110,,,,KW,,,
POR-381,4,150,134,169,137,167,144,,,,KW,,,
POR-357,2,132,128,128,110,112,115,,,,KW,,,
POR-365,3,160,168,138,158,157,148,,,,KW,,,
POC-238,4,168,159,148,140,171,150,,,,KW,,,
POC-391,5,115,113,124,121,130,119,,,,KW,,,
ACR-364,2,207,178,183,173,208,214,,,,KW,,,
POR-341,2,151,125,129,132,135,131,,,,KW,,,
ACR-347,3,178,166,154,168,176,176,,,,KW,,,
POC-373,9,116,103,122,115,135,118,,,,KW,,,
POR-383,2,146,129,133,138,128,124,,,,KW,,,
POR-235,2,217,192,194,199,222,198,,,,KW,,,
ACR-229,2,127,129,139,131,128,138,,,,KW,,,
POC-215,6,125,153,163,125,128,135,,,,KW,,,
POC-248,4,143,127,138,137,134,126,,,,KW,,,
POR-245,2,168,169,171,154,180,148,,,,KW,,,
POC-222,3,129,119,108,105,109,114,,,,KW,,,
POC-207,6,124,111,113,110,99,122,,,,KW,,,
POC-200,3,161,153,135,166,150,129,,,,KW,,,
ACR-244,2,350,315,319,363,311,355,,,,KW,,,
POC-257,5,133,156,168,141,171,141,,,,KW,,,
ACR-258,2,233,218,229,220,216,208,,,,KW,,,
POR-253,9,114,117,135,142,154,127,,,,KW,,,
POR-240,6,115,118,121,135,139,119,,,,KW,,,
POR-236,2,133,129,150,154,136,150,,,,KW,,,
POC-259,9,115,112,91,93,113,118,,,,KW,,,
POR-260,2,202,196,219,187,215,186,,,,KW,,,
POC-217,4,152,132,138,130,157,135,,,,KW,,,
POC-239,4,182,152,153,149,164,161,,,,KW,,,
POR-206,4,153,138,140,166,152,137,,,,KW,,,
POR-224,4,119,107,121,115,103,108,,,,KW,,,
POR-262,2,173,155,162,148,180,149,,,,KW,,,
ACR-360,2,193,204,220,190,213,209,,,,KW,,,
POR-367,2,180,181,160,158,162,152,,,,KW,,,
ACR-368,2,184,154,188,155,176,153,,,,KW,,,
POR-353,3,124,102,129,123,115,123,,,,KW,,,
POC-359,2,120,134,117,123,112,110,,,,KW,,,
POC-394,2,168,170,154,176,183,164,,,,KW,,,
