"Plot Title: 20715883"
"#","Date Time, GMT-10:00","High Range, μS/cm","Temp, °C","Specific Conductance, μS/cm","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,10/24/19 05:00:00 PM,53676.5,27.48,63149.6,Logged,,,
2,10/24/19 05:10:00 PM,52727.2,27.54,61957.2,,,,
3,10/24/19 05:20:00 PM,52184.9,27.53,61332.4,,,,
4,10/24/19 05:30:00 PM,51809.5,27.51,60916.0,,,,
5,10/24/19 05:40:00 PM,51520.3,27.50,60588.2,,,,
6,10/24/19 05:50:00 PM,51301.6,27.47,60367.8,,,,
7,10/24/19 06:00:00 PM,51179.2,27.46,60236.0,,,,
8,10/24/19 06:10:00 PM,50922.2,27.43,59970.0,,,,
9,10/24/19 06:20:00 PM,50841.5,27.41,59899.3,,,,
10,10/24/19 06:30:00 PM,50613.8,27.39,59655.3,,,,
11,10/24/19 06:40:00 PM,50447.3,27.36,59495.4,,,,
12,10/24/19 06:50:00 PM,50354.5,27.33,59422.2,,,,
13,10/24/19 07:00:00 PM,50156.4,27.30,59224.5,,,,
14,10/24/19 07:10:00 PM,50090.6,27.25,59207.1,,,,
15,10/24/19 07:20:00 PM,49992.2,27.23,59114.9,,,,
16,10/24/19 07:30:00 PM,49913.7,27.19,59070.2,,,,
17,10/24/19 07:40:00 PM,49718.2,27.14,58898.9,,,,
18,10/24/19 07:50:00 PM,49692.3,27.13,58880.2,,,,
19,10/24/19 08:00:00 PM,49705.3,27.19,58823.6,,,,
20,10/24/19 08:10:00 PM,49608.0,27.30,58577.0,,,,
21,10/24/19 08:20:00 PM,49640.4,27.37,58531.8,,,,
22,10/24/19 08:30:00 PM,49562.7,27.45,58345.3,,,,
23,10/24/19 08:40:00 PM,49395.1,27.41,58195.2,,,,
24,10/24/19 08:50:00 PM,49440.1,27.36,58307.5,,,,
25,10/24/19 09:00:00 PM,49247.5,27.30,58151.3,,,,
26,10/24/19 09:10:00 PM,49158.0,27.26,58092.9,,,,
27,10/24/19 09:20:00 PM,49062.4,27.20,58050.9,,,,
28,10/24/19 09:30:00 PM,48992.5,27.16,58015.5,,,,
29,10/24/19 09:40:00 PM,48941.7,27.13,57990.8,,,,
30,10/24/19 09:50:00 PM,48884.7,27.17,57876.0,,,,
31,10/24/19 10:00:00 PM,48903.7,27.29,57757.1,,,,
32,10/24/19 10:10:00 PM,48897.4,27.36,57667.5,,,,
33,10/24/19 10:20:00 PM,48878.4,27.37,57633.3,,,,
