BOTTLES LEFT TO-DO,,,,,,,,
Timepoint,Month,colony_id,Date on Bottle,Titration Date,Tech,Mass (g),Salinity (psu),50 mL Falcon?
1,January,ACR-247,20200104,,,,,
1,January,POC-219,20200104,20220310,ELS,,,No
1,January,POR-242,20200104,20220310,ELS,,,No
1,January,ACR-243,20200104,,,,,
1,January,BK-1,20200104,,,,,
1,January,POR-262,20200104,20220310,ELS,,,No
1,January,POR-214,20200104,20220310,ELS,,,No
1,January,POR-221,20200104,,,,,
1,January,POC-254,20200104,20220310,ELS,,,No
1,January,POC-239,20200104,20220310,ELS,,,No
1,January,ACR-256,20200104,20220310,ELS,,,No
1,January,ACR-267,20200104,20220310,ELS,,,No
1,January,ACR-244,20200104,,,,,
1,January,POC-248,20200104,,,,,
1,January,POC-201,20200104,20220314,ES PH,,,No
1,January,POR-236,20200104,,,,,
1,January,POR-235,20200104,,,,,
1,January,POC-255,20200104,20220314,ES PH,,,No
1,January,ACR-228,20200104,20220310,ELS,,,No
1,January,BK-2,20200104,,,,,
1,January,POR-266,20200105,,,,,
1,January,ACR-234,20200105,20220314,ES PH,,,No
1,January,ACR-258,20200105,,,,,
1,January,POC-259,20200105,,,,,
1,January,POR-209,20200105,,,,,
1,January,ACR-229,20200105,20220314,ES PH,,,No
1,January,POR-245,20200105,,,,,
1,January,POC-238,20200105,20220314,ES PH,,,No
1,January,POC-217,20200105,,,,,
1,January,BK-3,20200105,20220314,ES PH,,,No
1,January,POR-253,20200105,,,,,
1,January,POC-200,20200105,,,,,
1,January,ACR-231,20200105,,,,,
1,January,POR-240,20200105,,,,,
1,January,POR-224,20200105,,,,,
1,January,POC-205,20200105,,,,,
1,January,ACR-246,20200105,,,,,
1,January,ACR-265,20200105,,,,,
1,January,POC-207,20200105,,,,,
1,January,BK-4,20200105,,,,,
1,January,POR-261,20200106,,,,,
1,January,ACR-237,20200106,,,,,
1,January,BK-5_1,20200106,,,,,
1,January,POC-222,20200106,,,,,
1,January,BK-5_2,20200106,,,,,
1,January,POR-260,20200106,,,,,
1,January,ACR-225,20200106,,,,,
1,January,POR-251,20200106,,,,,
