Bottle Labels Format:  Date; Timepoint Number; Run; Sample ID,,,,,,,,,,,,,,
Bottle Label Example: 20200909; TP3; Run #1; Initial1,,,,,,,,,,,,,,
Bottle Label Example: 20200909; TP3; Run #1; POC-386,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total bottles in Mo'orea to bring back: 226,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Initial Samples for TP3 ,,,,,,,,,,,,,,
Date,Run.Number,Type,Timepoint,Location,,,,,,,,,,
20200909,1,Initial,3,URI,,,,,,,,,,
20200909,1,Initial,3,URI,,,,,,,,,,
20200909,2,Initial,3,URI,,,,,,,,,,
20200909,2,Initial,3,URI,,,,,,,,,,
20200912,3,Initial,3,URI,,,,,,,,,,
20200912,3,Initial,3,URI,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Samples Taken Per Each Run for TP3 (27 samples brought back to URI, 83 samples left in Mo'orea) (n = 83 to bring back) (do not bring back duplicates)",,,,,,,,,,,,,,
Date,Run.Number,Species,Fragment.ID,Plug.ID,Site,Timepoint,Location,,,,,,,
20200909,1,Pocillopora,POC-386,386,3,3,URI,,,,,,,
20200909,1,Porites,POR-353,353,3,3,URI,,,,,,,
20200909,1,BK-1,BK-1,BK-1,3,3,URI,,,,,,,
20200909,1,Porites,POR-357,357,3,3,URI,,,,,,,
20200909,1,Pocillopora,POC-359,359,3,3,URI,,,,,,,
20200909,1,Pocillopora,POC-371,371,3,3,Mo'orea,,,,,,,
20200909,1,Pocillopora,POC-372,372,3,3,URI,,,,,,,
20200909,1,Pocillopora,POC-358,358,3,3,URI,,,,,,,
20200909,1,Pocillopora,POC-365,365,3,3,URI,,,,,,,
20200909,1,Pocillopora,POC-367,367,3,3,URI,,,,,,,
20200909,2,Porites,POR-355,355,3,3,URI,,,,,,,
20200909,2,Porites,POR-341,341,3,3,URI,,,,,,,
20200909,2,BK-2,BK-2,BK-2,3,3,URI,,,,,,,
20200909,2,Pocillopora,POC-378,378,3,3,URI,,,,,,,
20200909,2,Pocillopora,POC-369,369,3,3,URI,,,,,,,
20200909,2,Pocillopora,POC-395,395,3,3,URI,,,,,,,
20200909,2,Porites,POR-384,384,3,3,URI,,,,,,,
20200909,2,Porites,POR-383,383,3,3,URI,,,,,,,
20200909,2,Porites,POR-338,338,3,3,URI,,,,,,,
20200909,2,Porites,POR-349,349,3,3,URI,,,,,,,
20200912,3,Porites,POR-354,354,3,3,URI,,,,,,,
20200912,3,Porites,POR-340,340,3,3,URI,,,,,,,
20200912,3,Porites,POR-387,387,3,3,URI,,,,,,,
20200912,3,Pocillopora,POC-391,391,3,3,URI,,,,,,,
20200912,3,Acropora,ACR-364,364,3,3,Mo'orea,,,,,,,
20200912,3,Acropora,ACR-343,343,3,3,URI,,,,,,,
20200912,3,Porites,POR-362,362,3,3,URI,,,,,,,
20200912,3,Porites,POR-381,381,3,3,URI,,,,,,,
20200912,3,Porites,POR-373,373,3,3,URI,,,,,,,
20200912,3,BK-3,BK-3,BK-3,3,3,Mo'orea,,,,,,,
20200912,4,Acropora,ACR-229,229,2,3,Mo'orea,,,,,,,
20200912,4,Pocillopora,POC-255,255,2,3,Mo'orea,,,,,,,
20200912,4,Pocillopora,POC-219,219,2,3,Mo'orea,,,,,,,
20200912,4,Pocillopora,POC-377,377,3,3,Mo'orea,,,,,,,
20200912,4,Acropora,ACR-220,220,2,3,Mo'orea,,,,,,,
20200912,4,Porites,POR-214,214,2,3,Mo'orea,,,,,,,
20200912,4,Porites,POR-209,209,2,3,Mo'orea,,,,,,,
20200912,4,Pocillopora,POC-375,375,3,3,Mo'orea,,,,,,,
20200912,4,Pocillopora,POC-366,366,3,3,Mo'orea,,,,,,,
20200912,4,BK-4,BK-4,BK-4,3,3,Mo'orea,,,,,,,
20200913,5,BK-5,BK-5,BK-5,3,3,Mo'orea,,,,,,,
20200913,5,Pocillopora,POC-200,200,2,3,Mo'orea,,,,,,,
20200913,5,Acropora,ACR-210,210,2,3,Mo'orea,,,,,,,
20200913,5,Porites,POR-240,240,2,3,Mo'orea,,,,,,,
20200913,5,Acropora,ACR-241,241,2,3,Mo'orea,,,,,,,
20200913,5,Pocillopora,POC-222,222,2,3,Mo'orea,,,,,,,
20200913,5,Pocillopora,POC-201,201,2,3,Mo'orea,,,,,,,
20200913,5,Porites,POR-245,245,2,3,Mo'orea,,,,,,,
20200913,5,Acropora,ACR-244,244,2,3,Mo'orea,,,,,,,
20200913,5,Porites,POR-242,242,2,3,Mo'orea,,,,,,,
20200913,6,BK-6,BK-6,BK-6,2,3,Mo'orea,,,,,,,
20200913,6,Porites,POR-251,251,2,3,Mo'orea,,,,,,,
20200913,6,Porites,POR-262,262,2,3,Mo'orea,,,,,,,
20200913,6,Porites,POR-253,253,2,3,Mo'orea,,,,,,,
20200913,6,Pocillopora,POC-205,205,2,3,Mo'orea,,,,,,,
20200913,6,Acropora,ACR-265,265,2,3,Mo'orea,,,,,,,
20200913,6,Pocillopora,POC-239,239,2,3,Mo'orea,,,,,,,
20200913,6,Acropora,ACR-213,213,2,3,Mo'orea,,,,,,,
20200913,6,Porites,POR-221,221,2,3,Mo'orea,,,,,,,
20200913,6,Pocillopora,POC-248,248,2,3,Mo'orea,,,,,,,
20200914,7,BK-7,BK-7,BK-7,2,3,Mo'orea,,,,,,,
20200914,7,Pocillopora,POC-238,238,2,3,Mo'orea,,,,,,,
