SampleID,TA,Mass,Salinity
JUNK2,2071.425762,60.195,35
BK-4_20200912_4,2342.581415,60.159,37.78
Initial1_20200909_1,2345.173642,59.601,37.69
POR-240_20200913_5,2184.003783,59.791,37.72
