SampleID,TA,Mass,Sample.Index,TA_evap
JUNK 1,2366.192172,59.6992,1,2366.192172
JUNK 2,2323.509311,59.7202,2,2322.18235
ACR-225_20200914_7,2315.556525,59.8001,3,2312.913195
BK-4_20200912_4,2353.592959,59.8394,4,2349.565133
POR-80_20200914_8,2300.963852,59.7662,5,2295.7165
POR-224_20200914_7,2292.690905,60.4517,6,2286.159022
BK-10_20200915_10,2354.515031,60.3043,7,2346.469991
POC-45_20200914_8,2313.63544,59.5629,8,2304.417769
ACR-190_20200915_10,2318.414899,59.5506,9,2307.86466
Initial1_20200915_9,2358.127567,59.7355,10,2346.062105
Initial1_20200914_8,2345.931824,60.1714,11,2332.602666
POC-55_20200915_9,2330.806461,59.8678,12,2316.247193
POC-238_20200914_7,2326.910623,60.0789,13,2311.063331
Initial1_20200914_7,2346.716844,60.0851,14,2329.412636
POR-79_20200915_10,2259.507957,59.8509,15,2241.575354
POR-69_20200916_11,2201.070866,59.8883,16,2182.364881
POR-74_20200916_11,2243.620338,60.0087,17,2223.293087
ACR-150_20200914_8,2302.140931,60.1609,18,2279.992433
POR-72_20200915_10,2292.239515,60.02,19,2268.902235
POC-44_20200915_9,2345.213476,59.5399,20,2320.024637
POR-83_20200915_10,2259.309816,59.7957,21,2233.780891
POC-248_20200913_6,2337.567696,59.9144,22,2309.849502
POC-47_20200915_10,2347.515624,60.3074,23,2318.370396
POC-53_20200915_9,2300.858438,60.0902,24,2271.010866
BK-9_20200915_9,2346.377234,60.2229,25,2314.633686
Initial1_20200915_10,2357.366411,59.84,26,2324.164067
ACR-213_20200913_6,2319.038025,59.7731,27,2285.088144
POC-201_20200913_5,2280.256594,59.9221,28,2245.610039
POR-253_20200913_6,2288.573398,59.8592,29,2252.532872
POR-242_20200913_5,2063.666682,59.8281,30,2030.026247
POC-239_20200913_6,2331.014147,59.6093,31,2291.727392
POC-375_20200912_4,2294.772188,59.6028,32,2254.829494
CRM,2232.431841,59.8275,33,2192.343278
