SampleID,TA,Mass,Sample.Index,TA_evap
JUNK 1,2360.149046,60.0482,1,2360.149046
JUNK 2,2347.326969,60.0307,2,2345.986405
POC-366_20200912_4,2339.664404,60.4108,3,2336.993554
Initial1_20200913_5,2363.88908,60.0473,4,2359.843633
ACR-186_20200915_10,2302.76799,59.9428,5,2297.516524
ACR-140_20200916_11,2344.318958,59.8587,6,2337.639986
POR-71_20200916_11,2271.170088,59.9535,7,2263.409826
POR-251_20200913_6,2215.543527,59.5779,8,2206.71666
POC-48_20200915_9,2328.735381,59.6577,9,2318.138178
POC-57_20200914_8,2342.115279,60.3579,10,2330.131744
POR-73_20200916_11,2273.030045,60.1943,11,2260.115101
POR-221_20200913_6,2280.654954,60.2386,12,2266.408955
Initial1_20200916_11,2350.891644,59.8138,13,2334.881031
ACR-244_20200913_5,2305.212129,60.1405,14,2288.213968
POC-259_20200914_7,2335.428748,59.7525,15,2316.8936
POR-82_20200916_11,2242.789732,60.3408,16,2223.729196
BK-5_20200913_5,2370.051547,60.2492,17,2348.578827
ACR-229_20200912_4,2330.218113,60.2157,18,2307.799489
ACR-241_20200913_5,2317.16678,60.2639,19,2293.575716
Initial2_20200915_9,2366.407094,60.3133,20,2340.990625
POC-205_20200913_6,2347.324095,59.7517,21,2320.800659
ACR-173_20200916_11,2287.242133,59.8397,22,2260.120684
CRM,2248.197514,60.0427,23,2220.285355
