SampleID,TA,Mass,Sample.Index,TA_evap
JUNK 1,2329.222724,59.9009,1,2329.222724
JUNK 2,2309.324463,60.3907,2,2308.005603
ACR-265_20200913_6,2311.92624,60.3983,3,2309.287055
POC-40_20200915_9,2304.699197,59.6919,4,2300.755045
POR-75_20200915_10,2266.897615,59.9771,5,2261.727951
POC-52_20200915_9,2302.834261,59.8449,6,2296.273479
Initial2_20200914_7,2320.097779,60.4887,7,2312.170337
POC-222_20200913_5,2291.329002,60.0259,8,2282.200201
POC-219_20200912_4,2313.088883,60.3524,9,2302.562881
ACR-139_20200915_10,2300.485303,60.1274,10,2288.71477
BK-8_20200914_8,2323.286806,60.0365,11,2310.086313
POR-70_20200916_11,2293.70258,60.0661,12,2279.37508
POR-260_20200914_7,2216.004333,59.9607,13,2200.912363
POR-209_20200912_4,2243.00126,59.9955,14,2226.461829
POR-262_20200913_6,2309.143829,60.1321,15,2290.817291
POR-214_20200912_4,2253.585471,59.8515,16,2234.433187
POR-245_20200913_5,2187.665068,60.0428,17,2167.844773
POC-371_20200909_1,2272.141932,59.9766,18,2250.282049
POC-257_20200914_7,2266.5213,60.0345,19,2243.445857
POR-76_20200914_8,2226.91548,60.4601,20,2202.997224
ACR-210_20200913_5,2266.667393,59.7542,21,2241.055332
ACR-364_20200912_3,2231.661695,59.9025,22,2205.199303
Initial2_20200913_6,2332.678478,60.273,23,2303.717458
ACR-237_20200914_7,2263.221452,60.2248,24,2233.862121
Initial1_20200913_6,2330.260357,60.2292,25,2298.734851
ACR-143_20200916_11,2309.474943,59.7765,26,2276.947127
POC-254_20200914_8,2287.649033,59.7061,27,2254.158675
CRM,2210.220838,60.4262,28,2176.638417
