SampleID,TA,Mass,Sample.Index,TA_evap
JUNK 1,2341.165314,59.8325,1,2341.165314
JUNK 2,2317.088312,60.0034,2,2315.765017
POC-207_20200914_8,2334.990676,59.5757,3,2332.325162
Initial2_20200913_5,2356.13763,59.9884,4,2352.105449
POC-42_20200915_9,2351.202277,59.655,5,2345.840356
BK-11_20200916_11,2354.484509,60.4868,6,2347.776576
Initial1_20200912_3,2347.878679,60.1322,7,2339.856315
POC-377_20200912_4,2329.504633,59.8302,8,2320.223738
BK-7_20200914_7,2340.888578,59.7729,9,2330.23607
ACR-218_20200914_7,2263.035496,60.2002,10,2251.456576
POC-68_20200915_9,2316.764036,60.1294,11,2303.600604
BK-3_20200912_3,2346.753941,59.9889,12,2332.095058
Initial2_20200916_11,2346.249684,60.3172,13,2330.270685
POC-200_20200913_5,2316.281042,60.5494,14,2299.201261
POR-81_20200914_8,2264.843065,60.2914,15,2246.86812
ACR-178_20200915_10,2282.768175,59.5835,16,2263.367879
BK-6_20200913_6,2355.165938,59.813,17,2333.828082
ACR-220_20200912_4,2263.331768,59.8119,18,2241.556647
POR-216_20200914_7,2249.790023,60.0695,19,2226.884921
POC-43_20200915_9,2338.907204,59.7265,20,2313.786097
ACR-175_20200914_8,2324.283355,59.5282,21,2298.020266
POC-255_20200912_4,2328.535536,59.9063,22,2300.924442
Initial2_20200914_8,2346.72626,59.8898,23,2317.590832
CRM,2229.803646,60.0619,24,2200.877823
