"","colony_id","site","species","cells.cm2","timepoint"
"1","ACR-139","site1","Acropora",524512.387612122,"timepoint2"
"2","ACR-140","site1","Acropora",649334.684016547,"timepoint2"
"3","ACR-145","site1","Acropora",948254.269786155,"timepoint2"
"4","ACR-150","site1","Acropora",1825657.71159522,"timepoint2"
"5","ACR-173","site1","Acropora",959206.607233002,"timepoint2"
"6","ACR-178","site1","Acropora",520948.71763283,"timepoint2"
"7","ACR-186","site1","Acropora",626048.249824582,"timepoint2"
"8","ACR-190","site1","Acropora",747101.960287152,"timepoint2"
"9","ACR-225","site2","Acropora",351072.30127037,"timepoint2"
"10","ACR-229","site2","Acropora",491257.740965315,"timepoint2"
"11","ACR-237","site2","Acropora",966718.803355988,"timepoint2"
"12","ACR-244","site2","Acropora",682087.656723252,"timepoint2"
"13","ACR-258","site2","Acropora",866724.979186629,"timepoint2"
"14","ACR-265","site2","Acropora",971663.466427122,"timepoint2"
"15","ACR-343","site3","Acropora",706834.099519218,"timepoint2"
"16","ACR-347","site3","Acropora",268385.241974604,"timepoint2"
"17","ACR-350","site3","Acropora",334538.390405293,"timepoint2"
"18","ACR-351","site3","Acropora",528490.201926053,"timepoint2"
"19","ACR-360","site3","Acropora",780650.897109472,"timepoint2"
"20","ACR-364","site3","Acropora",716629.989476172,"timepoint2"
"21","ACR-368","site3","Acropora",740253.598979189,"timepoint2"
"22","ACR-393","site3","Acropora",627933.148430815,"timepoint2"
"23","ACR-396","site3","Acropora",636175.248284607,"timepoint2"
"24","ACR-51","site1","Acropora",525697.67326615,"timepoint2"
"25","POC-200","site2","Pocillopora",285060.404011063,"timepoint2"
"26","POC-201","site2","Pocillopora",284703.033958777,"timepoint2"
"27","POC-205","site2","Pocillopora",166653.980125203,"timepoint2"
"28","POC-207","site2","Pocillopora",124596.06888337,"timepoint2"
"29","POC-215","site2","Pocillopora",133688.673109723,"timepoint2"
"30","POC-217","site2","Pocillopora",325587.103299727,"timepoint2"
"31","POC-219","site2","Pocillopora",360282.78335028,"timepoint2"
"32","POC-222","site2","Pocillopora",251882.620663134,"timepoint2"
"33","POC-238","site2","Pocillopora",319273.865928017,"timepoint2"
"34","POC-239","site2","Pocillopora",252777.729695392,"timepoint2"
"35","POC-248","site2","Pocillopora",157914.019426643,"timepoint2"
"36","POC-254","site2","Pocillopora",55182.9078373335,"timepoint2"
"37","POC-255","site2","Pocillopora",133387.741802772,"timepoint2"
"38","POC-257","site2","Pocillopora",299147.145812648,"timepoint2"
"39","POC-259","site2","Pocillopora",44649.5062884576,"timepoint2"
"40","POC-346","site3","Pocillopora",147065.06876508,"timepoint2"
"41","POC-359","site3","Pocillopora",462719.422521106,"timepoint2"
"42","POC-366","site3","Pocillopora",112916.523259941,"timepoint2"
"43","POC-369","site3","Pocillopora",139369.697335548,"timepoint2"
"44","POC-371","site3","Pocillopora",153733.446562368,"timepoint2"
"45","POC-372","site3","Pocillopora",47809.5145818919,"timepoint2"
"46","POC-373","site3","Pocillopora",87503.0943386323,"timepoint2"
"47","POC-375","site3","Pocillopora",139579.738041544,"timepoint2"
"48","POC-377","site3","Pocillopora",243758.104981112,"timepoint2"
"49","POC-378","site3","Pocillopora",195616.545126708,"timepoint2"
"50","POC-386","site3","Pocillopora",367331.070129341,"timepoint2"
"51","POC-391","site3","Pocillopora",176042.337027826,"timepoint2"
"52","POC-394","site3","Pocillopora",577509.861603397,"timepoint2"
"53","POC-395","site3","Pocillopora",150201.063480297,"timepoint2"
"54","POC-40","site1","Pocillopora",144748.785206685,"timepoint2"
"55","POC-41","site1","Pocillopora",397658.380213907,"timepoint2"
"56","POC-42","site1","Pocillopora",180336.087768401,"timepoint2"
"57","POC-43","site1","Pocillopora",83017.4953326974,"timepoint2"
"58","POC-44","site1","Pocillopora",148550.360035816,"timepoint2"
"59","POC-45","site1","Pocillopora",119771.237951069,"timepoint2"
"60","POC-47","site1","Pocillopora",68155.1874173712,"timepoint2"
"61","POC-48","site1","Pocillopora",391584.414166051,"timepoint2"
"62","POC-50","site1","Pocillopora",374990.01707467,"timepoint2"
"63","POC-52","site1","Pocillopora",307614.009806269,"timepoint2"
"64","POC-53","site1","Pocillopora",112276.735386063,"timepoint2"
"65","POC-55","site1","Pocillopora",449482.281299842,"timepoint2"
"66","POC-56","site1","Pocillopora",338251.779284809,"timepoint2"
"67","POC-57","site1","Pocillopora",188840.190526726,"timepoint2"
"68","POC-68","site1","Pocillopora",113089.100970828,"timepoint2"
"69","POR-206",NA,NA,1257387.57321288,"timepoint2"
"70","POR-209","site2","Porites",537224.969983715,"timepoint2"
"71","POR-214","site2","Porites",734099.171610133,"timepoint2"
"72","POR-216","site2","Porites",2027073.53098409,"timepoint2"
"73","POR-221","site2","Porites",330959.114439663,"timepoint2"
"74","POR-224","site2","Porites",434993.951503327,"timepoint2"
"75","POR-235","site2","Porites",1659568.45260796,"timepoint2"
"76","POR-236","site2","Porites",1777561.66623981,"timepoint2"
"77","POR-240","site2","Porites",753078.99226844,"timepoint2"
"78","POR-242","site2","Porites",622836.433187763,"timepoint2"
"79","POR-245","site2","Porites",1873166.71480359,"timepoint2"
"80","POR-253","site2","Porites",419184.545314559,"timepoint2"
"81","POR-260","site2","Porites",2277895.30407265,"timepoint2"
"82","POR-262","site2","Porites",2096311.551295,"timepoint2"
"83","POR-266","site2","Porites",610810.596229109,"timepoint2"
"84","POR-338","site3","Porites",1159097.89570014,"timepoint2"
"85","POR-340","site3","Porites",1279730.95181057,"timepoint2"
"86","POR-341","site3","Porites",1417254.48264427,"timepoint2"
"87","POR-349","site3","Porites",1753788.01008968,"timepoint2"
"88","POR-353","site3","Porites",1169462.3502064,"timepoint2"
"89","POR-354","site3","Porites",1490697.30565427,"timepoint2"
"90","POR-355","site3","Porites",1603556.34094999,"timepoint2"
"91","POR-357","site3","Porites",1246915.75717175,"timepoint2"
"92","POR-365","site3","Porites",1894036.88574879,"timepoint2"
"93","POR-367","site3","Porites",2413541.77863287,"timepoint2"
"94","POR-381","site3","Porites",821091.9439284,"timepoint2"
"95","POR-383","site3","Porites",704671.647053646,"timepoint2"
"96","POR-384","site3","Porites",874051.367121668,"timepoint2"
"97","POR-385","site3","Porites",1616417.27697252,"timepoint2"
"98","POR-69","site1","Porites",1321287.12916355,"timepoint2"
"99","POR-70","site1","Porites",3190948.64289523,"timepoint2"
"100","POR-71","site1","Porites",2217991.66086997,"timepoint2"
"101","POR-72","site1","Porites",1764860.79673796,"timepoint2"
"102","POR-73","site1","Porites",1711878.32483115,"timepoint2"
