colony_id,cre.umol.L,cre.umol.mgprot
POC-394,-34.1154541773515,-0.05003395225588093
POC-359,-49.133990914089225,-0.08377451896531503
POC-359,-17.399259545762384,-0.029666114469462664
POC-394,-28.06069619556364,-0.041154003883896326
ACR-368,46.75624005879353,0.17517711144440798
POC-257,-62.507345566778525,-0.10080951950645901
ACR-229,-61.028077657474334,-0.13756414989012264
ACR-229,-25.02311136810233,-0.05640490697214794
ACR-368,97.26166994607155,0.3644009521293368
POR-367,502.44540689897207,0.5377734578625557
POR-367,651.7064563354153,0.697529382740121
POR-353,270.83673920666837,0.5220632734456857
POR-353,250.5848536790109,0.4830258604160288
ACR-360,-37.13265782315791,-0.09873053412443517
ACR-360,38.77346879031935,0.1030932205757144
POC-257,-37.13265782315791,-0.05988616792487525
POC-219,69.34773386171418,0.13656596224770065
POR-240,221.57020561423644,0.5620076338539192
POR-262,313.99798628238034,0.20684227324216567
POR-262,700.1511666987008,0.46121588436836486
POC-219,80.7772603416187,0.15907404138517162
POR-216,653.9875549451614,0.5243337770830093
POR-216,872.6578562001179,0.6996524419810058
POC-215,24.516855259031402,0.03627619930824772
POC-215,48.3581755742986,0.07155284789921293
POC-222,-47.63970906036116,-0.08299133433991933
POC-222,38.77346879031935,0.06754579268774874
POR-240,152.99138036336893,0.3880590508083066
POC-207,80.7772603416187,0.17376374342327525
ACR-237,-37.13265782315791,-0.06729390570147162
POC-201,-11.269307571964932,-0.007074967325578242
POC-201,87.34883701617204,0.054838344225697874
POC-207,102.24316862151629,0.21994006288398724
POR-253,250.5848536790109,0.4833466540422849
POR-253,317.8040443938273,0.613004015380873
POR-245,744.9766331542661,0.558963835820039
POR-245,695.48804827636,0.5218320279195195
ACR-244,7.286490204055376,0.0076796128011361745
ACR-244,108.91130479248926,0.1147873155730503
ACR-237,7.286490204055376,0.013204990254713174
POR-260,683.8759317026476,0.7095330807594461
ACR-225,-9.732515946673567,-0.027245511628007885
POR-355,336.9629808641635,0.42288374999968087
POR-355,391.76589885246904,0.49166063287976797
POR-260,681.5613157584856,0.707131626774149
POC-248,56.394870386036565,0.05995032789834241
POC-248,159.88779579958867,0.16996804353861755
POC-255,21.3682228082923,0.038310021584428214
POC-255,18.22664825795218,0.03267764916336216
POC-200,-11.269307571964932,-0.014644686546423945
POC-200,54.78392238417995,0.07119278322794456
ACR-225,-14.33772260232229,-0.04013747216250265
POC-239,110.583020307987,0.16883962282110238
POC-254,79.13896951266126,0.0651905751209471
POR-224,10.403486459448846,0.031622562708470824
POR-224,134.1850629264761,0.4078705329672139
POC-239,166.8152331889883,0.25469571163818866
POR-236,670.0271126162419,0.6370809546077858
POR-236,903.195826486775,0.8587844409596723
POC-217,56.394870386036565,0.1451622519228931
POC-217,30.835357322796924,0.07937122431852539
POC-259,38.77346879031935,0.02861527724686388
POC-259,66.09860956858527,0.04878155340358701
POC-254,61.23857395168864,0.050445158435611585
POC-205,-23.501760808360828,-0.044502211945843806
POR-349,252.41562268890382,0.3724515832437689
POR-349,350.50272048970885,0.5171838881721446
ACR-265,90.64570233418537,0.11467503936960186
ACR-265,189.54534087528995,0.23979205706921972
ACR-258,58.00762696056629,0.1243362206219468
ACR-258,37.18228172814007,0.07969821601770058
POR-242,95.60489321960793,0.25700900630103696
POR-242,88.99634486640977,0.23924363480016203
POC-205,-18.927453554288345,-0.03584044431974641
POR-209,209.0391771709482,0.3468600143845393
POC-391,280.1250980204164,0.5128667377571957
POR-384,151.2721073910867,0.2991077287144852
POR-384,97.26166994607155,0.19231382235811648
POR-209,102.24316862151629,0.1696527293052737
ACR-343,-50.626597054712725,-0.09903054518047738
ACR-343,-34.1154541773515,-0.06673314468700241
POR-266,113.93208383072249,0.2362181682291475
POR-266,120.65279992291629,0.25015239282250196
ACR-347,-2.0226392617768223,-0.0039040089253029827
ACR-347,-62.507345566778525,-0.12064891629530097
POC-391,69.34773386171418,0.12696522477939262
POR-383,573.4592905074235,0.7222092608491847
POC-372,26.09382315077452,0.030917951386740344
POR-214,270.83673920666837,0.36760364455291994
POR-214,168.55195605570333,0.22877366462206544
POR-383,417.8013203274453,0.5261750707160122
ACR-351,-66.93520347650318,-0.18688921599118793
ACR-351,-62.507345566778525,-0.17452623133903386
ACR-364,-62.507345566778525,-0.15854841711722137
ACR-364,27.67256146653639,0.07019080362980892
ACR-350,64.47677962844523,0.19434840025718197
ACR-350,22.94165580592286,0.06915162529558105
POC-372,13.527485397338692,0.016028396202545092
POC-377,72.60415767783009,0.1261686494429465
POR-365,165.0804579128564,0.26907419548362693
POR-341,508.79310841194985,0.6784311955880766
POR-341,336.9629808641635,0.44931072020634205
POC-377,142.7046196533099,0.24798647497325496
POR-221,158.16078906965467,0.29773048209092545
POR-221,225.1686143257997,0.42386966130676995
POR-235,333.11397653162624,0.24041365765059305
POR-235,718.9086382101951,0.5188478040707809
POR-338,611.0813428001738,0.820780372666814
POR-338,302.63092491596524,0.40648192954935997
POR-365,250.5848536790109,0.40844276031543
POC-375,193.0718021280233,0.1749863627445788
POC-366,-61.028077657474334,-0.15530050917064603
ACR-396,-62.507345566778525,-0.1994571099385071
ACR-396,-65.46090661704396,-0.20888174228805267
POC-375,144.41427411265454,0.1308866871124736
POC-346,92.29691149601943,0.16138559274464448
POC-346,53.17478092683159,0.0929786641811242
POC-395,30.835357322796924,0.0525749522638548
POC-395,49.961909544374386,0.08518613816628397
POC-371,66.09860956858527,0.1049946018115964
POC-371,-29.57693428756582,-0.046981600045738925
POC-366,-43.1467903971592,-0.10979730600997067
