Date.Time,Hobo,site,timepoint
2020-01-10 18:30:00,26.25611111111111,site1,timepoint2
2020-01-10 18:40:00,25.47722222222222,site1,timepoint2
2020-01-10 18:50:00,23.497222222222224,site1,timepoint2
2020-01-10 19:00:00,22.823888888888888,site1,timepoint2
2020-01-10 19:10:00,22.800000000000004,site1,timepoint2
2020-01-10 19:20:00,22.705000000000002,site1,timepoint2
2020-01-10 19:30:00,22.608888888888888,site1,timepoint2
2020-01-10 19:40:00,22.561111111111114,site1,timepoint2
2020-01-10 19:50:00,22.512777777777778,site1,timepoint2
2020-01-10 20:00:00,22.441111111111116,site1,timepoint2
2020-01-10 20:10:00,22.39277777777778,site1,timepoint2
2020-01-10 20:20:00,22.368888888888886,site1,timepoint2
2020-01-10 20:30:00,22.297777777777778,site1,timepoint2
2020-01-10 20:40:00,22.25,site1,timepoint2
2020-01-10 20:50:00,22.226111111111116,site1,timepoint2
2020-01-10 21:00:00,22.17777777777778,site1,timepoint2
2020-01-10 21:10:00,22.10611111111111,site1,timepoint2
2020-01-10 21:20:00,22.057777777777776,site1,timepoint2
2020-01-10 21:30:00,22.03388888888889,site1,timepoint2
2020-01-10 21:40:00,22.011111111111113,site1,timepoint2
2020-01-10 21:50:00,22.011111111111113,site1,timepoint2
2020-01-10 22:00:00,22.011111111111113,site1,timepoint2
2020-01-10 22:10:00,22.03388888888889,site1,timepoint2
2020-01-10 22:20:00,22.011111111111113,site1,timepoint2
2020-01-10 22:30:00,22.011111111111113,site1,timepoint2
2020-01-10 22:40:00,21.987222222222222,site1,timepoint2
2020-01-10 22:50:00,21.96277777777778,site1,timepoint2
2020-01-10 23:00:00,21.915000000000003,site1,timepoint2
2020-01-10 23:10:00,21.867222222222225,site1,timepoint2
2020-01-10 23:20:00,21.81888888888889,site1,timepoint2
2020-01-10 23:30:00,21.794999999999998,site1,timepoint2
2020-01-10 23:40:00,21.772222222222222,site1,timepoint2
2020-01-10 23:50:00,21.747777777777777,site1,timepoint2
2020-01-11 00:00:00,21.747777777777777,site1,timepoint2
2020-01-11 00:10:00,21.700000000000003,site1,timepoint2
2020-01-11 00:20:00,21.700000000000003,site1,timepoint2
2020-01-11 00:30:00,21.67611111111111,site1,timepoint2
2020-01-11 00:40:00,21.652222222222225,site1,timepoint2
2020-01-11 00:50:00,21.627777777777784,site1,timepoint2
2020-01-11 01:00:00,21.581111111111113,site1,timepoint2
2020-01-11 01:10:00,21.557222222222222,site1,timepoint2
2020-01-11 01:20:00,21.723888888888887,site1,timepoint2
2020-01-11 01:30:00,21.60388888888889,site1,timepoint2
2020-01-11 01:40:00,21.532777777777778,site1,timepoint2
2020-01-11 01:50:00,21.485000000000003,site1,timepoint2
2020-01-11 02:00:00,21.652222222222225,site1,timepoint2
2020-01-11 02:10:00,21.532777777777778,site1,timepoint2
2020-01-11 02:20:00,21.508888888888887,site1,timepoint2
2020-01-11 02:30:00,21.60388888888889,site1,timepoint2
2020-01-11 02:40:00,21.508888888888887,site1,timepoint2
2020-01-11 02:50:00,21.652222222222225,site1,timepoint2
2020-01-11 03:00:00,21.508888888888887,site1,timepoint2
2020-01-11 03:10:00,21.723888888888887,site1,timepoint2
2020-01-11 03:20:00,21.557222222222222,site1,timepoint2
2020-01-11 03:30:00,21.81888888888889,site1,timepoint2
2020-01-11 03:40:00,21.581111111111113,site1,timepoint2
2020-01-11 03:50:00,21.700000000000003,site1,timepoint2
2020-01-11 04:00:00,21.532777777777778,site1,timepoint2
2020-01-11 04:10:00,21.67611111111111,site1,timepoint2
2020-01-11 04:20:00,21.794999999999998,site1,timepoint2
