colony_id,.variable,.value,.lower,.upper,.width,.point,.interval
ACR-225,b_Am_Intercept,1.3104273246446692,0.7957588175547742,3.1830247638583016,0.95,median,qi
ACR-225,b_AQY_Intercept,0.0016816116669723224,0.0010455670414327622,0.0028037431618221998,0.95,median,qi
ACR-225,b_Rd_Intercept,0.42754391221133947,0.3754359520885231,0.4774786006737581,0.95,median,qi
ACR-225,b_theta_Intercept,-0.30541282340132436,-2.2112142542087407,0.8322536276920339,0.95,median,qi
ACR-225,Ic,254.9971341567212,164.09046957392135,369.0527483173891,0.95,median,qi
ACR-225,sigma,0.029907377364558292,0.017739711935765883,0.06779837174706224,0.95,median,qi
ACR-229,b_Am_Intercept,0.6724351483709551,0.16356218730206715,0.9525609342857391,0.95,median,qi
ACR-229,b_AQY_Intercept,0.00539605098164535,0.0017813470944052798,15.36835210944296,0.95,median,qi
ACR-229,b_Rd_Intercept,0.537596047462803,0.345644274353299,0.7080999047665685,0.95,median,qi
ACR-229,b_theta_Intercept,-0.905402469643825,-2.5856467958375027,1.019775575971483,0.95,median,qi
ACR-229,Ic,101.25312790682679,0.03316223993267305,274.2092177356765,0.95,median,qi
ACR-229,sigma,0.04453512010215735,0.023212788828271394,0.2570891844736997,0.95,median,qi
ACR-237,b_Am_Intercept,2.104008186453188,1.742913963027766,2.615806677312481,0.95,median,qi
ACR-237,b_AQY_Intercept,0.005041466912358921,0.003909765607445599,0.006650190414833873,0.95,median,qi
ACR-237,b_Rd_Intercept,0.45111388701633803,0.4119553425228584,0.4886793828337857,0.95,median,qi
ACR-237,b_theta_Intercept,-0.5747130778478357,-2.0962974012082918,0.30615850819990786,0.95,median,qi
ACR-237,Ic,89.1832178880344,71.30511902181959,109.33646700459117,0.95,median,qi
ACR-237,sigma,0.019858026823122012,0.012073215415383295,0.04246916914103099,0.95,median,qi
ACR-244,b_Am_Intercept,5.127384545797143,2.807301027913441,12.465772717839448,0.95,median,qi
ACR-244,b_AQY_Intercept,0.004274597243284186,0.0027204940111819963,0.007224092509343455,0.95,median,qi
ACR-244,b_Rd_Intercept,1.2248582489629327,1.0725775196083105,1.3766839763772791,0.95,median,qi
ACR-244,b_theta_Intercept,-0.5284991149646443,-2.2602023488389014,0.7069987886331787,0.95,median,qi
ACR-244,Ic,286.8446103935543,184.54922398086833,409.1416466131432,0.95,median,qi
ACR-244,sigma,0.09684272142422555,0.05879784163961091,0.20077078122020314,0.95,median,qi
ACR-258,b_Am_Intercept,1.9837491100263898,1.4028564452429786,3.2614719435243695,0.95,median,qi
ACR-258,b_AQY_Intercept,0.004472266768204117,0.0026488192624422556,0.008179130848037695,0.95,median,qi
ACR-258,b_Rd_Intercept,0.5744028385750094,0.4686259964165101,0.681870974348741,0.95,median,qi
ACR-258,b_theta_Intercept,-0.30248594469352674,-2.149133813103266,0.7982933121672255,0.95,median,qi
ACR-258,Ic,128.7784678394447,77.94367541036543,188.9933054938024,0.95,median,qi
ACR-258,sigma,0.060321019860773886,0.03577732768878463,0.134174801374615,0.95,median,qi
ACR-265,b_Am_Intercept,1.5782542507539359,1.108420293164218,2.4639425178729724,0.95,median,qi
ACR-265,b_AQY_Intercept,0.0026066558863865157,0.0018230125824118806,0.0037618504626586533,0.95,median,qi
ACR-265,b_Rd_Intercept,0.3005670326449281,0.25480235828191544,0.3470044805351116,0.95,median,qi
ACR-265,b_theta_Intercept,-0.44503078579216565,-2.2082753425519526,0.6647706185699025,0.95,median,qi
ACR-265,Ic,114.85317472672527,86.06539315659285,149.2038657442563,0.95,median,qi
ACR-265,sigma,0.02635893905315515,0.01598740834702803,0.05529981784707862,0.95,median,qi
ACR-351,b_Am_Intercept,1.7840759586227164,0.94202634854692,11.814773529726207,0.95,median,qi
ACR-351,b_AQY_Intercept,0.0017848887054533282,8.385392193966916e-4,0.003895550320165292,0.95,median,qi
ACR-351,b_Rd_Intercept,0.2196735863721456,0.11896822158882632,0.30891192863035993,0.95,median,qi
ACR-351,b_theta_Intercept,-0.49493240501620944,-2.311736461234315,0.8245174389824078,0.95,median,qi
ACR-351,Ic,120.81007840027024,70.15228848017439,189.1001767089403,0.95,median,qi
ACR-351,sigma,0.05436180563190022,0.032419215336873135,0.12639882024928478,0.95,median,qi
ACR-360,NA,NA,NA,NA,NA,NA,NA
ACR-368,b_Am_Intercept,1.3163694178757515,0.9855821577828016,1.9837075052618434,0.95,median,qi
ACR-368,b_AQY_Intercept,0.0032510529985820672,0.0018323552691440774,0.005638796470379076,0.95,median,qi
ACR-368,b_Rd_Intercept,0.2743064590150931,0.19975413027721672,0.34531834778821463,0.95,median,qi
ACR-368,b_theta_Intercept,-0.6670661817132071,-2.402716949099141,0.5110922407597266,0.95,median,qi
ACR-368,Ic,84.45925105541141,56.32491605536476,122.64852740570575,0.95,median,qi
ACR-368,sigma,0.037281559737795636,0.02216972285717057,0.08286912397904851,0.95,median,qi
POC-200,b_Am_Intercept,1.0578815834795752,0.8937563216402578,1.3950823095840224,0.95,median,qi
POC-200,b_AQY_Intercept,0.0026363192048501523,0.002074823918956707,0.0037847364204450034,0.95,median,qi
POC-200,b_Rd_Intercept,0.30259651057512016,0.2749119918995462,0.3344125607827627,0.95,median,qi
POC-200,b_theta_Intercept,0.031047291635098433,-1.5951821274867162,0.5963897452992942,0.95,median,qi
POC-200,Ic,114.4677052641961,84.6473105493094,138.7391753494086,0.95,median,qi
POC-200,sigma,0.014679085887117933,0.008274017816622679,0.033461028602583154,0.95,median,qi
