colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-225,0.9502852056348013,0.6239702529944015,timepoint2
ACR-229,0.9619831413480118,0.2048098181879033,timepoint2
ACR-237,1.8373204947507287,0.31759283413260436,timepoint2
ACR-244,1.487607766211449,0.19443462660519134,timepoint2
ACR-258,1.3494161652162213,0.4057215564202215,timepoint2
ACR-265,1.5875135880673759,0.23631873523229235,timepoint2
ACR-343,1.1926643620780877,0.26580563844340444,timepoint2
ACR-347,0.6496159326104551,0.18922504121816777,timepoint2
ACR-350,0.7334853437124742,0.19582615767684095,timepoint2
ACR-360,1.0531088584636983,0.2598709978252412,timepoint2
ACR-364,1.4223176613658306,0.3335860224787077,timepoint2
ACR-368,1.183819418882364,0.5699219787784338,timepoint2
POC-200,0.9553263756450071,0.21355998468820733,timepoint2
POC-201,1.4728874209329017,0.31365377372445985,timepoint2
POC-205,1.3938575288988133,0.3638723002053699,timepoint2
POC-207,0.658718313759393,0.19043050308870768,timepoint2
POC-215,1.115069968625627,0.1921923846064007,timepoint2
POC-217,1.0566289064853944,0.3987685912669923,timepoint2
POC-219,1.135034263479943,0.4111574896998542,timepoint2
POC-222,0.6832680652438461,0.2018176355613272,timepoint2
POC-239,0.8753990010188628,0.23118351481810476,timepoint2
POC-248,1.0625381132827911,0.2385047036167169,timepoint2
POC-254,0.8347894820602693,0.18743925200216663,timepoint2
POC-255,0.686790689689121,0.22311983607959807,timepoint2
POC-257,1.4132286451162182,0.5587756387309352,timepoint2
POC-259,0.793207450844219,0.23781745818591257,timepoint2
POC-359,1.5640472261525333,0.6396540236042317,timepoint2
POC-372,0.5357575917046106,0.20254324374544555,timepoint2
POC-377,1.690848809823052,0.4163003044769124,timepoint2
POC-394,2.374968624114804,0.7785936746366028,timepoint2
POR-206,3.7076187164448275,1.7071803694364598,timepoint2
POR-216,4.6752997148427,1.3631155651243372,timepoint2
POR-221,1.8926811963842667,0.6551588756714772,timepoint2
POR-224,0.9341963712716451,0.30807654835742243,timepoint2
POR-235,3.785087230760908,0.9887659949914572,timepoint2
POR-236,4.188623777855658,1.2276817274164562,timepoint2
POR-240,2.4126473334471767,0.6974781722127629,timepoint2
POR-242,1.6995576409345525,0.5334232322818695,timepoint2
POR-245,3.9788445052792585,1.1171906862854957,timepoint2
POR-253,1.7942517072715325,0.5100838373443479,timepoint2
POR-260,3.741876876750345,1.1902863081923445,timepoint2
POR-262,5.468849770756138,1.4805856105833979,timepoint2
POR-353,3.711912699410439,0.9949364277111454,timepoint2
POR-355,4.825052854406128,1.3172561530378886,timepoint2
POR-367,3.9731710176520347,1.2868188096965922,timepoint2
POR-383,1.7011886199317727,0.49963868917633786,timepoint2
POR-384,2.5911283339558477,0.9125096272750218,timepoint2
ACR-140,1.1844799458448696,0.29653928161709253,timepoint2
ACR-150,2.3922206597831503,0.5926766712726235,timepoint2
ACR-173,1.4307300792980209,0.35208194052983033,timepoint2
ACR-186,1.3359192842337855,0.32636572072274206,timepoint2
ACR-190,1.2964320614870346,0.30683659728983576,timepoint2
ACR-351,1.3038064233487117,0.3113251398757844,timepoint2
ACR-393,0.9079723618409777,0.19110035581277904,timepoint2
ACR-396,0.8906465605159883,0.21609824010558407,timepoint2
ACR-51,1.1224593663100653,0.34213215871840336,timepoint2
POC-238,1.0143576315814598,0.3051644170068138,timepoint2
POC-346,1.2052177513532023,0.32135771506577376,timepoint2
POC-366,0.9927464516385025,0.2193108899481072,timepoint2
POC-369,1.0322255472758133,0.2543996346624782,timepoint2
POC-371,1.111326986773441,0.28641667499740714,timepoint2
POC-373,0.7860138850727225,0.1714655839235455,timepoint2
POC-375,1.4609981323152794,0.38611678268563465,timepoint2
POC-378,1.2415868946379254,0.27308273998952215,timepoint2
POC-386,1.2822209752849194,0.3919394477740368,timepoint2
POC-391,0.8831351582983579,0.20137219600585277,timepoint2
POC-395,0.7388276178049064,0.16306357035717745,timepoint2
POC-42,1.1010566248177427,0.28884388769602143,timepoint2
POC-48,1.2598013263817684,0.31622986223257926,timepoint2
POC-50,1.8894141694908635,0.49794950051593345,timepoint2
POC-52,1.6239305476507988,0.43857963054234,timepoint2
POC-53,0.8003223531650997,0.20906559864991922,timepoint2
POC-55,1.192478396874419,0.28187110043750624,timepoint2
POC-57,1.099300472034512,0.2727393861351312,timepoint2
POR-209,1.958848936801626,0.519280175121103,timepoint2
POR-214,2.484359484880046,0.5917464788839584,timepoint2
POR-266,2.0388483736456506,0.49202663354610526,timepoint2
POR-338,4.3428859319465944,0.9977067368094057,timepoint2
POR-340,2.3374986137364897,0.5576096657613223,timepoint2
POR-341,2.9093287062950886,0.9267361758877819,timepoint2
POR-349,4.2575855531567095,1.736210521225696,timepoint2
POR-354,3.212099732610055,0.8879749663232839,timepoint2
POR-357,2.3620161799143085,0.6093754700069454,timepoint2
POR-365,3.059385384620029,0.903106961232568,timepoint2
POR-381,3.464781998048109,0.8990163944738274,timepoint2
POR-385,5.047332770987176,1.3538367490150809,timepoint2
POR-72,3.2442844695325963,0.8112423522599344,timepoint2
POR-73,5.255048758920374,1.4793093831328896,timepoint2
POR-74,4.614179649155114,1.1845474766615767,timepoint2
POR-75,4.77436840172298,1.0308876249862489,timepoint2
POR-76,7.358351736318069,1.778272670386186,timepoint2
POR-78,9.40491796213294,2.768368436722247,timepoint2
POR-82,3.285366478524831,0.8304101638438411,timepoint2
POR-83,7.695857140016419,1.880884230443321,timepoint2
ACR-139,0.8131204068593324,0.19782042753579052,timepoint2
ACR-145,1.669718696300258,0.38943581182837156,timepoint2
