species,site,Am,AQY,Rd,timepoint
Acropora,site1,1.0954214056540512,0.002230974039660027,0.4155576967806422,timepoint2
Acropora,site2,1.0783412400760266,0.0021582192267867732,0.46447915811321405,timepoint2
Acropora,site3,1.0679085339338683,0.0021656676438084246,0.3214627861220331,timepoint2
Pocillopora,site1,0.9552866166168246,0.0022034421640823513,0.4014728695786532,timepoint2
Pocillopora,site2,0.876918487442776,0.002000390094732611,0.39224865701046074,timepoint2
Pocillopora,site3,0.9745444447357746,0.0020866635550990617,0.3875220495025508,timepoint2
Porites,site1,2.6102236910770062,0.00660274258272365,0.8882577468527182,timepoint2
Porites,site2,2.373887923572884,0.005317063118474113,0.8183900031240681,timepoint2
Porites,site3,2.1330793322275707,0.00635230629973361,0.772075936763977,timepoint2
NA,NA,3.0975979971282097,0.004579294389913837,0.8303345546096822,timepoint2
