colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-139,Host,site1,Acropora,1.211578181202209,timepoint2,123.12663266467439
ACR-139,Sym,site1,Acropora,0.5452101815409783,timepoint2,82.98805716992955
ACR-140,Host,site1,Acropora,1.3197486873448787,timepoint2,102.48673400162376
ACR-140,Sym,site1,Acropora,0.7038659665839174,timepoint2,64.79966054863229
ACR-145,Host,site1,Acropora,1.1518671498015645,timepoint2,128.03526946021773
ACR-145,Sym,site1,Acropora,0.7818734592592631,timepoint2,81.53823217989385
ACR-150,Host,site1,Acropora,2.090794723652589,timepoint2,305.9972478496271
ACR-150,Sym,site1,Acropora,0.6545096526216706,timepoint2,224.35975540916036
ACR-173,Host,site1,Acropora,2.0621379829765623,timepoint2,336.22075443973506
ACR-173,Sym,site1,Acropora,0.4499210144675927,timepoint2,253.2378959600754
ACR-178,Host,site1,Acropora,1.3413403989443828,timepoint2,98.88680303697521
ACR-178,Sym,site1,Acropora,0.561147910017103,timepoint2,65.34098718814623
ACR-186,Host,site1,Acropora,1.205565886486482,timepoint2,213.47314706754997
ACR-186,Sym,site1,Acropora,0.3722449053011371,timepoint2,156.3970049399616
ACR-190,Sym,site1,Acropora,0.9038111519571248,timepoint2,59.21906725215935
ACR-225,Host,site2,Acropora,1.2405679876621118,timepoint2,242.23482433374846
ACR-225,Sym,site2,Acropora,0.324066739634197,timepoint2,175.00616648807494
ACR-229,Host,site2,Acropora,0.8745876449004224,timepoint2,152.6985368201416
ACR-229,Sym,site2,Acropora,0.6103505266538555,timepoint2,101.60103279055382
ACR-237,Host,site2,Acropora,1.2948827044295181,timepoint2,168.97711495666755
ACR-237,Sym,site2,Acropora,0.8988009360158142,timepoint2,118.29134352818271
ACR-244,Host,site2,Acropora,0.8538802260022792,timepoint2,74.87106448330017
ACR-244,Sym,site2,Acropora,0.5855178692587161,timepoint2,47.886416293470894
ACR-258,Host,site2,Acropora,1.3157984955929851,timepoint2,172.53619398285534
ACR-258,Sym,site2,Acropora,0.6755741529611791,timepoint2,119.71585727726524
ACR-265,Host,site2,Acropora,1.1452721868083644,timepoint2,118.8657128269264
ACR-265,Sym,site2,Acropora,0.7853294995257398,timepoint2,82.81803567484425
ACR-343,Host,site3,Acropora,1.2662235063043208,timepoint2,128.89080922718156
ACR-343,Sym,site3,Acropora,0.4727234423536316,timepoint2,85.6992347597739
ACR-347,Host,site3,Acropora,0.7830099888649852,timepoint2,98.11115160478525
ACR-347,Sym,site3,Acropora,0.36065914638630825,timepoint2,65.86964757237473
ACR-350,Host,site3,Acropora,0.8930473981158139,timepoint2,126.01120662544271
ACR-350,Sym,site3,Acropora,0.29342985938093985,timepoint2,83.23590031916942
ACR-351,Host,site3,Acropora,0.849359253095437,timepoint2,140.69879670884765
ACR-351,Sym,site3,Acropora,0.29311221283292943,timepoint2,97.18594329536542
ACR-360,Host,site3,Acropora,1.0099551882864777,timepoint2,171.46371290946388
ACR-360,Sym,site3,Acropora,0.5945396580101459,timepoint2,122.0121146241394
ACR-364,Host,site3,Acropora,1.0721721252696157,timepoint2,150.27663098318925
ACR-364,Sym,site3,Acropora,0.591543241528043,timepoint2,99.79580960928898
ACR-368,Host,site3,Acropora,0.9674601491609803,timepoint2,184.44999843810342
ACR-368,Sym,site3,Acropora,0.40457424419460375,timepoint2,124.01621330237079
ACR-393,Host,site3,Acropora,0.682948439380922,timepoint2,167.68158873607123
ACR-393,Sym,site3,Acropora,0.31870927171110996,timepoint2,118.7062301398838
ACR-396,Host,site3,Acropora,0.8551068637572053,timepoint2,134.98680563744955
ACR-396,Sym,site3,Acropora,0.36387526117326646,timepoint2,84.84115589516063
ACR-51,Host,site1,Acropora,1.44717607656163,timepoint2,140.648599596743
ACR-51,Sym,site1,Acropora,0.526245846022428,timepoint2,97.55094425695664
POC-200,Host,site2,Pocillopora,1.8366307909437378,timepoint2,141.3896415299747
POC-200,Sym,site2,Pocillopora,0.4821155826227459,timepoint2,103.15615398662521
POC-201,Host,site2,Pocillopora,2.7877172075130225,timepoint2,123.05003525006508
POC-201,Sym,site2,Pocillopora,0.8422464754613674,timepoint2,80.46518352480051
POC-205,Host,site2,Pocillopora,2.1589265607128416,timepoint2,210.6859095779464
POC-205,Sym,site2,Pocillopora,0.6908564994281222,timepoint2,147.68226417474293
POC-207,Host,site2,Pocillopora,1.205590828518009,timepoint2,135.85191993683947
POC-207,Sym,site2,Pocillopora,0.4888423085497622,timepoint2,91.87593009878742
POC-215,Host,site2,Pocillopora,1.8142310886421997,timepoint2,138.27382891813565
POC-215,Sym,site2,Pocillopora,0.5341096324963082,timepoint2,98.14970576245267
POC-217,Host,site2,Pocillopora,1.597074179693014,timepoint2,197.68008852746362
POC-217,Sym,site2,Pocillopora,0.33330243750118266,timepoint2,135.84190534123968
POC-219,Host,site2,Pocillopora,2.152438898388213,timepoint2,206.02157636522278
POC-219,Sym,site2,Pocillopora,0.518436895955862,timepoint2,143.42803601331343
POC-222,Host,site2,Pocillopora,1.690264954450001,timepoint2,148.69470706480328
POC-222,Sym,site2,Pocillopora,0.35793846094233794,timepoint2,102.81229916400822
POC-238,Host,site2,Pocillopora,1.9033634314939507,timepoint2,231.39168770398499
POC-238,Sym,site2,Pocillopora,0.6385477318560346,timepoint2,175.32679345380913
POC-239,Host,site2,Pocillopora,1.751820686546631,timepoint2,137.04107695027508
POC-239,Sym,site2,Pocillopora,0.4671521830790976,timepoint2,94.84542073792659
POC-248,Host,site2,Pocillopora,1.95381817824766,timepoint2,99.80045309927701
POC-248,Sym,site2,Pocillopora,0.5555434820077898,timepoint2,67.72922484884546
POC-254,Host,site2,Pocillopora,1.7247544834513806,timepoint2,96.67976185852481
POC-254,Sym,site2,Pocillopora,0.6483414443817271,timepoint2,68.9388400834097
POC-255,Host,site2,Pocillopora,1.8551400643000866,timepoint2,169.4392553262899
POC-255,Sym,site2,Pocillopora,0.4138389374207952,timepoint2,121.25180438888246
POC-257,Host,site2,Pocillopora,2.7120482999498754,timepoint2,240.7559240819095
POC-257,Sym,site2,Pocillopora,0.4536517156279567,timepoint2,177.74092149201746
POC-259,Host,site2,Pocillopora,1.3801704864399338,timepoint2,91.78558471450853
POC-259,Sym,site2,Pocillopora,0.6159128157174325,timepoint2,65.92699304219836
POC-346,Host,site3,Pocillopora,1.3094131471750976,timepoint2,135.27213451487484
POC-346,Sym,site3,Pocillopora,0.3327449879880215,timepoint2,95.03361175450743
POC-359,Host,site3,Pocillopora,2.093870012525723,timepoint2,187.33503982922795
POC-359,Sym,site3,Pocillopora,0.48081459546881794,timepoint2,131.1987113228513
POC-366,Host,site3,Pocillopora,1.6870531933698907,timepoint2,292.5698359390883
POC-366,Sym,site3,Pocillopora,0.5543174778215226,timepoint2,220.35592567622254
POC-369,Host,site3,Pocillopora,1.8385904697360353,timepoint2,184.61611363761406
POC-369,Sym,site3,Pocillopora,0.32686052795308246,timepoint2,132.32948474180273
POC-371,Host,site3,Pocillopora,2.033787115309465,timepoint2,134.29132425118357
POC-371,Sym,site3,Pocillopora,0.22528103431120486,timepoint2,89.11405290148709
POC-372,Host,site3,Pocillopora,1.2735299555404496,timepoint2,72.15006361998245
