time_local,time_utc,air_temp_C,data_coverage_air_temp_C,wind_stress_pa,data_coverage_wind_stress_pa,wind_direction_degtrue,data_coverage_wind_direction_degtrue,wind_U_mps,data_coverage_wind_U_mps,wind_V_mps,data_coverage_wind_V_mps,mean_solar_rad_kwpm2,data_coverage_mean_solar_rad_kwpm2,atm_press_mbar,data_coverage_atm_press_mbar,cumulative_rainfall_mm,data_coverage_cumulative_rainfall_mm
2006-08-01 00:00:00,2006-08-01 10:00:00, 24.50, 0.82, 0.0127, 0.83, 121.9, 0.83,  -1.41, 0.83,   0.87, 0.83,    0.23, 0.83, -999, 0.00,  23.4, 0.83
2006-09-01 00:00:00,2006-09-01 10:00:00, 25.21, 1.00, 0.0103, 1.00,  81.2, 1.00,  -1.13, 1.00,  -0.18, 1.00,    0.24, 1.00, -999, 0.00,  79.8, 1.00
2006-10-01 00:00:00,2006-10-01 10:00:00, 25.42, 1.00, 0.0100, 1.00, 110.5, 1.00,  -1.25, 1.00,   0.47, 1.00,    0.24, 1.00, -999, 0.00, 171.7, 1.00
2006-11-01 00:00:00,2006-11-01 10:00:00, 26.26, 1.00, 0.0090, 1.00,  74.3, 1.00,  -1.18, 1.00,  -0.33, 1.00,    0.27, 1.00, -999, 0.00,  32.8, 1.00
2006-12-01 00:00:00,2006-12-01 10:00:00, 26.35, 1.00, 0.0049, 1.00,  74.1, 1.00,  -0.49, 1.00,  -0.14, 1.00,    0.23, 1.00, -999, 0.00, 404.6, 1.00
2007-01-01 00:00:00,2007-01-01 10:00:00, 27.18, 1.00, 0.0108, 1.00,  54.7, 1.00,  -0.63, 1.00,  -0.45, 1.00,    0.18, 1.00, -999, 0.00, 716.8, 1.00
2007-02-01 00:00:00,2007-02-01 10:00:00, 27.15, 1.00, 0.0033, 1.00, 103.3, 1.00,  -0.30, 1.00,   0.07, 1.00,    0.25, 1.00, -999, 0.00, 213.4, 1.00
2007-03-01 00:00:00,2007-03-01 10:00:00, 27.42, 1.00, 0.0062, 1.00,  83.5, 1.00,  -0.80, 1.00,  -0.09, 1.00,    0.24, 1.00, -999, 0.00, 314.2, 1.00
2007-04-01 00:00:00,2007-04-01 10:00:00, 26.99, 1.00, 0.0053, 1.00,  90.5, 1.00,  -0.68, 1.00,   0.01, 1.00,    0.23, 1.00, -999, 0.00,  93.5, 1.00
2007-05-01 00:00:00,2007-05-01 10:00:00, 26.35, 1.00, 0.0049, 1.00,  84.0, 1.00,  -0.65, 1.00,  -0.07, 1.00,    0.19, 1.00, -999, 0.00, 117.3, 1.00
2007-06-01 00:00:00,2007-06-01 10:00:00, 25.94, 1.00, 0.0073, 1.00,  94.1, 1.00,  -0.91, 1.00,   0.06, 1.00,    0.18, 1.00, -999, 0.00,  18.0, 1.00
2007-07-01 00:00:00,2007-07-01 10:00:00, 24.65, 1.00, 0.0068, 1.00, 121.3, 1.00,  -0.83, 1.00,   0.50, 1.00,    0.19, 1.00, -999, 0.00,  85.1, 1.00
2007-08-01 00:00:00,2007-08-01 10:00:00, 25.64, 1.00, 0.0098, 1.00,  81.4, 1.00,  -1.35, 1.00,  -0.20, 1.00,    0.22, 1.00, -999, 0.00,  35.6, 1.00
