Date,Site,Coral_ID,Notes
20200305,1,POR-83,
20200305,1,POR-82,
20200305,1,POR-81,
20200305,1,POR-80,
20200305,1,POR-79,
20200305,1,POR-78,
20200305,1,POR-76,
20200305,1,POR-75,
20200305,1,POR-74,
20200305,1,POR-73,"Tag was missing, pretty sure it was POR-73 but double check photos from January 2020 or October 2019"
20200305,1,POR-72,
20200305,1,POR-71,
20200305,1,POR-70,
20200305,1,POR-69,
20200305,1,POC-68,
20200305,1,POC-57,
20200305,1,POC-56,
20200305,1,POC-55,
20200305,1,POC-53,
20200305,1,POC-52,
20200305,1,POC-50,
20200305,1,POC-48,
20200305,1,POC-47,
20200305,1,POC-45,
20200305,1,POC-44,
20200305,1,POC-43,
20200305,1,POC-42,
20200305,1,POC-41,
20200305,1,POC-40,
20200305,1,ACR-139,
20200305,1,ACR-140,
20200305,1,ACR-145,
20200305,1,ACR-150,
20200305,1,ACR-173,
20200305,1,ACR-186,
20200305,1,ACR-190,
20200305,1,ACR-51,
20200304,3,ACR-343,
20200304,3,ACR-347,
20200304,3,ACR-350,
20200304,3,ACR-351,
20200304,3,ACR-360,
20200304,3,ACR-364,
20200304,3,ACR-368,
20200304,3,ACR-393,
20200304,3,ACR-396,
20200304,3,POC-346,
20200304,3,POC-358,
20200304,3,POC-359,
20200304,3,POC-366,
20200304,3,POC-369,
20200304,3,POC-371,
20200304,3,POC-372,
20200304,3,POC-373,
20200304,3,POC-375,
20200304,3,POC-377,
20200304,3,POC-378,
20200304,3,POC-386,
20200304,3,POC-391,
20200304,3,POC-394,
20200304,3,POC-395,
20200304,3,POR-338,
20200304,3,POR-340,
20200304,3,POR-341,
20200304,3,POR-349,
20200304,3,POR-353,
20200304,3,POR-354,
20200304,3,POR-355,
20200304,3,POR-357,
20200304,3,POR-365,
20200304,3,POR-367,
20200304,3,POR-381,
20200304,3,POR-383,
20200304,3,POR-384,
20200304,3,POR-385 ,"Tagged in field as POR-387, all our labels say 385 and GPS brought us to this coral"
20200303,2,ACR-225,
20200303,2,ACR-229,
20200303,2,ACR-237,
20200303,2,ACR-244,
20200303,2,ACR-258,
20200303,2,ACR-265,
20200303,2,POC-200,
20200303,2,POC-201,
20200303,2,POC-205,
20200303,2,POC-207,
20200303,2,POC-215,
20200303,2,POC-217,
20200303,2,POC-219,
20200303,2,POC-222,
20200303,2,POC-238,
20200303,2,POC-239,
20200303,2,POC-248,
20200303,2,POC-254,
20200303,2,POC-255,
20200303,2,POC-257,
20200303,2,POC-259,
20200303,2,POR-209,
20200303,2,POR-214,
20200303,2,POR-216,
20200303,2,POR-221,
20200303,2,POR-224,
20200303,2,POR-235,
20200303,2,POR-236,
20200303,2,POR-240,
20200303,2,POR-242,
20200303,2,POR-245,
20200303,2,POR-206,Was POR-251; retagged as POR-206
20200303,2,POR-253,
20200303,2,POR-260,
20200303,2,POR-262,
20200303,2,POR-266,
