Date,Time,1,2,3,4,5,6,pH_mV,temp_C,sal_psu
20200304,9:55,440,435,470,450,447,410,-63.7,29.15,35.41
20200304,11:17,540,545,560,560,490,482,-63.3,29.34,35.32
20200304,12:55,392,367,398,400,375,345,-64,29.7,35.47
20200304,15:30,223,248,274,231,288,246,-64.2,29.85,35.58
20200307,8:38,1395,1337,411,409,319,305,-64.3,29.62,35.93
20200307,14:00,230,218,213,200,196,183,-64.7,29.77,36.06
20200308,9:48,382,384,400,390,400,375,-65.7,29.74,36.15
