Well,562:562
A1,1.827
B1,0.253
C1,2.466
D1,1.83
E1,0.958
F1,1.342
G1,0.53
H1,1.77
A2,1.956
B2,0.242
C2,1.942
D2,1.445
E2,0.874
F2,1.27
G2,0.515
H2,1.793
A3,1.371
B3,0.108
C3,1.681
D3,1.479
E3,1.44
F3,0.46
G3,1.411
H3,0.574
A4,1.629
B4,0.111
C4,1.677
D4,1.47
E4,1.445
F4,0.502
G4,1.586
H4,0.555
A5,1.119
B5,0.084
C5,2.097
D5,1.462
E5,2.096
F5,1.234
G5,1.026
H5,1.219
A6,1.155
B6,0.084
C6,2.066
D6,1.542
E6,2.224
F6,1.174
G6,1.017
H6,1.403
A7,0.979
B7,0.082
C7,1.352
D7,1.317
E7,0.688
F7,0.746
G7,0.661
H7,0.625
A8,0.866
B8,0.084
C8,1.335
D8,1.853
E8,0.645
F8,0.736
G8,0.641
H8,0.575
A9,0.558
B9,1.844
C9,1.117
D9,0.644
E9,1.708
F9,0.965
G9,0.622
H9,1.273
A10,0.701
B10,1.973
C10,1.071
D10,0.717
E10,1.821
F10,0.992
G10,0.688
H10,1.288
A11,0.395
B11,1.114
C11,1.386
D11,0.619
E11,1.123
F11,1.062
G11,1.579
H11,0.509
A12,0.388
B12,1.135
C12,1.29
D12,0.554
E12,0.879
F12,1.093
G12,1.588
H12,0.494
