Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,Temp.C,pH.mV,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20201102,1,13:45,15:15,10,10,10,Acropora,ACR-234,ACR-234,2,0.6,26.076,-52.6,37.68,,,,
20201102,1,13:45,15:15,6,6,12,Acropora,ACR-237,ACR-237,2,0.605,25.84,-55.1,38.39,,,,
20201102,1,13:45,15:15,5,5,6,Acropora,ACR-244,ACR-244,2,0.6,26.016,-53,37.91,,,,
20201102,1,13:45,15:15,11,4,4,Pocillopora,POC-200,POC-200,2,0.605,26.323,-53.9,37.85,,,,
20201102,1,13:45,15:15,1,1,1,Pocillopora,POC-205,POC-205,2,0.6,26.248,-55.9,37.87,,,,
20201102,1,13:45,15:15,3,3,3,Pocillopora,POC-207,POC-207,2,0.6,26.041,-54.7,37.72,,,,
20201102,1,13:45,15:15,9,9,9,Porites,POR-209,POR-209,2,0.6,26.231,-54.7,38.23,,,,
20201102,1,13:45,15:15,7,7,7,Porites,POR-214,POR-214,2,0.595,26.204,-54.3,37.83,,,,
20201102,1,13:45,15:15,8,8,8,Porites,POR-216,POR-216,2,0.605,26,-53.5,37.9,,,,
20201102,1,13:45,15:15,2,2,2,NA,BLK-1,BLK-1,NA,0.615,26.225,-53.6,37.8,,,,
20201102,2,18:48,20:18,1,1,1,Acropora,ACR-210,ACR-210,2,0.61,26.16,-54.3,37.69,,,,
20201102,2,18:48,20:18,6,6,12,Acropora,ACR-213,ACR-213,2,0.605,26.232,-55.4,37.75,,,,
20201102,2,18:48,20:18,3,3,3,Acropora,ACR-218,ACR-218,2,0.62,26.233,-55.6,37.79,,,,
20201102,2,18:48,20:18,2,2,2,Pocillopora,POC-219,POC-219,2,0.615,26.374,-56,37.6,,,,
20201102,2,18:48,20:18,7,7,7,Pocillopora,POC-222,POC-222,2,0.6,26.356,-57.1,37.71,,,,
20201102,2,18:48,20:18,10,10,10,Pocillopora,POC-238,POC-238,2,0.595,26.454,-54.2,37.67,,,,
