SampleID,TA,Mass,Salinity
JUNK 1,2108.207921,60.346,35
Initial1_20200106_6,2342.930116,60.118,37.87
Initial1_20200107_7,2359.762019,60.018,37.89
Initial2_20200106_6,2328.585168,59.684,37.91
Initial2_20200107_7,2358.01268,60.039,37.94
POR-340_20200107_7,2298.745564,59.68,37.98
POR-355_20200106_6,2292.798057,60.093,37.96
POR-384_20200107_7,2246.519288,60.055,37.96
ACR-343_20200107_7,2309.900343,60.242,38
