SampleID,TA,Mass,Salinity
JUNK 1,2994.823762,60.459,35
Initial2_20200109_11,2347.683852,50.295,37.23
POC-40_20200109_11,2336.42257,48.12,37.75
POC-346_20200108_9,2311.970584,45.69,37.33
POC-366_20200108_9,2305.238458,51.215,37.3
ACR-390_20200108_9,2313.380275,52.575,37.38
POR-338_20200108_10,2264.61331,50.293,37.65
POR-349_20200108_10,2313.139043,50.982,37.91
POR-354_20200108_9,2289.354204,51.392,37.96
