SampleID,TA,Mass,Salinity
JUNK 1,3002.889294,44.216,35
Initial1_20200110_12,2343.18073,53.353,37.01
Initial1_20200110_13,2344.210633,51.878,37.27
Initial1_20200108_10,2347.6633,49.497,37.25
Initial1_20200109_11,2337.019359,49.022,37.28
BK-9_20200108_9,2343.821233,50.195,37.64
POC-359_20200108_10,2329.67509,50.059,37.62
POR-341_20200107_8,2334.405553,56.833,38.21
