Timepoint,Site,Species,Coral ID,Resp/Calc Run
1,2,Acropora,ACR-243,1
1,2,Acropora,ACR-247,1
1,2,Pocillopora,POC-219,1
1,2,Pocillopora,POC-239,1
1,2,Pocillopora,POC-254,1
1,2,Porites,POR-214,1
1,2,Porites,POR-221,1
1,2,Porites,POR-242,1
1,2,Porites,POR-262,1
1,2,Acropora,ACR-228,2
1,2,Acropora,ACR-244,2
1,2,Acropora,ACR-256,2
1,2,Acropora,ACR-267,2
1,2,Pocillopora,POC-201,2
1,2,Pocillopora,POC-248,2
1,2,Pocillopora,POC-255,2
1,2,Porites,POC-235,2
1,2,Porites,POR-236,2
1,2,Acropora,ACR-229,3
1,2,Acropora,ACR-234,3
1,2,Acropora,ACR-258,3
1,2,Pocillopora,POC-217,3
1,2,Pocillopora,POC-238,3
1,2,Pocillopora,POC-259,3
1,2,Porites,POR-209,3
1,2,Porites,POR-245,3
1,2,Porites,POR-266,3
1,2,Acropora,ACR-231,4
1,2,Acropora,ACR-246,4
1,2,Acropora,ACR-265,4
1,2,Pocillopora,POC-200,4
1,2,Pocillopora,POC-205,4
1,2,Pocillopora,POC-207,4
1,2,Porites,POR-224,4
1,2,Porites,POR-240,4
1,2,Porites,POR-253,4
1,2,Acropora,ACR-225,5
1,2,Acropora,ACR-237,5
1,2,Pocillopora,POC-222,5
1,2,Porites,POR-216,5
1,2,Porites,POR-251,5
1,2,Porites,POR-260,5
1,3,Pocillopora,POC-377,6
1,3,Acropora,ACR-389,6
1,3,Porites,POR-353,6
1,3,Pocillopora,POC-371,6
1,3,Acropora,ACR-393,6
1,3,Acropora,ACR-350,6
1,3,Porites,POR-362,6
1,3,Pocillopora,POC-395,6
1,3,Porites,POR-355,6
1,3,Porites,POR-340,7
1,3,Acropora,ACR-343,7
1,3,Acropora,ACR-345,7
1,3,Pocillopora,POC-358,7
1,3,Pocillopora,POC-369,7
1,3,Pocillopora,POC-378,7
1,3,Acropora,ACR-379,7
1,3,Porites,POR-383,7
1,3,Porites,POR-384,7
1,3,Pocillopora,POC-373,8
1,3,Porites,POR-381,8
1,3,Acropora,ACR-363,8
1,3,Acropora,ACR-364,8
1,3,Acropora,ACR-368,8
1,3,Pocillopora,POC-391,8
1,3,Porites,POR-344,8
1,3,Pocillopora,POC-394,8
1,3,Porites,POR-357,8
1,3,Porites,POR-354,9
1,3,Porites,POR-387,9
1,3,Porites,POR-366,9
1,3,Acropora,ACR-396,9
1,3,Pocillopora,POC-372,9
1,3,Acropora,ACR-390,9
1,3,Pocillopora,POC-346,9
1,3,Porites,POR-365,10
1,3,Porites,POR-349,10
1,3,Acropora,ACR-374,10
1,3,Porites,POR-338,10
1,3,Porites,POR-367,10
1,3,Pocillopora,POC-359,10
1,3,Pocillopora,POC-386,10
1,3,Pocillopora,POC-375,10
1,3,Acropora,ACR-351,10
1,1,Acropora,ACR-180,11
1,1,Acropora,ACR-150,11
1,1,Pocillopora,POC-40,11
1,1,Porites,POR-80,11
1,1,Acropora,ACR-51,11
1,1,Pocillopora,POC-44,11
1,1,Pocillopora,POC-42,11
1,1,Porites,POR-70,11
1,1,Porites,POR-76,11
1,1,Acropora,ACR-176,12
1,1,Acropora,ACR-140,12
1,1,Porites,POR-69,12
1,1,Pocillopora,POC-47,12
1,1,Porites,POR-78,12
1,1,Porites,POR-75,12
1,1,Acropora,ACR-193,12
1,1,Pocillopora,POC-56,12
1,1,Pocillopora,POC-48,13
1,1,Porites,POR-81,13
1,1,Porites,POR-71,13
1,1,Pocillopora,POC-43,13
1,1,Porites,POR-79,13
1,1,Acropora,ACR-187,13
1,1,Pocillopora,POC-52,13
1,1,Pocillopora,POC-41,13
1,1,Acropora,ACR-190,13
