Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
1,POC-40,Host,1.1344,,
2,ACR-389,Sym,1.1385,1.1501,1.1487
3,POR-83,Sym,1.1401,,
4,POR-81,Sym,1.1475,,
5,ACR-150,Sym,1.1313,,
6,ACR-145,Sym,1.1289,,
7,POR-72,Sym,1.1321,,
8,ACR-176,Host,1.1426,,
9,,,1.1376,,
10,POR-82,Host,1.1345,,
11,POR-80,Sym,1.129,,
12,ACR-185,Sym,1.1397,,
13,POR-340,Sym,1.1395,1.1571,1.1519
14,ACR-175,Sym,1.1375,,
15,,,1.123,,
16,POC-52,Sym,1.1339,,
17,ACR-51,Sym,1.1309,,
18,POC-41,Sym,1.1308,,
19,ACR-190,Sym,1.1284,,
20,POC-47,Host,1.1415,,
21,POC-56,Host,1.1494,,
22,POR-76,Sym,1.133,,
23,POR-78,Sym,1.1499,,
24,POC-55,Sym,1.1218,,
25,POC-52,Host,1.1371,,
26,POC-40,Sym,1.1362,,
27,ACR-140,Host,1.1374,,
28,ACR-173,Sym,1.136,,
29,POC-358,Sym,1.148,1.1618,1.1586
30,ACR-350,Sym,1.1426,1.1622,1.1546
31,POR-77,Host,1.1394,,
32,POR-74,Sym,1.1406,,
33,POC-55,Host,1.1311,,
34,POR-81,Host,1.1511,,
35,POC-57,Host,1.1418,,
36,,,1.1324,,
37,POR-71,Host,1.1417,,
38,POR-79,Sym,1.1307,,
39,POC-395,Sym,1.1478,1.1625,1.1585
40,ACR-186,Sym,1.1441,,
41,POR-75,Sym,1.1257,,
42,POR-70,Sym,1.1381,,
43,ACR-165,Sym,1.1427,,
44,POC-53,Sym,1.1538,,
45,POC-377,Sym,1.1632,1.1773,1.1737
46,POC-359,Sym,1.141,1.1543,1.1514
47,POR-69,Host,1.1389,,
48,POC-57,Sym,1.1475,,
49,ACR-140,Sym,1.1498,,
50,POR-353,Sym,1.1429,1.1648,1.1567
51,ACR-231,Sym,1.1491,1.1634,
52,POR-353,Host,1.1359,1.2023,1.1875
53,ACR-379,Sym,1.1394,1.1554,1.1511
54,ACR-396,Host,1.134,1.184,1.1779
55,POR-338,Host,1.1486,1.2106,1.1942
56,POR-357,Sym,1.1355,1.157,1.1491
57,POR-355,Sym,1.1463,1.1647,1.1587
58,POR-362,Sym,1.1475,1.1817,1.1644
59,,,1.1258,,
60,ACR-187,Sym,1.1335,,
61,POC-386,Sym,1.1424,1.1576,1.1543
62,POC-45,Sym,1.1316,,
63,POR-80,Host,1.1564,,
64,POR-367,Sym,1.1381,1.1537,1.15
65,POC-259,Sym,1.1458,1.1659,
66,POC-373,Host,1.1485,1.2072,1.1949
67,1xPBS,PBS,1.1345,1.1747,1.1735
68,ACR-389,Host,1.1475,1.1901,1.1874
69,ACR-364,Host,1.1266,1.1788,1.1719
70,ACR-374,Sym,1.1347,1.15,1.1461
71,POR-73,Host,1.1445,,
