Date,Timepoint,Species,Coral ID,Photo.Number,Site,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Tech,Notes
20200305,1,Pocillopora,40,POC-40,1,137.89,63.046,122.646,100.159,70.016,39.029,AF,
20200305,1,Pocillopora,41,POC-41,1,167.373,75.364,119.776,126.117,92.652,44.21,AF,
20200305,1,Pocillopora,42,POC-42,1,141.005,53.023,97.328,65.695,33.769,4.642,AF,
20200305,1,Pocillopora,43,POC-43,1,164.051,82.151,146.063,116.964,78.408,37.949,AF,
20200305,1,Pocillopora,44,POC-44,1,151.919,62.537,117.541,91.024,553.792,12.993,AF,
20200305,1,Pocillopora,45,POC-45,1,148.526,62.43,115.284,96.975,60.123,9.87,AF,
20200305,1,Pocillopora,47,POC-47,1,174.741,80.302,125.363,113.712,80.139,40.69,AF,
20200305,1,Pocillopora,48,POC-48,1,118.612,36.917,70.399,80.205,43.718,7.419,AF,
20200305,1,Pocillopora,50,POC-50,1,96.433,29.71,67.953,73.559,35.357,3.264,AF,
20200305,1,Pocillopora,52,POC-52,1,138.084,49.572,89.476,60.944,29.788,3.222,AF,
20200305,1,Pocillopora,53,POC-53,1,117.245,31.171,46.147,69.52,38.782,4.973,AF,
20200305,1,Pocillopora,55,POC-55,1,186.097,94.566,164.175,144.576,93.623,40.875,AF,
20200305,1,Pocillopora,56,POC-56,1,100.173,30.414,78.869,75.86,45.583,16.194,AF,
20200305,1,Pocillopora,57,POC-57,1,184.456,92.795,150.141,119.864,88.166,48.724,AF,
20200305,1,Pocillopora,68,POC-68,1,120.947,37.88,57.418,63.229,32.59,4.886,AF,
20200305,1,Porites,69,POR-69,1,187.59,84.286,118.896,125.815,96.767,44.483,AF,
20200305,1,Porites,70,POR-70,1,149.422,51.367,81.499,81.404,59.001,13.689,AF,
20200305,1,Porites,71,POR-71,1,118.501,40.205,73.465,58.309,35.873,1.598,AF,
20200305,1,Porites,72,POR-72,1,108.939,24.706,38.694,59.084,38.723,3.9,AF,
20200305,1,Porites,73,POR-73,1,166.264,77.356,125.029,98.971,77.775,30.835,AF,
20200305,1,Porites,74,POR-74,1,106.788,33.373,81.841,60.974,37.876,4.814,AF,
20200305,1,Porites,75,POR-75,1,153.291,52.054,78.944,93.359,67.882,21.199,AF,
20200305,1,Porites,76,POR-76,1,139.044,41.878,61.281,88.159,61.959,10.191,AF,
20200305,1,Porites,77,POR-77,1,141.687,50.329,92.565,66.18,38.141,1.048,AF,
20200305,1,Porites,78,POR-78,1,139.024,41.324,62.298,69.972,44.513,6.755,AF,
20200305,1,Porites,79,POR-79,1,180.419,92.896,163.64,123.58,95.204,45.751,AF,
20200305,1,Porites,80,POR-80,1,153.612,74.083,135.527,89.023,66.781,33.659,AF,
20200305,1,Porites,81,POR-81,1,154.447,47.565,63.578,88.011,59.503,16.478,AF,
20200305,1,Porites,82,POR-82,1,159.194,16.486,8.087,114.442,88.487,38.505,AF,
20200305,1,Porites,83,POR-83,1,112.39,37.09,90.087,60.496,38.204,4.59,AF,
20200305,1,Acropora,139,ACR-139,1,124.004,45.16,90.132,84.595,51.036,9.687,AF,
20200305,1,Acropora,140,ACR-140,1,117.976,30.184,47.934,93.608,65.804,17.743,AF,
20200305,1,Acropora,145,ACR-145,1,121.384,31.405,45.638,78.509,49.847,9.41,AF,
20200305,1,Acropora,150,ACR-150,1,167.099,71.895,118.666,139.39,105.577,52.538,AF,
20200305,1,Acropora,165,ACR-165,1,174.92,92.833,158.531,133.718,89.722,32.724,AF,
20200305,1,Acropora,173,ACR-173,1,100.133,29.463,66.046,59.909,27.121,1.49,AF,
20200305,1,Acropora,175,ACR-175,1,140.725,53.098,95.935,93.509,59.289,11.356,AF,
20200305,1,Acropora,176,ACR-176,1,175.845,82.68,128.554,123.274,88.732,35.552,AF,
20200305,1,Acropora,178,ACR-178,1,,,,,,,,
20200305,1,Acropora,180,ACR-180,1,158.034,57.224,97.256,134.448,102.919,54.905,AF,
20200305,1,Acropora,185,ACR-185,1,188.045,89.975,139.021,105.277,78.458,38.283,AF,
20200305,1,Acropora,186,ACR-186,1,105.599,24.425,46.127,101.416,67.602,17.28,AF,
20200305,1,Acropora,187,ACR-187,1,107.743,26.493,50.598,97.651,63.269,17.988,AF,
20200305,1,Acropora,187_2,ACR-187_2,1,132.387,44.823,73.299,87.911,60.113,19.423,AF,
20200305,1,Acropora,190,ACR-190,1,184.423,93.787,156.241,120.592,77.857,32.108,AF,
20200305,1,Acropora,193,ACR-193,1,106.975,37.133,81.027,67.792,35.42,4.073,AF,
20200305,1,Acropora,51,ACR-51,1,133.544,42.32,70.922,91.366,63.668,13.173,AF,
20200104,1,Porites,266,P1040001,2,173.228,39,148.015,141.552,112.782,70.364,AM,
20200104,1,Porites,209,P1040002,2,146.028,30.965,125.953,85.965,63.903,30.97,AM,
20200104,1,Porites,235,P1040003,2,149.815,27.231,124.618,112.369,86.423,56.863,AM,
20200104,1,Pocillopora,239,P1040004,2,233.78,63.329,171.367,154.017,113.645,61.815,AM,
20200104,1,Pocillopora,238,P1040005,2,194.056,46.612,160.027,121.427,84.248,40.94,AM,
20200104,1,Pocillopora,255,P1040006,2,192.26,50.628,160.886,107.344,70.278,30.777,AM,
20200104,1,Pocillopora,200,P1040007,2,242.101,71.03,172.124,156.092,119.157,65.205,AM,
