"Bleaching.Score","Coral.ID","Species","Timepoint","Site","Group","SpGroup"
-14.5760079810412,"40","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-16.4482390888143,"41","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-9.27499045235471,"42","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.7780460545127,"43","Pocillopora",1,1,"Pocillopora 1 1","1 1"
56.1553515963305,"44","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.6166520252264,"45","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.094962827698,"47","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.216499446771,"48","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.3342027238106,"50","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-8.80005998994009,"52","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-15.1492569739008,"53","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.1794731609292,"55","Pocillopora",1,1,"Pocillopora 1 1","1 1"
328.070114010403,"56","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.3648686642489,"57","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-12.2007822429089,"68","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-15.3884138655226,"69","Porites",1,1,"Porites 1 1","1 1"
-15.7145023393573,"70","Porites",1,1,"Porites 1 1","1 1"
-12.4652774676114,"71","Porites",1,1,"Porites 1 1","1 1"
-13.2129258799807,"72","Porites",1,1,"Porites 1 1","1 1"
-14.2763238318861,"73","Porites",1,1,"Porites 1 1","1 1"
-0.951029795959781,"74","Porites",1,1,"Porites 1 1","1 1"
-17.2036662385287,"75","Porites",1,1,"Porites 1 1","1 1"
-18.1488496661031,"76","Porites",1,1,"Porites 1 1","1 1"
-10.7146150389583,"77","Porites",1,1,"Porites 1 1","1 1"
-14.9424438460525,"78","Porites",1,1,"Porites 1 1","1 1"
-14.4320957642654,"79","Porites",1,1,"Porites 1 1","1 1"
-13.0968405001982,"80","Porites",1,1,"Porites 1 1","1 1"
-16.6897752722916,"81","Porites",1,1,"Porites 1 1","1 1"
42.7466175006451,"82","Porites",1,1,"Porites 1 1","1 1"
-11.5680268091399,"83","Porites",1,1,"Porites 1 1","1 1"
-14.295246597494,"139","Acropora",1,1,"Acropora 1 1","1 1"
-16.253585530247,"140","Acropora",1,1,"Acropora 1 1","1 1"
-17.7381012225961,"145","Acropora",1,1,"Acropora 1 1","1 1"
-17.8866123977472,"150","Acropora",1,1,"Acropora 1 1","1 1"
-13.9215381896656,"165","Acropora",1,1,"Acropora 1 1","1 1"
397.687817538906,"173","Acropora",1,1,"Acropora 1 1","1 1"
-15.1622783422054,"175","Acropora",1,1,"Acropora 1 1","1 1"
-15.0399968100493,"176","Acropora",1,1,"Acropora 1 1","1 1"
-18.6719850376564,"180","Acropora",1,1,"Acropora 1 1","1 1"
-12.073800823775,"185","Acropora",1,1,"Acropora 1 1","1 1"
33.2988683931125,"186","Acropora",1,1,"Acropora 1 1","1 1"
3.692598149698,"187","Acropora",1,1,"Acropora 1 1","1 1"
-16.7914195851476,"187_2","Acropora",1,1,"Acropora 1 1","1 1"
-11.9725031642732,"190","Acropora",1,1,"Acropora 1 1","1 1"
0.923676246641388,"193","Acropora",1,1,"Acropora 1 1","1 1"
-17.7748486352308,"51","Acropora",1,1,"Acropora 1 1","1 1"
-17.1880173280017,"266","Porites",1,2,"Porites 1 2","1 2"
-19.9304809795244,"209","Porites",1,2,"Porites 1 2","1 2"
-15.580715685324,"235","Porites",1,2,"Porites 1 2","1 2"
-19.5151549593617,"239","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.143690565447,"238","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-16.915544732499,"255","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.1614968338207,"200","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.9808185047435,"254","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.3744700284277,"201","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.5386272341914,"207","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.3518531122408,"219","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.7333969155806,"222","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.4751824108533,"259","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.5018442442854,"217","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-15.0405727539659,"205","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.7369582053329,"248","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-17.8043133053003,"253","Porites",1,2,"Porites 1 2","1 2"
-18.1021856156025,"216","Porites",1,2,"Porites 1 2","1 2"
-11.7182462425222,"240","Porites",1,2,"Porites 1 2","1 2"
-16.659844517315,"221","Porites",1,2,"Porites 1 2","1 2"
-19.3168918709187,"242","Porites",1,2,"Porites 1 2","1 2"
