Well,562:562
A1,2.182
B1,0.275
C1,0.473
D1,1.796
E1,2.116
F1,1.634
G1,1.509
H1,2.163
A2,2.019
B2,0.278
C2,0.472
D2,1.686
E2,2.189
F2,1.647
G2,1.522
H2,2.167
A3,1.509
B3,0.126
C3,0.53
D3,2.798
E3,1.081
F3,0.476
G3,0.703
H3,1.722
A4,1.734
B4,0.116
C4,0.566
D4,2.938
E4,1.116
F4,0.489
G4,0.769
H4,1.706
A5,1.201
B5,0.087
C5,1.191
D5,0.632
E5,1.042
F5,1.526
G5,2.001
H5,1.581
A6,1.212
B6,0.088
C6,1.232
D6,0.664
E6,1.091
F6,1.502
G6,2.019
H6,1.628
A7,0.96
B7,1.263
C7,1.402
D7,0.732
E7,1.943
F7,1.499
G7,2.061
H7,0.539
A8,0.996
B8,1.264
C8,1.492
D8,0.741
E8,2
F8,1.531
G8,2.124
H8,0.616
A9,0.661
B9,0.777
C9,1.885
D9,0.53
E9,0.498
F9,0.518
G9,1.052
H9,0.849
A10,0.689
B10,0.834
C10,1.876
D10,0.549
E10,0.535
F10,0.521
G10,1.278
H10,0.842
A11,0.397
B11,1.307
C11,1.723
D11,0.93
E11,0.785
F11,0.956
G11,1.655
H11,1.043
A12,0.446
B12,1.406
C12,1.998
D12,0.99
E12,0.842
F12,1.03
G12,1.73
H12,1.129
