well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,POC-40
B8,POC-40
B9,POR-362
B10,POR-362
B11,POC-377
B12,POC-377
C1,POC-386
C2,POC-386
C3,POC-394
C4,POC-394
C5,ACR-393
C6,ACR-393
C7,POC-346
C8,POC-346
C9,ACR-343
C10,ACR-343
C11,POC-378
C12,POC-378
D1,POR-383
D2,POR-383
D3,POR-357
D4,POR-357
D5,POR-365
D6,POR-365
D7,POC-366
D8,POC-366
D9,POR-367
D10,POR-367
D11,POR-353
D12,POR-353
E1,POC-358
E2,POC-358
E3,POC-371
E4,POC-371
E5,ACR-368
E6,ACR-368
E7,ACR-389
E8,ACR-389
E9,ACR-398
E10,ACR-398
E11,PCO-369
E12,PCO-369
F1,POC-372
F2,POC-372
F3,POC-373
F4,POC-373
F5,POR-338
F6,POR-338
F7,POR-340
F8,POR-340
F9,POR-341
F10,POR-341
F11,POR-349
F12,POR-349
G1,POC-359
G2,POC-359
G3,POR-354
G4,POR-354
G5,POR-262
G6,POR-262
G7,POC-257
G8,POC-257
G9,ACR-234
G10,ACR-234
G11,POR-214
G12,POR-214
H1,ACR-256
H2,ACR-256
H3,ACR-213
H4,ACR-213
H5,ACR-225
H6,ACR-225
H7,POC-239
H8,POC-239
H9,ACR-231
H10,ACR-231
H11,ACR-220
H12,ACR-220
