Well,562:562
A1,2.34
B1,0.291
C1,1.003
D1,0.786
E1,2.305
F1,1.118
G1,1.674
H1,1.469
A2,2.431
B2,0.293
C2,1.027
D2,0.768
E2,2.341
F2,1.121
G2,1.579
H2,1.471
A3,1.844
B3,0.125
C3,1.295
D3,0.541
E3,1.658
F3,0.795
G3,0.905
H3,0.99
A4,1.71
B4,0.124
C4,1.312
D4,0.538
E4,1.664
F4,0.797
G4,0.939
H4,0.99
A5,1.322
B5,0.09
C5,1.296
D5,0.713
E5,0.728
F5,1.805
G5,0.96
H5,0.767
A6,1.294
B6,0.091
C6,1.348
D6,0.736
E6,0.761
F6,1.888
G6,0.981
H6,0.792
A7,1.064
B7,1.569
C7,0.903
D7,0.739
E7,1.258
F7,1.581
G7,1.529
H7,1.097
A8,1.072
B8,1.559
C8,0.94
D8,0.766
E8,1.263
F8,1.616
G8,1.47
H8,0.803
A9,0.722
B9,1.655
C9,0.955
D9,0.847
E9,1.902
F9,1.448
G9,2.051
H9,1.061
A10,0.698
B10,1.663
C10,1.006
D10,0.89
E10,2.036
F10,1.44
G10,2.025
H10,1.079
A11,0.454
B11,1.875
C11,1.027
D11,1.55
E11,0.63
F11,1.414
G11,1.606
H11,1.11
A12,0.436
B12,2.003
C12,1.091
D12,1.606
E12,0.642
F12,1.376
G12,1.644
H12,1.187
