Well,562:562
A1,2.248
B1,0.287
C1,0.885
D1,1.439
E1,1.291
F1,1.371
G1,1.359
H1,1.843
A2,2.276
B2,0.287
C2,0.868
D2,1.433
E2,1.298
F2,1.392
G2,1.419
H2,1.898
A3,1.77
B3,0.127
C3,0.826
D3,1.13
E3,1.246
F3,0.582
G3,1.254
H3,1.465
A4,1.783
B4,0.123
C4,0.851
D4,1.177
E4,1.405
F4,0.635
G4,1.26
H4,1.468
A5,1.262
B5,0.094
C5,1.277
D5,0.988
E5,0.579
F5,1.235
G5,1.014
H5,1.183
A6,1.278
B6,0.094
C6,1.355
D6,1.012
E6,0.643
F6,1.128
G6,1.075
H6,1.262
A7,1.02
B7,1.496
C7,1.208
D7,1.168
E7,1.221
F7,1.4
G7,0.734
H7,0.927
A8,1.091
B8,1.531
C8,1.254
D8,1.217
E8,1.27
F8,1.438
G8,0.742
H8,1.07
A9,0.708
B9,1.573
C9,1.705
D9,0.76
E9,1.44
F9,1.108
G9,1.392
H9,0.768
A10,0.748
B10,1.615
C10,1.689
D10,0.76
E10,1.49
F10,1.149
G10,1.44
H10,0.787
A11,0.436
B11,0.119
C11,0.705
D11,0.792
E11,1.525
F11,1.339
G11,1.139
H11,1.304
A12,0.451
B12,0.121
C12,0.765
D12,0.782
E12,1.581
F12,1.398
G12,1.207
H12,1.379
