colony_id,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2,timepoint
POR-216,11.4103,11.6888,NA,0.2785000000000011,15.74988954084712,timepoint3
ACR-210,1.3859,1.9325,NA,0.5466000000000002,25.779510157709232,timepoint3
ACR-175,5.4017,5.7593,NA,0.3575999999999997,18.709020427806394,timepoint3
POR-73,8.5856,8.9085,NA,0.32290000000000063,17.410893477395703,timepoint3
ACR-265,3.5549,3.8049,NA,0.25,14.683704581576018,timepoint3
POR-245,11.1895,11.8028,NA,0.6132999999999988,28.274757062389178,timepoint3
POC-205,7.8083,8.3139,NA,0.5056000000000003,24.24570021630175,timepoint3
POC-257,15.8635,17.0813,NA,1.2177999999999987,50.88910119850692,timepoint3
POR-79,12.3826,12.7118,NA,0.32920000000000016,17.646576468392446,timepoint3
POR-251,25.9226,26.5549,NA,0.6323000000000008,28.98554703523662,timepoint3
ACR-173,17.1911,18.1565,NA,0.9654000000000025,41.44681755920827,timepoint3
ACR-139,10.4981,11.2712,NA,0.7730999999999995,34.25287483402132,timepoint3
POR-69,15.4827,15.9122,NA,0.4295000000000009,21.398799325055187,timepoint3
POR-74,12.2604,12.5421,NA,0.28169999999999895,15.869601536273965,timepoint3
POR-70,17.7816,18.2598,NA,0.4781999999999975,23.22066625545859,timepoint3
POC-68,9.2504,10.0879,NA,0.8374999999999986,36.662078741988175,timepoint3
POC-238,10.4599,11.2106,NA,0.7507000000000001,33.41489086603286,timepoint3
POC-47,13.2869,14.1425,NA,0.8556000000000008,37.33919971612181,timepoint3
POC-366,24.913,26.3948,NA,1.4817999999999998,60.765340821228364,timepoint3
ACR-213,1.4136,1.7935,NA,0.3799000000000001,19.543263395937803,timepoint3
ACR-178,14.4608,15.3556,NA,0.8948,38.80567166010162,timepoint3
POC-40,21.0942,23.0646,NA,1.970399999999998,79.04386612297706,timepoint3
ACR-237,1.752,2.2017,NA,0.4497000000000002,22.154481296187633,timepoint3
POC-259,9.1357,9.8732,NA,0.7375000000000007,32.921078884896815,timepoint3
POC-239,15.1845,16.371,NA,1.1864999999999988,49.71816824323731,timepoint3
ACR-140,7.9498,8.4588,NA,0.5090000000000003,24.372894211442862,timepoint3
ACR-150,3.9367,4.6629,NA,0.7261999999999995,32.49834590104543,timepoint3
POR-82,10.7595,11.0303,NA,0.27080000000000126,15.461832551851085,timepoint3
ACR-190,9.3562,9.832,NA,0.47580000000000133,23.13088225888854,timepoint3
POR-224,6.1216,6.3044,NA,0.1828000000000003,12.169752677610582,timepoint3
POR-71,9.4581,9.7685,NA,0.31039999999999957,16.943268495259233,timepoint3
ACR-145,1.766,1.9412,NA,0.17520000000000002,11.885436688471621,timepoint3
POC-222,17.5888,18.8716,NA,1.2828000000000017,53.32075110561647,timepoint3
POR-80,20.1271,20.7039,NA,0.5768000000000022,26.909292114550922,timepoint3
ACR-218,2.8573,3.4871,NA,0.6297999999999999,28.8920220388093,timepoint3
POC-44,9.5355,10.419,NA,0.8834999999999997,38.382938676250276,timepoint3
POC-248,9.2566,10.0322,NA,0.775599999999999,34.34639983044858,timepoint3
POC-255,11.4612,12.3759,NA,0.9146999999999998,39.55013063166281,timepoint3
POR-381,20.8042,21.324,NA,0.5198,24.776922196008726,timepoint3
ACR-229,1.6387,1.9902,NA,0.3514999999999999,18.480819436523827,timepoint3
POR-253,9.2972,9.6693,NA,0.37209999999999965,19.251465407084652,timepoint3
POR-76,10.4252,10.6469,NA,0.22170000000000023,13.62500162201915,timepoint3
POC-48,21.0105,22.63,NA,1.6194999999999986,65.91669762444323,timepoint3
ACR-220,4.0517,4.8668,NA,0.8150999999999993,35.82409477399972,timepoint3
POC-254,15.5734,16.866,NA,1.2926000000000002,53.68736909161138,timepoint3
ACR-343,11.8576,12.4182,NA,0.5606000000000009,26.303250137702065,timepoint3
ACR-225,0.8545,1.0571,NA,0.2025999999999999,12.910470649314671,timepoint3
POC-375,14.8123,16.3679,NA,1.5555999999999983,63.526198715761794,timepoint3
POC-45,17.7317,19.3388,NA,1.607099999999999,65.4528136421639,timepoint3
POR-242,28.7915,29.4059,NA,0.6143999999999998,28.315908060817215,timepoint3
POR-214,8.846,9.1914,NA,0.3453999999999997,18.25261844524124,timepoint3
POR-262,4.9544,5.0955,NA,0.14110000000000067,10.609755737203464,timepoint3
ACR-244,1.6378,2.0031,NA,0.36529999999999996,18.997077416802448,timepoint3
POC-207,8.4019,9.1445,NA,0.7426000000000013,33.1118698776085,timepoint3
POC-391,12.23,13.2615,NA,1.0314999999999994,43.9196184647456,timepoint3
POR-240,19.6803,20.3521,NA,0.6718000000000011,30.46324197878775,timepoint3
POR-72,6.8073,7.0931,NA,0.28580000000000005,16.022982530414758,timepoint3
POC-377,11.6312,12.4283,NA,0.7971000000000004,35.150714799723296,timepoint3
POC-200,20.6161,22.0411,NA,1.4250000000000007,58.64045290240046,timepoint3
POC-53,25.6052,27.8433,NA,2.2380999999999993,89.05852274041091,timepoint3
POC-219,12.3847,13.3378,NA,0.9530999999999992,40.9866745767859,timepoint3
ACR-186,17.341,18.4109,NA,1.0699000000000005,45.35616240986875,timepoint3
POC-373,27.1535,29.2219,NA,2.0684000000000005,82.71004598292677,timepoint3
POC-52,13.8042,15.1297,NA,1.3255,54.91815804459445,timepoint3
POR-83,11.3327,11.746,NA,0.41329999999999956,20.792757348206322,timepoint3
POR-81,8.0871,8.3982,NA,0.3110999999999997,16.969455494258877,timepoint3
ACR-364,17.1019,18.2956,NA,1.1936999999999998,49.98752023294793,timepoint3
POC-201,19.7895,21.3363,NA,1.546800000000001,63.19699072833785,timepoint3
POC-55,13.3554,14.3177,NA,0.9623000000000008,41.330846563638374,timepoint3
POR-260,10.6553,11.2452,NA,0.5899000000000001,27.399363095829827,timepoint3
ACR-241,3.3351,3.7796,NA,0.4444999999999997,21.959949303618856,timepoint3
POC-57,11.3374,12.3244,NA,0.9870000000000001,42.254873528339935,timepoint3
POC-43,12.0125,13.0587,NA,1.0462000000000007,44.469545443738085,timepoint3
POR-209,12.7015,12.994,NA,0.2925000000000004,16.273629520839897,timepoint3
POR-349,10.6144,10.9513,NA,0.3369,17.93463345738848,timepoint3
POR-362,8.0605,8.2668,NA,0.2063000000000006,13.048887644027081,timepoint3
POC-369,17.8698,19.2121,NA,1.342299999999998,55.54664602058574,timepoint3
POR-340,22.7789,23.1874,NA,0.4085000000000001,20.613189355065956,timepoint3
POC-42,7.2515,7.882,NA,0.6304999999999996,28.91820903780893,timepoint3
POR-384,5.2073,5.5394,NA,0.3320999999999996,17.755065464248077,timepoint3
POR-367,9.708,9.999,NA,0.29100000000000037,16.21751452298352,timepoint3
POC-359,10.2467,11.0062,NA,0.7594999999999992,33.74409885345687,timepoint3
POR-338,8.8611,9.3617,NA,0.5006000000000004,24.05865022344718,timepoint3
POR-365,17.3392,17.7694,NA,0.43019999999999925,21.424986324054764,timepoint3
POC-372,18.5413,20.2411,NA,1.6997999999999998,68.9207205096877,timepoint3
POC-371,17.1806,18.2972,NA,1.1166000000000018,47.1032093431305,timepoint3
POC-378,13.4909,14.5286,NA,1.037700000000001,44.151560455885324,timepoint3
POC-395,12.3036,13.4468,NA,1.1432000000000002,48.09831530511677,timepoint3
POR-383,14.1601,14.6336,NA,0.4734999999999996,23.044839262175373,timepoint3
POR-355,7.4838,7.684,NA,0.2002000000000006,12.820686652744504,timepoint3
POR-353,6.2878,6.542,NA,0.2542,14.840826575573859,timepoint3
POC-358,16.7189,18.2468,NA,1.527899999999999,62.48994175534749,timepoint3
POR-354,12.6996,12.9945,NA,0.29490000000000016,16.36341351741008,timepoint3
POC-386,37.343,39.8075,NA,2.464499999999994,97.52814641686572,timepoint3
POR-387,3.4964,3.6749,NA,0.1785000000000001,12.008889683755642,timepoint3
POR-341,16.0796,16.5292,NA,0.4496000000000002,22.15074029633054,timepoint3
POR-221,10.4009,10.8062,NA,0.40530000000000044,20.49347735963904,timepoint3
POR-357,11.9214,12.2585,NA,0.3370999999999995,17.942115457102645,timepoint3
POR-75,7.7338,8.0464,NA,0.31260000000000066,17.025570492115286,timepoint3
