species,site,Am,AQY,Rd,timepoint
Acropora,site1,0.6731563415701144,0.0018939660752953524,0.3563556967000968,timepoint3
Acropora,site2,0.758539501339503,0.0026554718937993205,0.32375754867557627,timepoint3
Acropora,site3,0.6658182093514536,0.003243551018361844,0.344704658529924,timepoint3
Pocillopora,site1,0.7391443865467606,0.003544541002379496,0.5767813194141093,timepoint3
Pocillopora,site2,0.801175110320169,0.003609190953291639,0.3879258174688402,timepoint3
Pocillopora,site3,0.8120961004451529,0.0027990213458588447,0.3418949095474307,timepoint3
Porites,site1,2.2618120691937413,0.006817010479438513,0.8703684290146453,timepoint3
Porites,site2,1.634629526670099,0.008548261594993946,0.6491912190210799,timepoint3
Porites,site3,1.7815697577918639,0.008859351689988042,0.7295986349280124,timepoint3
NA,NA,0.8470177578357062,0.00362378829867884,0.4594574687421444,timepoint3
