colony_id,species,site,cre.umol.L,cre.umol.mgprot,timepoint
ACR-139,Acropora,site1,118.06768928115551,0.2897869928446133,timepoint3
ACR-140,Acropora,site1,110.5309316120081,0.2327181289490833,timepoint3
ACR-145,Acropora,site1,85.09437447863566,0.2207627940818556,timepoint3
ACR-150,Acropora,site1,241.48209611344416,0.32410902616763304,timepoint3
ACR-173,Acropora,site1,129.37282578487662,0.21587620005702185,timepoint3
ACR-175,Acropora,site1,190.6089818466992,0.37000609722868383,timepoint3
ACR-178,Acropora,site1,151.0410040836754,0.26407645299021937,timepoint3
ACR-186,Acropora,site1,199.08783422449002,0.18415442341735427,timepoint3
ACR-190,Acropora,site1,119.95187869844239,0.24060771448089666,timepoint3
ACR-210,Acropora,site2,193.43526597262945,0.24836714557550651,timepoint3
ACR-213,Acropora,site2,115.24140515522525,0.20300704570551145,timepoint3
ACR-218,Acropora,site2,174.59337179976094,0.1705434096211974,timepoint3
ACR-220,Acropora,site2,242.42419082208755,0.1947886180988189,timepoint3
ACR-225,Acropora,site2,232.0611490270099,0.5141200761470072,timepoint3
ACR-229,Acropora,site2,145.3884358318148,0.2354417767182111,timepoint3
ACR-237,Acropora,site2,147.27262524910168,0.21150899025929568,timepoint3
ACR-241,Acropora,site2,164.2303300046833,0.22202135436582282,timepoint3
ACR-244,Acropora,site2,196.26155009855972,0.26590199460035313,timepoint3
ACR-265,Acropora,site2,119.95187869844236,0.2921061703229747,timepoint3
ACR-343,Acropora,site3,139.7358675799543,0.2528396583229683,timepoint3
ACR-364,Acropora,site3,231.11905431836647,0.1860253298310005,timepoint3
POC-200,Pocillopora,site2,205.682497184994,0.3184345958348909,timepoint3
POC-201,Pocillopora,site2,252.78723261716527,0.1597168439177311,timepoint3
POC-205,Pocillopora,site2,97.34160569100015,0.14656809047488562,timepoint3
POC-207,Pocillopora,site2,116.18349986386869,0.17868749317170324,timepoint3
POC-219,Pocillopora,site2,174.593371799761,0.23133801538107282,timepoint3
POC-222,Pocillopora,site2,184.0143188861952,0.15857708671932294,timepoint3
POC-238,Pocillopora,site2,136.90958345402402,0.1794946898460044,timepoint3
POC-239,Pocillopora,site2,157.63566704417934,0.18864146211594846,timepoint3
POC-248,Pocillopora,site2,148.2147199577451,0.13358742904154322,timepoint3
POC-254,Pocillopora,site2,218.8718231060019,0.19216609705112342,timepoint3
POC-255,Pocillopora,site2,123.72025753301605,0.1538777459633524,timepoint3
POC-257,Pocillopora,site2,254.6714220344521,0.20821578774750166,timepoint3
POC-259,Pocillopora,site2,127.48863636758975,0.12440109384421849,timepoint3
POC-358,Pocillopora,site3,349.82298760743794,0.23639517951742964,timepoint3
POC-359,Pocillopora,site3,180.24594005162152,0.26107478312492105,timepoint3
POC-366,Pocillopora,site3,132.19910991080687,0.15472853062260644,timepoint3
POC-369,Pocillopora,site3,233.0032437356533,0.3395993187447347,timepoint3
POC-371,Pocillopora,site3,208.5087813109243,0.1591751007534203,timepoint3
POC-372,Pocillopora,site3,266.9186532468166,0.30089392819810223,timepoint3
POC-373,Pocillopora,site3,119.0097839897989,0.2136799777355702,timepoint3
POC-375,Pocillopora,site3,372.43326061488017,0.22940826797664837,timepoint3
POC-377,Pocillopora,site3,176.47756121704782,0.16730406661779143,timepoint3
POC-378,Pocillopora,site3,222.64020194057562,0.2135627375563944,timepoint3
POC-386,Pocillopora,site3,313.0812939703444,0.24008598639838724,timepoint3
POC-391,Pocillopora,site3,131.25701520216347,0.1977944241660641,timepoint3
POC-395,Pocillopora,site3,219.81391781464535,0.2877816359047688,timepoint3
POC-40,Pocillopora,site1,167.998708839257,0.19724774040578047,timepoint3
POC-42,Pocillopora,site1,147.27262524910165,0.14716924514181606,timepoint3
POC-43,Pocillopora,site1,186.84060301212548,0.16108707647286175,timepoint3
POC-44,Pocillopora,site1,189.66688713805576,0.19658771346060663,timepoint3
POC-45,Pocillopora,site1,298.94987334069305,0.22391201724944443,timepoint3
POC-47,Pocillopora,site1,81.32599564406195,0.18915739315620395,timepoint3
POC-48,Pocillopora,site1,246.19256965666125,0.17626052372564185,timepoint3
POC-52,Pocillopora,site1,166.1145194219702,0.2078527660567367,timepoint3
POC-53,Pocillopora,site1,265.9765585381732,0.14947482370263768,timepoint3
POC-55,Pocillopora,site1,299.89196804933647,0.27905736692222655,timepoint3
POC-57,Pocillopora,site1,107.70464748607785,0.22625690377309587,timepoint3
POC-68,Pocillopora,site1,134.08329932809374,0.14594809997135816,timepoint3
POR-209,Porites,site2,792.6075006698475,1.6212375784168636,timepoint3
POR-214,Porites,site2,218.87182310600195,0.4266447344528279,timepoint3
POR-216,Porites,site2,960.300358808377,0.7265514412866573,timepoint3
POR-221,Porites,site2,581.5782859337205,0.40099257761022866,timepoint3
POR-224,Porites,site2,254.6714220344521,0.4358679383616576,timepoint3
POR-240,Porites,site2,827.4650048896542,0.7608713173749532,timepoint3
POR-242,Porites,site2,287.6447368369719,0.5333987674444846,timepoint3
POR-245,Porites,site2,524.1105087064716,0.41242220527143736,timepoint3
POR-251,Porites,site2,350.76508231608136,0.7418692419689656,timepoint3
POR-253,Porites,site2,351.70717702472484,0.6756969805163898,timepoint3
POR-260,Porites,site2,882.1064979909728,0.6008767180319429,timepoint3
POR-262,Porites,site2,593.8255171460848,0.7970123382782477,timepoint3
POR-338,Porites,site3,900.0062974551979,0.5390738784299212,timepoint3
POR-340,Porites,site3,787.8970271266303,0.6179109450767084,timepoint3
POR-341,Porites,site3,1315.4700639669481,0.641425182125528,timepoint3
POR-349,Porites,site3,993.2736736108969,0.6543848880300589,timepoint3
POR-353,Porites,site3,436.495700802633,0.40596827980446104,timepoint3
POR-354,Porites,site3,744.5606705290329,0.6870089493297397,timepoint3
POR-355,Porites,site3,471.35320502243974,0.4628424082525896,timepoint3
POR-357,Porites,site3,1097.846186270317,0.5225439307018269,timepoint3
POR-362,Porites,site3,1273.075802077994,0.8886091724525392,timepoint3
POR-365,Porites,site3,1263.6548549915597,0.6596883764200672,timepoint3
POR-367,Porites,site3,983.8527265244627,0.6617294829952409,timepoint3
POR-381,Porites,site3,566.5047705954255,0.5115849505437988,timepoint3
POR-383,Porites,site3,1196.7661306778762,0.773965685270946,timepoint3
POR-384,Porites,site3,393.1593442050355,0.5712400313610912,timepoint3
POR-385,Porites,site3,670.1351885462022,0.849336143853572,timepoint3
POR-69,Porites,site1,1090.3094286011694,0.7699668066241987,timepoint3
POR-70,Porites,site1,835.0017625588016,0.5328055249020354,timepoint3
POR-71,Porites,site1,879.2802138650425,0.49925474502817724,timepoint3
POR-72,Porites,site1,592.8834224374416,0.773492789161957,timepoint3
POR-73,Porites,site1,1510.4836686561368,1.0902088455704588,timepoint3
POR-74,Porites,site1,906.6009604157019,0.614198604525753,timepoint3
POR-75,Porites,site1,1184.5188994655118,0.8125109516713884,timepoint3
POR-76,Porites,site1,793.549595378491,0.7043470451025677,timepoint3
POR-79,Porites,site1,782.2444588747697,0.6160672545817696,timepoint3
POR-80,Porites,site1,1099.730375687604,0.5032848625604399,timepoint3
POR-81,Porites,site1,908.4851498329888,0.8017859720983673,timepoint3
POR-82,Porites,site1,509.0369933681767,0.5399077629197022,timepoint3
POR-83,Porites,site1,1238.2182978581873,1.0203978387101547,timepoint3
