colony_id,umol.cm2.hr,timepoint
POC-386,0.11524344856543309,timepoint3
POR-353,0.04758175560183288,timepoint3
POR-357,0.1963250484868473,timepoint3
POC-359,0,timepoint3
POC-371,0.5056386752394174,timepoint3
POC-372,0.01483539974851071,timepoint3
POC-358,0,timepoint3
POR-365,0.5228865132682498,timepoint3
POR-367,0.3976055585033114,timepoint3
POR-355,0.5932342366292204,timepoint3
POR-341,1.0451171524474163,timepoint3
POC-378,0.21201397434483768,timepoint3
POC-369,0.301306320911504,timepoint3
POC-395,0,timepoint3
POR-384,0.2009258946558458,timepoint3
POR-383,0.280552984836555,timepoint3
POR-338,0.16733797421014152,timepoint3
POR-349,0.365473944744007,timepoint3
POR-354,0,timepoint3
POR-340,0.02855361991340978,timepoint3
POR-385,0,timepoint3
POC-391,0,timepoint3
ACR-364,0.41364391610492446,timepoint3
ACR-343,0,timepoint3
POR-362,0.7841372151396881,timepoint3
POR-381,0.8743998143792933,timepoint3
POC-373,0,timepoint3
POC-200,0.1732506737927355,timepoint3
ACR-210,0.7592978252152126,timepoint3
POR-240,0.5528301955805073,timepoint3
ACR-241,0.450251407959312,timepoint3
POC-222,0.26583137183111905,timepoint3
POC-201,0.24018772211703024,timepoint3
POR-245,1.0333619648382255,timepoint3
ACR-244,0.5817262861582619,timepoint3
POR-242,1.6138068858466215,timepoint3
POR-251,0.9635269647572504,timepoint3
POR-262,0.955095313085949,timepoint3
POR-253,0.6102692858684415,timepoint3
POC-205,0.0647492560697193,timepoint3
ACR-265,0.7052589488147506,timepoint3
POC-239,0.08252696099697562,timepoint3
ACR-213,0.2637829112648875,timepoint3
POR-221,0.6415386226308167,timepoint3
POC-248,0.08857523770850041,timepoint3
POC-238,0.06677206156465751,timepoint3
POR-224,0.7734641855496894,timepoint3
POR-216,1.0201210796400886,timepoint3
POC-259,0.018765721179501624,timepoint3
ACR-237,0.6109215480545741,timepoint3
ACR-225,0.3177199522151678,timepoint3
POR-260,0.798638348056067,timepoint3
POC-257,0.23833615025695334,timepoint3
ACR-218,0.39751547128992387,timepoint3
ACR-175,0,timepoint3
ACR-150,0.11592861235351103,timepoint3
POC-207,0,timepoint3
POC-57,0,timepoint3
POC-45,0.025757928952767833,timepoint3
POR-80,0.16082877191594386,timepoint3
POC-254,0.11545920748520279,timepoint3
POR-81,0.5008612017404719,timepoint3
POR-76,1.1231649862629536,timepoint3
POC-48,0.06429958591203065,timepoint3
POC-52,0.16750929959303548,timepoint3
POC-55,0.09124323968501541,timepoint3
POC-40,0.10460007783487442,timepoint3
POC-43,0.02862399769624718,timepoint3
POC-44,0.00511075922376822,timepoint3
POC-68,0.13825978854438595,timepoint3
POC-53,0.0982597761307179,timepoint3
POC-42,0.01621178631477101,timepoint3
ACR-186,0.20794443380205355,timepoint3
ACR-178,0.3270877774343534,timepoint3
ACR-190,0.22856026646890404,timepoint3
ACR-139,0.2980466257197296,timepoint3
POR-75,0.9195621619665073,timepoint3
POR-72,0.6709780049233275,timepoint3
POR-83,0.7090480355365804,timepoint3
POR-79,0.9624230355744082,timepoint3
POC-47,0.01930077556145994,timepoint3
POR-69,1.3648230252992846,timepoint3
POR-73,0.8364967212250204,timepoint3
ACR-173,0.32558505379449665,timepoint3
POR-82,1.267674381492924,timepoint3
POR-74,1.2059909697873774,timepoint3
POR-70,0.44932632828465247,timepoint3
POR-71,0.8949144179427672,timepoint3
ACR-140,0.07827218967415599,timepoint3
ACR-145,0.6019141051201962,timepoint3
