colony_id,Squares.Counted,mean_count,site,species,homog_vol_ml,notes,date_airbrushed,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2,timepoint,cells.mL,cells,cells.cm2
ACR-145,3,116.16666666666667,site1,Acropora,17.5,NA,20200922,1.766,1.9412,NA,0.17520000000000002,11.885436688471621,timepoint3,387222.22222222225,6776388.888888889,570142.1888403734
POC-358,2,145.33333333333334,site3,Pocillopora,20,NA,20200926,16.7189,18.2468,NA,1.527899999999999,62.48994175534749,timepoint3,726666.6666666667,14533333.333333336,232570.76139120688
POC-359,2,90.83333333333333,site3,Pocillopora,30,NA,20200926,10.2467,11.0062,NA,0.7594999999999992,33.74409885345687,timepoint3,454166.6666666666,13624999.999999998,403774.30315061455
POC-369,3,136.83333333333334,site3,Pocillopora,57,between two 50 mL falcon tubes,20200926,17.8698,19.2121,NA,1.342299999999998,55.54664602058574,timepoint3,456111.1111111112,25998333.333333336,468045.0611491157
POC-371,2,111.16666666666667,site3,Pocillopora,16,NA,20200926,17.1806,18.2972,NA,1.1166000000000018,47.1032093431305,timepoint3,555833.3333333334,8893333.333333334,188805.25249454856
POC-378,2,171.33333333333334,site3,Pocillopora,23,NA,20200926,13.4909,14.5286,NA,1.037700000000001,44.151560455885324,timepoint3,856666.6666666667,19703333.333333336,446265.8426992679
POC-386,2,144.5,site3,Pocillopora,40,NA,20200926,37.343,39.8075,NA,2.464499999999994,97.52814641686572,timepoint3,722500,28900000,296324.71303691535
POC-395,3,106.33333333333333,site3,Pocillopora,37.5,NA,20200926,12.3036,13.4468,NA,1.1432000000000002,48.09831530511677,timepoint3,354444.44444444444,13291666.666666666,276343.70522854215
POC-47,5,122.83333333333333,site1,Pocillopora,27.5,NA,20200922,13.2869,14.1425,NA,0.8556000000000008,37.33919971612181,timepoint3,245666.66666666666,6755833.333333333,180931.39072866607
POR-221,2,163.66666666666666,site2,Porites,25,NA,20200926,10.4009,10.8062,NA,0.40530000000000044,20.49347735963904,timepoint3,818333.3333333333,20458333.333333332,998285.1116143459
POR-338,1,125.66666666666667,site3,Porites,29,NA,20200926,8.8611,9.3617,NA,0.5006000000000004,24.05865022344718,timepoint3,1256666.6666666667,36443333.333333336,1514770.4877398417
POR-341,1,104.33333333333333,site3,Porites,37.5,NA,20200926,16.0796,16.5292,NA,0.4496000000000002,22.15074029633054,timepoint3,1043333.3333333333,39125000,1766306.6550638669
POR-349,2,135.33333333333334,site3,Porites,37,NA,20200926,10.6144,10.9513,NA,0.3369,17.93463345738848,timepoint3,676666.6666666667,25036666.666666668,1395995.4479221534
POR-353,2,106,site3,Porites,15,NA,20200926,6.2878,6.542,NA,0.2542,14.840826575573859,timepoint3,530000,7950000,535684.4485390526
POR-357,1,123.83333333333333,site3,Porites,30,NA,20200926,11.9214,12.2585,NA,0.3370999999999995,17.942115457102645,timepoint3,1238333.3333333333,37150000,2070547.3715639054
POR-362,2,161.875,site3,Porites,28,NA,20200926,8.0605,8.2668,NA,0.2063000000000006,13.048887644027081,timepoint3,809375,22662500,1736738.0744038667
POR-365,1,131,site3,Porites,30,NA,20200926,17.3392,17.7694,NA,0.43019999999999925,21.424986324054764,timepoint3,1310000,39300000,1834306.888489174
POR-367,1,181.85714285714286,site3,Porites,22.5,NA,20200926,9.708,9.999,NA,0.29100000000000037,16.21751452298352,timepoint3,1818571.4285714286,40917857.14285714,2523065.8548119813
POR-383,1,132.83333333333334,site3,Porites,50,NA,20200926,14.1601,14.6336,NA,0.4734999999999996,23.044839262175373,timepoint3,1328333.3333333335,66416666.66666667,2882062.483103521
POR-384,3,92.42857142857143,site3,Porites,58.5,between two 50 mL falcon tubes,20200926,5.2073,5.5394,NA,0.3320999999999996,17.755065464248077,timepoint3,308095.2380952381,18023571.42857143,1015122.7808685933
POR-71,1,97.16666666666667,site1,Porites,32.5,NA,20200922,9.4581,9.7685,NA,0.31039999999999957,16.943268495259233,timepoint3,971666.6666666667,31579166.666666668,1863817.874072089
POR-75,1,135.16666666666666,site1,Porites,30,NA,20200926,7.7338,8.0464,NA,0.31260000000000066,17.025570492115286,timepoint3,1351666.6666666665,40549999.99999999,2381711.674142086
POR-79,2,106,site1,Porites,67.5,between two 50 mL falcon tubes,20200922,12.3826,12.7118,NA,0.32920000000000016,17.646576468392446,timepoint3,530000,35775000,2027305.413266883
POR-82,2,114,site1,Porites,70,between two 50 mL falcon tubes,20200922,10.7595,11.0303,NA,0.27080000000000126,15.461832551851085,timepoint3,570000,39900000,2580547.930925768
ACR-165,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-176,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-187,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-185,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-193,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-180,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-139,NA,NA,site1,Acropora,32.5,NA,20200922,10.4981,11.2712,NA,0.7730999999999995,34.25287483402132,timepoint3,NA,NA,NA
ACR-175,NA,NA,site1,Acropora,15,NA,20200924,5.4017,5.7593,NA,0.3575999999999997,18.709020427806394,timepoint3,NA,NA,NA
ACR-51,NA,NA,site1,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-186,NA,NA,site1,Acropora,22.5,NA,20200925,17.341,18.4109,NA,1.0699000000000005,45.35616240986875,timepoint3,NA,NA,NA
ACR-178,NA,NA,site1,Acropora,32.5,NA,20200922,14.4608,15.3556,NA,0.8948,38.80567166010162,timepoint3,NA,NA,NA
ACR-173,NA,NA,site1,Acropora,37.5,NA,20200922,17.1911,18.1565,NA,0.9654000000000025,41.44681755920827,timepoint3,NA,NA,NA
ACR-140,NA,NA,site1,Acropora,16.5,NA,20200922,7.9498,8.4588,NA,0.5090000000000003,24.372894211442862,timepoint3,NA,NA,NA
ACR-190,NA,NA,site1,Acropora,24,NA,20200922,9.3562,9.832,NA,0.47580000000000133,23.13088225888854,timepoint3,NA,NA,NA
ACR-150,NA,NA,site1,Acropora,22.5,NA,20200924,3.9367,4.6629,NA,0.7261999999999995,32.49834590104543,timepoint3,NA,NA,NA
ACR-267,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-231,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-243,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-234,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-228,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
