"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"1","ACR-139","0",10,-9.88064288928424e-05,-0.355703144014232,"timepoint3"
"2","ACR-139","1018",10,4.49034837609844e-05,0.161652541539544,"timepoint3"
"3","ACR-139","105",10,-5.08878028262848e-05,-0.183196090174625,"timepoint3"
"4","ACR-139","160",10,-3.01701842803336e-05,-0.108612663409201,"timepoint3"
"5","ACR-139","20",10,-8.49084663299616e-05,-0.305670478787862,"timepoint3"
"6","ACR-139","241",10,-1.03677918894085e-05,-0.0373240508018707,"timepoint3"
"7","ACR-139","504",10,2.56849906084327e-05,0.0924659661903577,"timepoint3"
"8","ACR-139","723",10,3.67703373143123e-05,0.132373214331524,"timepoint3"
"9","ACR-139","74",10,-6.02292955010388e-05,-0.21682546380374,"timepoint3"
"10","ACR-139","868",10,4.50609997426725e-05,0.162219599073621,"timepoint3"
"11","ACR-140","0",11,-5.5115304281474e-05,-0.198415095413306,"timepoint3"
"12","ACR-140","1018",11,7.81909773318253e-05,0.281487518394571,"timepoint3"
"13","ACR-140","105",11,-1.30948579201763e-05,-0.0471414885126348,"timepoint3"
"14","ACR-140","160",11,2.21511206187e-05,0.0797440342273202,"timepoint3"
"15","ACR-140","20",11,-4.55397223265445e-05,-0.16394300037556,"timepoint3"
"16","ACR-140","241",11,1.65824964694797e-05,0.0596969872901269,"timepoint3"
"17","ACR-140","504",11,5.05768439910091e-05,0.182076638367633,"timepoint3"
"18","ACR-140","723",11,7.51861857439311e-05,0.270670268678152,"timepoint3"
"19","ACR-140","74",11,-2.44901838766838e-05,-0.0881646619560618,"timepoint3"
"20","ACR-140","868",11,7.32144565218013e-05,0.263572043478485,"timepoint3"
"21","ACR-143","0",11,NA,NA,"timepoint3"
"22","ACR-143","1018",11,NA,NA,"timepoint3"
"23","ACR-143","105",11,NA,NA,"timepoint3"
"24","ACR-143","160",11,NA,NA,"timepoint3"
"25","ACR-143","20",11,NA,NA,"timepoint3"
"26","ACR-143","241",11,NA,NA,"timepoint3"
"27","ACR-143","504",11,NA,NA,"timepoint3"
"28","ACR-143","723",11,NA,NA,"timepoint3"
"29","ACR-143","74",11,NA,NA,"timepoint3"
"30","ACR-143","868",11,NA,NA,"timepoint3"
"31","ACR-150","0",8,-0.000108966046402843,-0.392277767050235,"timepoint3"
"32","ACR-150","1018",8,0.000109115631133091,0.392816272079127,"timepoint3"
"33","ACR-150","105",8,-4.6557827207669e-05,-0.167608177947609,"timepoint3"
"34","ACR-150","160",8,-1.53145210455822e-05,-0.0551322757640958,"timepoint3"
"35","ACR-150","20",8,-0.000111569089452083,-0.401648722027498,"timepoint3"
"36","ACR-150","241",8,2.14822171710189e-05,0.077335981815668,"timepoint3"
"37","ACR-150","504",8,7.17381299601795e-05,0.258257267856646,"timepoint3"
"38","ACR-150","723",8,9.49228161967055e-05,0.34172213830814,"timepoint3"
"39","ACR-150","74",8,-6.2229242265128e-05,-0.224025272154461,"timepoint3"
"40","ACR-150","868",8,9.72008940864149e-05,0.349923218711093,"timepoint3"
"41","ACR-173","0",11,-8.19386327161429e-05,-0.294979077778114,"timepoint3"
"42","ACR-173","1018",11,7.09933104198818e-05,0.255575917511575,"timepoint3"
"43","ACR-173","105",11,-3.16751782386324e-05,-0.114030641659077,"timepoint3"
"44","ACR-173","160",11,-8.18364875966454e-06,-0.0294611355347923,"timepoint3"
"45","ACR-173","20",11,-6.67497835746983e-05,-0.240299220868914,"timepoint3"
"46","ACR-173","241",11,5.3397802613301e-06,0.0192232089407883,"timepoint3"
"47","ACR-173","504",11,4.19473967702747e-05,0.151010628372989,"timepoint3"
"48","ACR-173","723",11,6.68980973913994e-05,0.240833150609038,"timepoint3"
"49","ACR-173","74",11,-4.58850450431087e-05,-0.165186162155191,"timepoint3"
"50","ACR-173","868",11,7.72553809268474e-05,0.278119371336651,"timepoint3"
"51","ACR-175","0",8,-0.000103434962980813,-0.372365866730925,"timepoint3"
"52","ACR-175","1018",8,8.0827068505725e-05,0.29097744662061,"timepoint3"
"53","ACR-175","105",8,-5.23661394789029e-05,-0.18851810212405,"timepoint3"
"54","ACR-175","160",8,-3.99642416379773e-05,-0.143871269896718,"timepoint3"
"55","ACR-175","20",8,-0.000115723626707121,-0.416605056145635,"timepoint3"
"56","ACR-175","241",8,-1.42064681170586e-07,-0.00051143285221411,"timepoint3"
"57","ACR-175","504",8,3.84559595789398e-05,0.138441454484183,"timepoint3"
"58","ACR-175","723",8,6.87219699735285e-05,0.247399091904703,"timepoint3"
