colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-139,Host,site1,Acropora,0.6641778277075385,timepoint3,250.9303975695207
ACR-139,Sym,site1,Acropora,0.4933892434399354,timepoint3,185.0092884380537
ACR-140,Host,site1,Acropora,0.27079262490299877,timepoint3,155.249309629527
ACR-140,Sym,site1,Acropora,0.17601520618698016,timepoint3,110.78372459895701
ACR-145,Host,site1,Acropora,1.6196291734632895,timepoint3,336.84185149740784
ACR-145,Sym,site1,Acropora,0.8834340946163193,timepoint3,246.59169678155808
ACR-150,Host,site1,Acropora,1.2808344192884495,timepoint3,172.70302055033056
ACR-150,Sym,site1,Acropora,0.9277395253223987,timepoint3,128.1126741858596
ACR-173,Host,site1,Acropora,0.29405152717912036,timepoint3,237.64188857032593
ACR-173,Sym,site1,Acropora,0.5247688792735025,timepoint3,185.89967707395633
ACR-175,Host,site1,Acropora,1.4631979320153976,timepoint3,175.20960077247292
ACR-175,Sym,site1,Acropora,0.9139976123274276,timepoint3,126.51651160111149
ACR-178,Host,site1,Acropora,0.90031942510922,timepoint3,220.77249622272262
ACR-178,Sym,site1,Acropora,0.33500257678484785,timepoint3,162.2365940510953
ACR-186,Host,site1,Acropora,1.1161658595036907,timepoint3,124.02917709757533
ACR-186,Sym,site1,Acropora,1.031833327896756,timepoint3,91.48260742397336
ACR-190,Host,site1,Acropora,1.789814998694682,timepoint3,261.42107042529034
ACR-190,Sym,site1,Acropora,1.2243372164984418,timepoint3,191.99959388896218
ACR-210,Host,site2,Acropora,0.9367904918386754,timepoint3,116.35403394594759
ACR-210,Sym,site2,Acropora,0.651680342148643,timepoint3,82.518247514639
ACR-213,Host,site2,Acropora,1.0521528356555665,timepoint3,208.54884455209086
ACR-213,Sym,site2,Acropora,0.46563359535396753,timepoint3,148.43477986398995
ACR-218,Host,site2,Acropora,1.0902663703387372,timepoint3,115.72744875760851
ACR-218,Sym,site2,Acropora,1.0798828810974552,timepoint3,83.94358818992343
ACR-220,Host,site2,Acropora,1.0572493244822598,timepoint3,93.27800244725942
ACR-220,Sym,site2,Acropora,1.0300330052381756,timepoint3,66.52505848465069
ACR-225,Host,site2,Acropora,1.1037552686552203,timepoint3,141.1180157167014
ACR-225,Sym,site2,Acropora,0.7590737987945054,timepoint3,93.51324462087581
ACR-229,Host,site2,Acropora,0.9063450924095309,timepoint3,99.7845364126813
ACR-229,Sym,site2,Acropora,0.8332963834690634,timepoint3,66.36610482628579
ACR-237,Host,site2,Acropora,1.2187150599029013,timepoint3,149.337732432911
ACR-237,Sym,site2,Acropora,1.069760997025832,timepoint3,107.31914542314922
ACR-241,Host,site2,Acropora,1.275048480889952,timepoint3,183.16868333284992
ACR-241,Sym,site2,Acropora,1.3388009049344638,timepoint3,135.4966698174325
ACR-244,Host,site2,Acropora,0.8646066781552855,timepoint3,81.64150547853342
ACR-244,Sym,site2,Acropora,0.7106356258810447,timepoint3,51.46054724898562
ACR-265,Host,site2,Acropora,0.7661554301573228,timepoint3,177.86979338150607
ACR-265,Sym,site2,Acropora,0.8172324588344475,timepoint3,120.25575631748883
ACR-343,Host,site3,Acropora,1.1809377106396521,timepoint3,155.13814751550308
ACR-343,Sym,site3,Acropora,0.7185423816849854,timepoint3,110.70304942377695
ACR-364,Host,site3,Acropora,0.8477115848621251,timepoint3,67.51135051855684
ACR-364,Sym,site3,Acropora,0.6361587822682178,timepoint3,48.11801003112396
POC-200,Host,site2,Pocillopora,1.7756513609010547,timepoint3,194.14477440937299
POC-200,Sym,site2,Pocillopora,1.1306188257165428,timepoint3,150.8028939462369
POC-201,Host,site2,Pocillopora,1.9858540502265682,timepoint3,79.46739143938487
POC-201,Sym,site2,Pocillopora,1.1456241692143656,timepoint3,57.629326302192254
POC-205,Host,site2,Pocillopora,1.468817137978826,timepoint3,180.7475123796796
POC-205,Sym,site2,Pocillopora,0.5188548851041873,timepoint3,130.3142401255811
POC-207,Host,site2,Pocillopora,1.2684273088546354,timepoint3,152.45288226424353
POC-207,Sym,site2,Pocillopora,0.9132676623753428,timepoint3,115.275277841714
POC-219,Host,site2,Pocillopora,1.372397262788889,timepoint3,132.57372807399162
POC-222,Host,site2,Pocillopora,1.6935245308367253,timepoint3,100.26021556618491
POC-222,Sym,site2,Pocillopora,0.21773886825041944,timepoint3,72.7844210655016
POC-238,Host,site2,Pocillopora,1.9022207869789463,timepoint3,167.91765151936147
POC-238,Sym,site2,Pocillopora,0.9830946368103429,timepoint3,123.36116902270733
POC-239,Host,site2,Pocillopora,1.3621781009442788,timepoint3,104.73585781608712
POC-239,Sym,site2,Pocillopora,0.7602854516898316,timepoint3,75.83585906773335
POC-248,Host,site2,Pocillopora,2.35650607922659,timepoint3,120.61307794849293
POC-248,Sym,site2,Pocillopora,0.9375072834112236,timepoint3,86.61752074995117
POC-254,Host,site2,Pocillopora,1.9487824002228489,timepoint3,106.35555618783667
POC-254,Sym,site2,Pocillopora,1.0477324732380933,timepoint3,76.82253889107848
