TTris ,mVTris
25.47,-63.6
26.04,-62.9
26.62,-62.2
27.17,-61.6
27.68,-60.9
28.18,-60.3
28.57,-59.8
29.11,-59.2
29.62,-58.5
30.01,-58
30.49,-57.4
