TTris ,mVTris
21.45,-68.5
22.26,-67.6
22.86,-66.9
23.39,-66.3
23.83,-65.8
24.2,-65.3
24.55,-64.9
24.87,-64.5
25.42,-63.9
25.68,-63.6
26.3,-62.8
27.18,-61.8
27.49,-61.3
27.82,-60.9
28.35,-60.1
29.11,-59.2
29.52,-58.7
