TTris ,mVTris
24.41,-64.9
25.36,-63.8
25.83,-63.4
26.43,-62.7
26.96,-62.1
27.65,-61.2
27.98,-60.7
28.53,-60.1
29.08,-59.4
29.36,-59
29.73,-58.6
30.05,-58.2
30.34,-57.8
30.56,-57.5
30.93,-57
