TTris ,mVTris
26.15,-64.4
26.71,-63.7
27.17,-63.2
27.87,-62.3
28.36,-61.6
28.93,-60.9
29.43,-60.2
29.9,-59.6
30.51,-58.8
30.95,-58.2
