Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
1,POC-40,Host,1.1344,1.1873,1.1779
2,ACR-389,Sym,1.1385,1.1501,1.1487
3,POR-83,Sym,1.1401,1.1608,1.1535
4,POR-81,Sym,1.1475,1.1621,1.1585
5,ACR-150,Sym,1.1313,1.1522,1.1446
6,ACR-145,Sym,1.1289,1.1417,1.1395
7,POR-72,Sym,1.1321,1.1509,1.1441
8,ACR-176,Host,1.1426,1.1957,1.1879
9,NA,NA,1.1376,NA,NA
10,POR-82,Host,1.1345,1.1919,1.1794
11,POR-80,Sym,1.129,1.1526,1.1419
12,ACR-185,Sym,1.1397,1.1525,1.1502
13,POR-340,Sym,1.1395,1.1571,1.1519
14,ACR-175,Sym,1.1375,1.1485,1.1480
15,NA,NA,1.123,NA,NA
16,POC-52,Sym,1.1339,1.1491,1.1444
17,ACR-51,Sym,1.1309,1.1452,1.1419
18,POC-41,Sym,1.1308,1.1504,1.1416
19,ACR-190,Sym,1.1284,1.1442,1.1397
20,POC-47,Host,1.1415,1.1952,1.1846
21,POC-56,Host,1.1494,1.1991,1.1899
22,POR-76,Sym,1.133,1.1549,1.1447
23,POR-78,Sym,1.1499,1.1756,1.1620
24,POC-55,Sym,1.1218,1.1329,1.1324
25,POC-52,Host,1.1371,1.1916,1.1810
26,POC-40,Sym,1.1362,1.1485,1.1462
27,ACR-140,Host,1.1374,1.1845,1.1793
28,ACR-173,Sym,1.136,1.1497,1.1468
29,POC-358,Sym,1.148,1.1618,1.1586
30,ACR-350,Sym,1.1426,1.1622,1.1546
31,POR-77,Host,1.1394,1.1913,1.1848
32,POR-74,Sym,1.1406,1.1689,1.1570
33,POC-55,Host,1.1311,1.1746,1.1697
34,POR-81,Host,1.1511,1.2004,1.1932
35,POC-57,Host,1.1418,1.1957,1.1834
36,NA,NA,1.1324,NA,NA
37,POR-71,Host,1.1417,1.2068,1.1863
38,POR-79,Sym,1.1307,1.1591,1.1435
39,POC-395,Sym,1.1478,1.1625,1.1585
40,ACR-186,Sym,1.1441,1.158,1.1553
41,POR-75,Sym,1.1257,1.1496,1.1396
42,POR-70,Sym,1.1381,1.1646,1.1509
43,ACR-165,Sym,1.1427,1.1578,1.1549
