"","Plug.Number","Species","Site",".variable",".value",".lower",".upper",".width",".point",".interval","varnames"
"1","ACR-228","Acropora","Site2","b_Am_Intercept",0.359107728713939,0.0568807269948188,5.38433857237087,0.95,"median","qi","Am"
"2","ACR-228","Acropora","Site2","b_AQY_Intercept",0.00260764611114205,0.000372066328293522,16.3415188188578,0.95,"median","qi","AQY"
"3","ACR-228","Acropora","Site2","b_Rd_Intercept",0.226667430290505,0.112898917847058,0.347656277974202,0.95,"median","qi","Rd"
"4","ACR-228","Acropora","Site2","b_theta_Intercept",-0.590819371511905,-2.34923654848415,1.41160368765928,0.95,"median","qi","Theta"
"5","ACR-228","Acropora","Site2","Ic",90.5905929716612,0.0103927707029873,441.95477565886,0.95,"median","qi","Sigma"
"6","ACR-228","Acropora","Site2","sigma",0.0275171261589963,0.0134894459985461,0.14406377126413,0.95,"median","qi","Ic"
"7","ACR-229","Acropora","Site2","b_Am_Intercept",2.44159618707295,1.92409582943887,3.54451404794601,0.95,"median","qi","Am"
"8","ACR-229","Acropora","Site2","b_AQY_Intercept",0.00459421625678085,0.00389888509126273,0.00565343846670026,0.95,"median","qi","AQY"
"9","ACR-229","Acropora","Site2","b_Rd_Intercept",0.718718609341192,0.686304598387856,0.753149518540641,0.95,"median","qi","Rd"
"10","ACR-229","Acropora","Site2","b_theta_Intercept",-0.152674707986676,-1.70329218094166,0.477117117568725,0.95,"median","qi","Theta"
"11","ACR-229","Acropora","Site2","Ic",156.539736109709,131.266459227332,178.569581052214,0.95,"median","qi","Sigma"
"12","ACR-229","Acropora","Site2","sigma",0.0174750472134412,0.0101321269854419,0.0368482877509778,0.95,"median","qi","Ic"
"13","ACR-231","Acropora","Site2","b_Am_Intercept",1.99869625060305,1.44157762426278,2.89026430474293,0.95,"median","qi","Am"
"14","ACR-231","Acropora","Site2","b_AQY_Intercept",0.00363829382775548,0.00259004221458895,0.0049436645805534,0.95,"median","qi","AQY"
"15","ACR-231","Acropora","Site2","b_Rd_Intercept",0.638095147507952,0.59202270109947,0.681033580045597,0.95,"median","qi","Rd"
"16","ACR-231","Acropora","Site2","b_theta_Intercept",-1.08260692968088,-2.746685140634,0.206290700636677,0.95,"median","qi","Theta"
"17","ACR-231","Acropora","Site2","Ic",175.653777853594,135.553291752014,233.865405276745,0.95,"median","qi","Sigma"
"18","ACR-231","Acropora","Site2","sigma",0.0233142121749546,0.0137622013697816,0.0506751290770077,0.95,"median","qi","Ic"
"19","ACR-234","Acropora","Site2","b_Am_Intercept",0.842681350821386,0.63993337588779,1.17984615194377,0.95,"median","qi","Am"
"20","ACR-234","Acropora","Site2","b_AQY_Intercept",0.00228909645458936,0.0015613134778289,0.0033609592921836,0.95,"median","qi","AQY"
"21","ACR-234","Acropora","Site2","b_Rd_Intercept",0.364859692721937,0.336363336015517,0.393371046307678,0.95,"median","qi","Rd"
"22","ACR-234","Acropora","Site2","b_theta_Intercept",-0.84702012731547,-2.52274274175102,0.277914956977829,0.95,"median","qi","Theta"
"23","ACR-234","Acropora","Site2","Ic",159.740796325339,114.158494122498,219.896163868715,0.95,"median","qi","Sigma"
"24","ACR-234","Acropora","Site2","sigma",0.0147995839905289,0.00872726372851272,0.0314389864585698,0.95,"median","qi","Ic"
"25","ACR-237","Acropora","Site2","b_Am_Intercept",2.70942743351901,2.06884332404164,4.24983194179989,0.95,"median","qi","Am"
"26","ACR-237","Acropora","Site2","b_AQY_Intercept",0.00571296882691513,0.00435756210438164,0.00824534170368243,0.95,"median","qi","AQY"
"27","ACR-237","Acropora","Site2","b_Rd_Intercept",0.751421205800135,0.667552679979362,0.851259250557524,0.95,"median","qi","Rd"
"28","ACR-237","Acropora","Site2","b_theta_Intercept",0.135234817439463,-1.75627193808113,0.751604310075909,0.95,"median","qi","Theta"
"29","ACR-237","Acropora","Site2","Ic",131.497347320442,98.2946746721152,160.070875972554,0.95,"median","qi","Sigma"
"30","ACR-237","Acropora","Site2","sigma",0.0425019359646019,0.0237657147413038,0.0948493190771608,0.95,"median","qi","Ic"
