well,colony_id
A1,BK
A2,BK
A3,POR-266
A4,POR-266
A5,POR-209
A6,POR-209
A7,ACR-351
A8,ACR-351
A9,POR-349
A10,POR-349
A11,POR-214
A12,POR-214
B1,POC-373
B2,POC-373
B3,POC-366
B4,POC-366
B5,POR-338
B6,POR-338
B7,POC-391
B8,POC-391
B9,POC-378
B10,POC-378
B11,POR-341
B12,POR-341
C1,POC-371
C2,POC-371
C3,POC-369
C4,POC-369
C5,POC-395
C6,POC-395
C7,ACR-393
C8,ACR-393
C9,POR-340
C10,POR-340
C11,ACR-396
C12,ACR-396
D1,POR-357
D2,POR-357
D3,POC-238
D4,POC-238
D5,POR-381
D6,POR-381
D7,POR-385
D8,POR-385
D9,POR-365
D10,POR-365
D11,POC-375
D12,POC-375
E1,POC-346
E2,POC-346
E3,POC-386
E4,POC-386
E5,POC-48
E6,POC-48
E7,ACR-173
E8,ACR-173
E9,POR-354
E10,POR-354
E11,POC-42
E12,POC-42
F1,POC-50
F2,POC-50
F3,POR-73
F4,POR-73
F5,ACR-150
F6,ACR-150
F7,ACR-186
F8,ACR-186
F9,POR-75
F10,POR-75
F11,POR-83
F12,POR-83
G1,POC-53
G2,POC-53
G3,POR-74
G4,POR-74
G5,POC-52
G6,POC-52
G7,ACR-190
G8,ACR-190
G9,POC-55
G10,POC-55
G11,ACR-51
G12,ACR-51
H1,POR-82
H2,POR-82
H3,POR-76
H4,POR-76
H5,POR-78
H6,POR-78
H7,POC-57
H8,POC-57
H9,POR-72
H10,POR-72
H11,ACR-140
H12,ACR-140
