tube_no,collection_date,collection_site,colony_id,replicate
1,20200103,site2,POR-266,1
2,20200103,site2,POR-266,2
3,20200103,site2,POR-253,1
4,20200103,site2,POR-253,2
5,20200103,site2,POR-260,1
6,20200103,site2,POR-260,2
7,20200103,site2,POR-262,1
8,20200103,site2,POR-262,2
9,20200103,site2,POR-240,1
10,20200103,site2,POR-240,2
11,20200103,site2,POR-242,1
12,20200103,site2,POR-242,2
13,20200103,site2,POR-245,1
14,20200103,site2,POR-245,2
15,20200103,site2,POR-251,1
16,20200103,site2,POR-251,2
17,20200103,site2,POR-221,1
18,20200103,site2,POR-221,2
19,20200103,site2,POR-224,1
20,20200103,site2,POR-224,2
21,20200103,site2,POR-235,1
22,20200103,site2,POR-235,2
23,20200103,site2,POR-236,1
24,20200103,site2,POR-236,2
25,20200103,site2,POR-209,1
26,20200103,site2,POR-209,2
27,20200103,site2,POR-214,1
28,20200103,site2,POR-214,2
29,20200103,site2,POR-216,1
30,20200103,site2,POR-216,2
31,20200103,site2,ACR-267,1
32,20200103,site2,ACR-267,2
33,20200103,site2,ACR-265,1
34,20200103,site2,ACR-265,2
35,20200103,site2,ACR-234,1
36,20200103,site2,ACR-234,2
37,20200103,site2,ACR-243,1
38,20200103,site2,ACR-243,2
39,20200103,site2,ACR-244,1
40,20200103,site2,ACR-244,2
41,20200103,site2,ACR-225,1
42,20200103,site2,ACR-225,2
43,20200103,site2,ACR-246,1
44,20200103,site2,ACR-246,2
45,20200103,site2,ACR-256,1
46,20200103,site2,ACR-256,2
47,20200103,site2,ACR-228,1
48,20200103,site2,ACR-228,2
49,20200103,site2,ACR-237,1
50,20200103,site2,ACR-237,2
51,20200103,site2,ACR-258,1
52,20200103,site2,ACR-258,2
53,20200103,site2,ACR-231,1
54,20200103,site2,ACR-231,2
55,20200103,site2,ACR-229,1
56,20200103,site2,ACR-229,2
57,20200103,site2,ACR-247,1
58,20200103,site2,ACR-247,2
59,20200103,site2,POC-255,1
60,20200103,site2,POC-255,2
61,20200103,site2,POC-254,1
62,20200103,site2,POC-254,2
63,20200103,site2,POC-259,1
64,20200103,site2,POC-259,2
65,20200103,site2,POC-222,1
66,20200103,site2,POC-222,2
67,20200103,site2,POC-238,1
68,20200103,site2,POC-238,2
69,20200103,site2,POC-239,1
70,20200103,site2,POC-239,2
