tube_no,collection_date,collection_site,colony_id,replicate,notes
791,20201031,Hilton,POC-371,Molec.1,
792,20201031,Hilton,,Molec.2,
793,20201031,Hilton,POR-357,Molec.1,
794,20201031,Hilton,,Molec.2,
795,20201031,Hilton,POR-354,Molec.1,
796,20201031,Hilton,,Molec.2,
797,20201031,Hilton,POR-340,Molec.1,
798,20201031,Hilton,,Molec.2,
799,20201031,Hilton,POC-372,Molec.1,
800,20201031,Hilton,,Molec.2,
801,20201031,Hilton,POC-346,Molec.1,
802,20201031,Hilton,,Molec.2,
803,20201031,Hilton,POR-367,Molec.1,
804,20201031,Hilton,,Molec.2,
805,20201031,Hilton,POC-373,Molec.1,
806,20201031,Hilton,,Molec.2,
807,20201031,Hilton,POR-387,Molec.1,
808,20201031,Hilton,,Molec.2,
809,20201031,Hilton,ACR-364,Molec.1,
810,20201031,Hilton,,Molec.2,
811,20201031,Hilton,POC-366,Molec.1,
812,20201031,Hilton,,Molec.2,
813,20201031,Hilton,POC-378,Molec.1,
814,20201031,Hilton,,Molec.2,
815,20201031,Hilton,POR-383,Molec.1,
816,20201031,Hilton,,Molec.2,
817,20201031,Hilton,ACR-398,Molec.1,
818,20201031,Hilton,,Molec.2,
819,20201031,Hilton,ACR-374,Molec.1,
820,20201031,Hilton,,Molec.2,
821,20201031,Hilton,POC-359,Molec.1,
822,20201031,Hilton,,Molec.2,
823,20201031,Hilton,POR-365,Molec.1,
824,20201031,Hilton,,Molec.2,
825,20201031,Hilton,POC-391,Molec.1,
826,20201031,Hilton,,Molec.2,
827,20201031,Hilton,POC-395,Molec.1,
828,20201031,Hilton,,Molec.2,
829,20201031,Hilton,POC-394,Molec.1,
830,20201031,Hilton,,Molec.2,
831,20201031,Hilton,POR-349,Molec.1,
832,20201031,Hilton,,Molec.2,
833,20201031,Hilton,ACR-390,Molec.1,
834,20201031,Hilton,,Molec.2,
835,20201031,Hilton,ACR-368,Molec.1,
836,20201031,Hilton,,Molec.2,
837,20201031,Hilton,POR-362,Molec.1,
838,20201031,Hilton,,Molec.2,
