sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
164481	ACR_343_TP1	ACR-343-TP1_S256_L001_R1_001.fastq.gz	cd6ab2bbf511c11aae2b4dc07504cc470412104223859668a9e72680c225bbbb	ACR-343-TP1_S256_L001_R2_001.fastq.gz	60b789f7171ce94edb65157349dce069a12d91ca03f0e7dd46017f6017cbcd5d	833	20230425T191341_rcunning	1.2678342588637335	1.0268403816033034	0.012815036309269542	1.0173714936636764	0.012031895201480848	0.0	0.0	0.00946888793962694	0.0007831411077886943	1.0	0.0002847785846504343	0	0	0	0.005837960985333903	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48150000	-149.84908000	20200106	2
164448	ACR_228_TP4	ACR-228-TP4_S124_L001_R1_001.fastq.gz	38b2f1d4024cbed5ec146253e264b065f8f502f1befdb3a36196dcb6fb572ef0	ACR-228-TP4_S124_L001_R2_001.fastq.gz	3f906f1de4ce5e8238b01c46526f065afd4a1fdc0c4c99dfa68bd5d7989b5f86	833	20230425T191341_rcunning	1.213561320754717	1.014622641509434	0.008726415094339622	1.014622641509434	0.008726415094339622	0.0	0.0	0.0	0.0	1.0	0.0005896226415094339	0	0	0	0.005660377358490566	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48710000	-149.88766000	20201030	2
164447	ACR_228_TP1	ACR-228-TP1_S232_L001_R1_001.fastq.gz	c693ab1d627be0fe1f441ac5f839151b05e7201ddbef7beeb78dac8ae3ff6365	ACR-228-TP1_S232_L001_R2_001.fastq.gz	12d311eb9b73ca0841e5fde943a3875b63435a27a39833e07c0cde6d813d178b	833	20230425T191341_rcunning	1.2484445786771368	1.0190274841437632	0.011899728178797947	1.0143159166414981	0.011658109332527937	0.0	0.0	0.004711567502265176	0.00024161884627000907	1.0	0.00024161884627000907	0	0	0	0.0065841135608577465	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48710000	-149.88766000	20200103	2
164507	ACR_393_TP4	ACR-393-TP4_S112_L001_R1_001.fastq.gz	4c6511ca80aaca83145d54d28d191926cbb6383a4a9fa6dc465bea3e79dd3ba2	ACR-393-TP4_S112_L001_R2_001.fastq.gz	8ac160d1a710a35f30fee355e3d390fdb8308c5f14f4e17dd73ccc4a4778ea62	833	20230425T191341_rcunning	1.2377056094474905	1.0241248418388866	0.014761703922395614	1.0140025305778153	0.01433994095318431	0.0	0.0	0.010122311261071278	0.00042176296921130323	1.0	0.00042176296921130323	0	0	0	0.0063264445381695485	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48150000	-149.84908000	20201031	2
164480	ACR_314_TP1	ACR-314-TP1_S246_L001_R1_001.fastq.gz	44dbf62f0c57813d3b886d6c9f21a1cb66365aea867de3d2f10efdecf42de0a5	ACR-314-TP1_S246_L001_R2_001.fastq.gz	4078a8c3ce49e80413138dbc65188b1670edf78203f0b2c5fc05c9af7782cc7c	833	20230425T191341_rcunning	1.302048120898787	1.018045337045138	0.013123881487373236	1.01590773513621	0.01292503479817061	0.0	0.0	0.0021376019089282164	0.00019884668920262477	1.0	0.00019884668920262477	0	0	0	0.007506462517399086	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	999.00000000	999.00000000	NoData	2
164438	ACR_213_TP4	ACR-213-TP4_S130_L001_R1_001.fastq.gz	851b46d13d4a79d623c52c864d41eeb5c7da50369c03e1cca1067af64fd6747e	ACR-213-TP4_S130_L001_R2_001.fastq.gz	359462866eb87a5499038ea9acc39e601c719d7516f7ae2c340b221cca98a39f	833	20230425T191341_rcunning	1.1982319660537482	1.0144271570014145	0.010396039603960397	1.0142149929278643	0.010325318246110325	0.0	0.0	0.00021216407355021216	7.072135785007072e-05	1.0	0.0003536067892503536	0	0	0	0.007142857142857143	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48710000	-149.88766000	20201030	2
164441	ACR_220_TP3	ACR-220-TP3_S136_L001_R1_001.fastq.gz	c99efedd53bbfcd7bf3ca26d7ce3936ccbcc587dd7f6c2bbd14ddd3ca1f922c5	ACR-220-TP3_S136_L001_R2_001.fastq.gz	18d39a00df11c6f15f3a92049321148fba35bdf55d3a51af79f0975bd6a96ede	833	20230425T191341_rcunning	1.2207386669538065	1.025250349951545	0.01302896522020028	1.0137827070097987	0.012705933024658124	0.0	0.0	0.011467642941746528	0.0003230321955421557	1.0	0.00037687089479918165	0	0	0	0.00678367610638527	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48710000	-149.88766000	20200910	2
164493	ACR_363_TP1	ACR-363-TP1_S318_L001_R1_001.fastq.gz	72085728245918fb8f3a3047fd61cc8c5f6139afe2eaf453e911e232c5781351	ACR-363-TP1_S318_L001_R2_001.fastq.gz	1443680d367a391080bf384eda770d6ebaabc334a6ec40a3d4c9f7cb8e4b1f94	833	20230425T191341_rcunning	1.2318738702550713	1.014762000401687	0.012552721430006025	1.0098413336011247	0.012151034344245833	0.0	0.0	0.004920666800562362	0.0004016870857601928	1.0	0.0004016870857601928	0	0	0	0.008335007029524001	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48150000	-149.84908000	20200106	2
164393	ACR_139_TP3	ACR-139-TP3_S184_L001_R1_001.fastq.gz	4a146c25a094bf00825f0271b96964a0914ab77aadb0e2d64098b1e9c09b7a0f	ACR-139-TP3_S184_L001_R2_001.fastq.gz	83fdff7b99d55afe4cb904d8fce1f1a99d1f2342deb2e2cb923675477dc45392	833	20230425T191341_rcunning	1.2410403565541241	1.0263141827950424	0.012516026619451738	1.0151413395201172	0.01208865010073875	0.0	0.0	0.01117284327492521	0.0004273765187129861	1.0	0.0004273765187129861	0	0	0	0.007509615971671042	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.47687200	-149.80594000	20200911	2
164449	ACR_229_TP1	ACR-229-TP1_S287_L001_R1_001.fastq.gz	592344b7bbb82c63efcfa8589dbec9c735c79dffa48095d5abb88fffff86f117	ACR-229-TP1_S287_L001_R2_001.fastq.gz	41f40218e4a62b75403032cc36840ab3d88a109f065a9ff7706e341e1e23a741	833	20230425T191341_rcunning	1.2362539521023368	1.0131918450412472	0.012028927572046372	1.0130101391866846	0.011992586401133844	0.0	0.0	0.000181705854562634	3.6341170912526803e-05	1.0	0.000181705854562634	0	0	0	0.009048951557219173	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	pulchra	-17.48710000	-149.88766000	20200103	2
