colony_id,homog_vol_ml,note,date_airbrushed
POR-82,27,,20201109
POR-81,20,,20201109
ACR-150,27.5,,20201109
POC-55,28,,20201109
ACR-145,34,,20201109
POC-53,18,,20201109
POC-42,62.5,two tubes,20201109
POC-52,21,,20201109
ACR-185,19,,20201109
POC-47,45,,20201109
POC-48,62.5,two tubes,20201109
ACR-186,39,,20201109
ACR-176,50,,20201109
POC-57,25,,20201109
ACR-187,17.5,,20201109
POR-76,81,two tubes,20201109
POC-44,20,,20201109
POR-74,41,,20201109
POR-83,75,two tubes,20201109
ACR-175,29.5,,20201109
ACR-178,16,,20201109
ACR-139,25,,20201109
POC-50,25,,20201109
POR-79,39,,20201109
POR-73,25,,20201109
POC-68,47.5,,20201109
POR-72,26,,20201109
POR-71,47.5,,20201109
POR-381,24,,20201109
POC-45,44.5,,20201109
POR-69,22,,20201109
POR-70,32.5,,20201109
ACR-173,35,,20201109
ACR-180,12,,20201109
POC-43,45,,20201109
POR-75,50,tag now POR-98,20201109
POC-40,50,,20201109
ACR-390,26.5,,20201109
POC-395,47.5,,20201109
POR-384,42.5,,20201109
POC-391,40,,20201109
POR-385,47.5,,20201109
POC-375,49,,20201110
POC-377,22.5,,20201110
ACR-393,15,,20201110
POC-394,27.5,,20201110
POC-386,37.5,,20201110
POR-362,50,,20201110
POC-346,20,,20201110
POR-383,20,,20201110
POR-367,37.5,,20201110
POC-378,26,,20201110
POR-357,19,,20201110
ACR-343,20,,20201110
POC-371,29.5,,20201110
POC-358,27.5,,20201110
POR-365,27.5,,20201110
POC-366,41.5,,20201110
POC-372,22,,20201110
ACR-368,17,,20201110
POC-369,15,,20201110
ACR-396,13,,20201110
POC-373,57.5,two tubes,20201110
POR-341,32,,20201110
POR-340,29.5,,20201110
POR-349,32.5,,20201110
ACR-389,9.5,,20201110
POR-338,22,,20201110
POC-359,59.5,two tubes,20201110
POR-354,25,,20201110
POR-353,26,,20201110
ACR-220,17.5,,20201111
POC-255,14,,20201111
POC-257,37.5,,20201111
POC-239,15,,20201111
ACR-225,25,,20201111
ACR-256,37.5,,20201111
POR-214,42.5,,20201111
POR-262,22.5,,20201111
ACR-234,18,,20201111
ACR-213,24.5,,20201111
ACR-237,30,,20201111
POR-224,20,,20201111
ACR-267,13,,20201111
POR-260,30,,20201111
POC-242,22.5,,20201111
POC-219,20,,20201111
POC-254,20,,20201111
POR-216,17.5,,20201111
POC-248,22.5,,20201111
POC-238,22,,20201111
POC-259,12.5,,20201111
POR-245,23,,20201111
POC-205,20,,20201111
ACR-229,10,,20201111
ACR-244,14,,20201111
ACR-241,17.5,,20201111
POR-251,22,,20201111
ACR-210,27,,20201111
POC-27,20,,20201111
ACR-218,14.5,,20201111
POC-222,22.5,,20201111
POC-200,17.5,,20201111
POR-221,27,,20201111
POR-253,17.5,,20201111
POR-240,25,,20201111
POR-209,22,,20201111
POC-207,20,,20201111
