Well,colony_id
A1,POR-69
A2,POR-69
A3,POC-44
A4,POC-44
A5,POR-77
A6,POR-77
A7,POC-56
A8,POC-56
A9,ACR-178
A10,ACR-178
A11,POR-81
A12,POR-81
B1,POC-40
B2,POC-40
B3,ACR-190
B4,ACR-190
B5,POR-80
B6,POR-80
B7,POR-78
B8,POR-78
B9,POR-70
B10,POR-70
B11,POC-55
B12,POC-55
C1,POR-82
C2,POR-82
C3,POR-74
C4,POR-74
C5,ACR-140
C6,ACR-140
C7,POR-76
C8,POR-76
C9,POC-43
C10,POC-43
C11,ACR-51
C12,ACR-51
D1,POC-57
D2,POC-57
D3,POC-41
D4,POC-41
D5,POC-47
D6,POC-47
D7,POR-72
D8,POR-72
D9,POR-83
D10,POR-83
D11,POC-53
D12,POC-53
E1,POR-75
E2,POR-75
E3,POC-52
E4,POC-52
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
