"Plot Title: 20715882"
"#","Date Time, GMT-10:00","High Range, μS/cm","Temp, °C","Specific Conductance, μS/cm","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,10/24/19 05:00:00 PM,54740.8,27.52,65777.7,Logged,,,
2,10/24/19 05:10:00 PM,54740.8,27.57,65711.1,,,,
3,10/24/19 05:20:00 PM,53834.2,27.55,64649.0,,,,
4,10/24/19 05:30:00 PM,53324.9,27.52,64076.4,,,,
5,10/24/19 05:40:00 PM,52942.3,27.51,63629.5,,,,
6,10/24/19 05:50:00 PM,52466.1,27.48,63095.6,,,,
7,10/24/19 06:00:00 PM,52202.8,27.46,62804.5,,,,
8,10/24/19 06:10:00 PM,51852.4,27.45,62395.6,,,,
9,10/24/19 06:20:00 PM,51573.3,27.42,62097.6,,,,
10,10/24/19 06:30:00 PM,51343.5,27.39,61858.6,,,,
11,10/24/19 06:40:00 PM,51142.0,27.37,61640.9,,,,
12,10/24/19 06:50:00 PM,51108.5,27.34,61638.1,,,,
13,10/24/19 07:00:00 PM,50802.2,27.30,61318.6,,,,
14,10/24/19 07:10:00 PM,50564.3,27.26,61081.2,,,,
15,10/24/19 07:20:00 PM,50426.4,27.23,60951.8,,,,
16,10/24/19 07:30:00 PM,50197.7,27.19,60724.9,,,,
17,10/24/19 07:40:00 PM,50126.1,27.15,60687.8,,,,
18,10/24/19 07:50:00 PM,50067.7,27.15,60617.1,,,,
19,10/24/19 08:00:00 PM,49938.2,27.20,60398.7,,,,
20,10/24/19 08:10:00 PM,49880.1,27.33,60168.9,,,,
21,10/24/19 08:20:00 PM,49847.9,27.37,60081.1,,,,
22,10/24/19 08:30:00 PM,49867.2,27.45,60006.7,,,,
23,10/24/19 08:40:00 PM,49623.2,27.42,59749.5,,,,
24,10/24/19 08:50:00 PM,49540.1,27.35,59734.4,,,,
25,10/24/19 09:00:00 PM,49444.5,27.30,59679.8,,,,
26,10/24/19 09:10:00 PM,49260.5,27.25,59518.3,,,,
27,10/24/19 09:20:00 PM,49146.8,27.20,59441.5,,,,
28,10/24/19 09:30:00 PM,49109.0,27.15,59456.4,,,,
29,10/24/19 09:40:00 PM,49121.6,27.11,59520.2,,,,
30,10/24/19 09:50:00 PM,49027.2,27.19,59308.9,,,,
31,10/24/19 10:00:00 PM,49071.2,27.31,59217.2,,,,
32,10/24/19 10:10:00 PM,48964.4,27.40,58980.3,,,,
33,10/24/19 10:20:00 PM,48977.0,27.39,59007.4,,,,
34,10/24/19 10:30:00 PM,48851.8,27.34,58916.5,,,,
35,10/24/19 10:40:00 PM,48833.0,27.28,58965.8,,,,
36,10/24/19 10:50:00 PM,48696.0,27.22,58872.3,,,,
37,10/24/19 11:00:00 PM,48590.4,27.17,58804.5,,,,
38,10/24/19 11:10:00 PM,48540.9,27.13,58792.6,,,,
39,10/24/19 11:20:00 PM,48435.9,27.14,58653.4,,,,
40,10/24/19 11:30:00 PM,48448.2,27.24,58548.8,,,,
41,10/24/19 11:40:00 PM,48380.5,27.28,58419.4,,,,
42,10/24/19 11:50:00 PM,48282.1,27.34,58229.4,,,,
43,10/25/19 12:00:00 AM,48392.8,27.36,58339.2,,,,
44,10/25/19 12:10:00 AM,48331.3,27.30,58336.2,,,,
45,10/25/19 12:20:00 AM,48159.7,27.24,58200.2,,,,
46,10/25/19 12:30:00 AM,48129.1,27.18,58234.4,,,,
47,10/25/19 12:40:00 AM,48110.8,27.13,58271.6,,,,
48,10/25/19 12:50:00 AM,48001.2,27.13,58138.9,,,,
49,10/25/19 01:00:00 AM,47952.5,27.20,57997.0,,,,
50,10/25/19 01:10:00 AM,48049.8,27.31,57984.6,,,,
51,10/25/19 01:20:00 AM,47964.7,27.33,57858.4,,,,
52,10/25/19 01:30:00 AM,47970.8,27.35,57842.2,,,,
53,10/25/19 01:40:00 AM,47970.8,27.37,57818.7,,,,
54,10/25/19 01:50:00 AM,47885.8,27.29,57810.2,,,,
55,10/25/19 02:00:00 AM,47758.9,27.22,57739.3,,,,
56,10/25/19 02:10:00 AM,47746.8,27.13,57830.7,,,,
57,10/25/19 02:20:00 AM,47632.4,27.13,57692.2,,,,
58,10/25/19 02:30:00 AM,47620.4,27.17,57630.6,,,,
59,10/25/19 02:40:00 AM,47572.4,27.23,57502.1,,,,
60,10/25/19 02:50:00 AM,47668.5,27.28,57559.6,,,,
61,10/25/19 03:00:00 AM,47638.4,27.31,57488.2,,,,
62,10/25/19 03:10:00 AM,47626.4,27.39,57380.2,,,,
63,10/25/19 03:20:00 AM,47566.4,27.39,57307.9,,,,
64,10/25/19 03:30:00 AM,47470.6,27.30,57297.3,,,,
65,10/25/19 03:40:00 AM,47458.7,27.22,57376.4,,,,
66,10/25/19 03:50:00 AM,47351.3,27.11,57375.1,,,,
67,10/25/19 04:00:00 AM,47399.0,27.13,57409.5,,,,
68,10/25/19 04:10:00 AM,47226.6,27.11,57224.0,,,,
69,10/25/19 04:20:00 AM,47309.7,27.17,57254.6,,,,
70,10/25/19 04:30:00 AM,47280.0,27.23,57148.7,,,,
71,10/25/19 04:40:00 AM,47327.5,27.29,57136.2,,,,
72,10/25/19 04:50:00 AM,47256.2,27.33,57003.7,,,,
73,10/25/19 05:00:00 AM,47291.9,27.35,57023.6,,,,
74,10/25/19 05:10:00 AM,47309.7,27.39,56998.7,,,,
75,10/25/19 05:20:00 AM,47185.1,27.30,56952.7,,,,
76,10/25/19 05:30:00 AM,47126.0,27.19,57009.0,,,,
77,10/25/19 05:40:00 AM,47008.0,27.12,56947.5,,,,
78,10/25/19 05:50:00 AM,47008.0,27.09,56982.4,,,,
79,10/25/19 06:00:00 AM,46961.0,27.09,56925.4,,,,
80,10/25/19 06:10:00 AM,46955.1,27.17,56825.4,,,,
81,10/25/19 06:20:00 AM,46972.7,27.22,56788.8,,,,
82,10/25/19 06:30:00 AM,46972.7,27.26,56742.6,,,,
83,10/25/19 06:40:00 AM,46978.6,27.33,56668.9,,,,
84,10/25/19 06:50:00 AM,46955.1,27.34,56629.0,,,,
85,10/25/19 07:00:00 AM,46972.7,27.33,56661.8,,,,
86,10/25/19 07:10:00 AM,46884.7,27.28,56613.2,,,,
87,10/25/19 07:20:00 AM,46884.7,27.23,56670.9,,,,
88,10/25/19 07:30:00 AM,46709.3,27.18,56516.5,,,,
89,10/25/19 07:40:00 AM,46738.5,27.15,56586.4,,,,
90,10/25/19 07:50:00 AM,46668.6,27.13,56524.8,,,,
91,10/25/19 08:00:00 AM,46627.8,27.13,56475.4,,,,
92,10/25/19 08:10:00 AM,46703.5,27.13,56567.1,,,,
93,10/25/19 08:20:00 AM,46616.2,27.11,56484.4,,,,
94,10/25/19 08:30:00 AM,46668.6,27.13,56524.8,,,,
95,10/25/19 08:40:00 AM,46627.8,27.14,56463.9,,,,
96,10/25/19 08:50:00 AM,46575.6,27.14,56400.7,,,,
97,10/25/19 09:00:00 AM,46471.4,27.14,56274.5,,,,
98,10/25/19 09:10:00 AM,46465.6,27.13,56279.0,,,,
99,10/25/19 09:20:00 AM,46482.9,27.12,56311.4,,,,
100,10/25/19 09:30:00 AM,46425.1,27.12,56241.4,,,,
101,10/25/19 09:40:00 AM,46430.9,27.12,56248.4,,,,
102,10/25/19 09:50:00 AM,46419.4,27.12,56234.5,,,,
103,10/25/19 10:00:00 AM,46367.5,27.12,56171.6,,,,
104,10/25/19 10:10:00 AM,46425.1,27.12,56241.4,,,,
105,10/25/19 10:20:00 AM,46373.2,27.14,56155.6,,,,
106,10/25/19 10:30:00 AM,46350.2,27.15,56116.3,,,,
107,10/25/19 10:40:00 AM,46309.9,27.15,56067.5,,,,
108,10/25/19 10:50:00 AM,46264.0,27.17,55989.1,,,,
109,10/25/19 11:00:00 AM,46264.0,27.19,55966.2,,,,
110,10/25/19 11:10:00 AM,46200.9,27.22,55855.7,,,,
111,10/25/19 11:20:00 AM,46189.5,27.22,55842.0,,,,
112,10/25/19 11:30:00 AM,46178.0,27.22,55828.1,,,,
113,10/25/19 11:40:00 AM,46172.3,27.23,55809.8,,,,
114,10/25/19 11:50:00 AM,46189.5,27.24,55819.2,,,,
115,10/25/19 12:00:00 PM,46166.6,27.24,55791.5,,,,
116,10/25/19 12:10:00 PM,46080.9,27.24,55688.0,,,,
117,10/25/19 12:20:00 PM,46052.4,27.24,55653.5,,,,
118,10/25/19 12:30:00 PM,46023.9,27.24,55619.1,,,,
119,10/25/19 12:40:00 PM,46023.9,27.26,55596.4,,,,
120,10/25/19 12:50:00 PM,46069.5,27.30,55606.2,,,,
121,10/25/19 01:00:00 PM,46023.9,27.31,55539.8,,,,
122,10/25/19 01:10:00 PM,45989.8,27.35,55453.5,,,,
123,10/25/19 01:20:00 PM,45978.4,27.40,55383.5,,,,
124,10/25/19 01:30:00 PM,45944.3,27.44,55297.4,,,,
125,10/25/19 01:40:00 PM,45967.0,27.47,55291.0,,,,
126,10/25/19 01:50:00 PM,45955.7,27.52,55221.4,,,,
127,10/25/19 02:00:00 PM,45989.8,27.56,55217.5,,,,
128,10/25/19 02:10:00 PM,45933.0,27.55,55160.5,,,,
129,10/25/19 02:20:00 PM,45978.4,27.56,55203.8,,,,
130,10/25/19 02:30:00 PM,45848.0,27.55,55058.4,,,,
131,10/25/19 02:40:00 PM,45881.9,27.55,55099.1,,,,
132,10/25/19 02:50:00 PM,45881.9,27.53,55121.5,,,,
133,10/25/19 03:00:00 PM,45927.3,27.55,55153.7,,,,
134,10/25/19 03:10:00 PM,45836.6,27.52,55078.3,,,,
135,10/25/19 03:20:00 PM,45881.9,27.52,55132.7,,,,
136,10/25/19 03:30:00 PM,45808.4,27.57,54988.6,,,,
137,10/25/19 03:40:00 PM,45797.1,27.56,54986.2,,,,
138,10/25/19 03:50:00 PM,45763.2,27.53,54978.9,,,,
139,10/25/19 04:00:00 PM,45797.1,27.53,55019.6,,,,
140,10/25/19 04:10:00 PM,45695.6,27.51,54920.0,,,,
141,10/25/19 04:20:00 PM,45695.6,27.53,54897.7,,,,
142,10/25/19 04:30:00 PM,45656.2,27.55,54828.1,,,,
143,10/25/19 04:40:00 PM,45690.0,27.53,54891.0,,,,
144,10/25/19 04:50:00 PM,45678.7,27.53,54877.4,,,,
145,10/25/19 05:00:00 PM,45712.5,27.53,54918.0,,,,
146,10/25/19 05:10:00 PM,45701.2,27.52,54915.6,,,,
147,10/25/19 05:20:00 PM,45616.9,27.51,54825.4,,,,
148,10/25/19 05:30:00 PM,45588.8,27.48,54825.0,,,,
149,10/25/19 05:40:00 PM,45549.6,27.47,54789.0,,,,
150,10/25/19 05:50:00 PM,45555.2,27.46,54806.8,,,,
151,10/25/19 06:00:00 PM,45532.8,27.45,54791.0,,,,
152,10/25/19 06:10:00 PM,45482.5,27.44,54741.6,,,,
153,10/25/19 06:20:00 PM,45488.1,27.41,54781.7,,,,
154,10/25/19 06:30:00 PM,45449.0,27.39,54756.9,,,,
155,10/25/19 06:40:00 PM,45426.7,27.36,54763.4,,,,
156,10/25/19 06:50:00 PM,45454.6,27.34,54819.4,,,,
157,10/25/19 07:00:00 PM,45348.7,27.30,54736.2,,,,
158,10/25/19 07:10:00 PM,45354.3,27.28,54765.2,,,,
159,10/25/19 07:20:00 PM,45382.1,27.24,54843.5,,,,
160,10/25/19 07:30:00 PM,45226.7,27.22,54678.0,,,,
161,10/25/19 07:40:00 PM,45271.0,27.18,54776.2,,,,
162,10/25/19 07:50:00 PM,45271.0,27.15,54809.7,,,,
163,10/25/19 08:00:00 PM,45182.4,27.12,54735.9,,,,
164,10/25/19 08:10:00 PM,45210.1,27.11,54780.7,,,,
