Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20201102,11:14:00,11:26:00
1,2,18,20201102,11:27:00,11:37:00
1,3,74,20201102,11:39:00,11:49:00
1,4,102,20201102,11:51:00,12:01:00
1,5,175,20201102,12:03:00,12:14:00
1,6,253,20201102,12:17:00,12:27:00
1,7,528,20201102,12:29:00,12:39:00
1,8,765,20201102,12:42:00,12:52:00
1,9,905,20201102,12:54:00,13:04:00
1,10,1048,20201102,13:06:00,13:16:00
2,1,0,20201102,16:12:00,16:22:00
2,2,18,20201102,16:24:00,16:34:00
2,3,74,20201102,16:37:00,16:57:00
2,4,102,20201102,16:59:00,17:09:00
2,5,175,20201102,17:11:00,17:21:00
2,6,253,20201102,17:23:00,17:35:00
2,7,528,20201102,17:37:00,17:47:00
2,8,765,20201102,17:49:00,17:59:00
2,9,905,20201102,18:01:00,18:13:00
2,10,1048,20201102,18:15:00,18:25:00
3,1,0,20201103,08:09:00,08:23:00
3,2,18,20201103,08:26:00,08:36:00
3,3,74,20201103,08:38:00,08:48:00
3,4,102,20201103,08:50:00,09:00:00
3,5,175,20201103,09:03:00,09:13:00
3,6,253,20201103,09:15:00,09:28:00
3,7,528,20201103,09:30:00,09:40:00
3,8,765,20201103,09:43:00,09:53:00
3,9,905,20201103,09:55:00,10:05:00
3,10,1048,20201103,10:07:00,10:19:00
4,1,0,20201103,13:10:00,13:20:00
4,2,18,20201103,13:22:00,13:32:00
4,3,74,20201103,13:34:00,13:44:00
4,4,102,20201103,13:46:00,13:56:00
4,5,175,20201103,13:58:00,14:08:00
4,6,253,20201103,14:10:00,14:22:00
4,7,528,20201103,14:24:00,14:36:00
4,8,765,20201103,14:38:00,14:48:00
4,9,905,20201103,14:50:00,14:59:00
4,10,1048,20201103,15:00:00,15:11:00
5,1,0,20201104,08:26:00,08:36:00
5,2,18,20201104,08:38:00,08:48:00
5,3,74,20201104,08:50:00,09:00:00
5,4,102,20201104,09:02:00,09:12:00
5,5,175,20201104,09:14:00,09:24:00
5,6,253,20201104,09:26:00,09:36:00
5,7,528,20201104,09:38:00,09:49:00
5,8,765,20201104,09:59:00,10:01:00
5,9,905,20201104,10:03:00,10:13:00
5,10,1048,20201104,10:15:00,10:25:00
6,1,0,20201104,13:14:00,13:24:00
6,2,18,20201104,13:26:00,13:36:00
6,3,74,20201104,13:38:00,13:48:00
6,4,102,20201104,13:50:00,14:00:00
6,5,175,20201104,14:02:00,14:12:00
6,6,253,20201104,14:14:00,14:24:00
6,7,528,20201104,14:26:00,14:36:00
6,8,765,20201104,14:38:00,14:48:00
6,9,905,20201104,14:50:00,15:00:00
6,10,1048,20201104,15:02:00,15:12:00
7,1,0,20201105,08:15:00,08:25:00
7,2,18,20201105,08:27:00,08:37:00
7,3,74,20201105,08:39:00,08:49:00
7,4,102,20201105,08:51:00,09:01:00
7,5,175,20201105,09:03:00,09:13:00
7,6,253,20201105,09:15:00,09:25:00
7,7,528,20201105,09:27:00,09:37:00
7,8,765,20201105,09:39:00,09:49:00
7,9,905,20201105,09:51:00,10:01:00
7,10,1048,20201105,10:03:00,10:13:00
8,1,0,20201105,12:53:00,13:03:00
8,2,18,20201105,13:05:00,13:15:00
8,3,74,20201105,13:17:00,13:27:00
8,4,102,20201105,13:29:00,13:39:00
8,5,175,20201105,13:43:00,13:53:00
8,6,253,20201105,13:55:00,14:05:00
8,7,528,20201105,14:07:00,14:17:00
8,8,765,20201105,14:19:00,14:29:00
8,9,905,20201105,14:31:00,14:41:00
8,10,1048,20201105,14:43:00,14:53:00
9,1,0,20201106,07:52:00,08:02:00
9,2,18,20201106,08:04:00,08:14:00
9,3,74,20201106,08:16:00,08:26:00
9,4,102,20201106,08:28:00,08:38:00
9,5,175,20201106,08:40:00,08:50:00
9,6,253,20201106,08:52:00,09:02:00
9,7,528,20201106,09:04:00,09:14:00
9,8,765,20201106,09:16:00,09:26:00
9,9,905,20201106,09:28:00,09:38:00
9,10,1048,20201106,09:40:00,09:50:00
10,1,0,20201106,12:37:00,12:47:00
10,2,18,20201106,12:49:00,12:59:00
10,3,74,20201106,13:01:00,13:11:00
10,4,102,20201106,13:13:00,13:23:00
10,5,175,20201106,13:25:00,13:37:00
10,6,253,20201106,13:38:00,13:48:00
10,7,528,20201106,13:53:00,14:03:00
10,8,765,20201106,14:05:00,14:15:00
10,9,905,20201106,14:17:00,14:27:00
10,10,1048,20201106,14:29:00,14:39:00
11,1,0,20201107,08:35:00,08:45:00
11,2,18,20201107,08:47:00,08:57:00
11,3,74,20201107,08:59:00,09:09:00
11,4,102,20201107,09:11:00,09:21:00
11,5,175,20201107,09:23:00,09:33:00
11,6,253,20201107,09:35:00,09:45:00
11,7,528,20201107,09:47:00,09:57:00
11,8,765,20201107,09:59:00,10:09:00
11,9,905,20201107,10:13:00,10:23:00
11,10,1048,20201107,10:25:00,10:35:00
12,1,0,20201107,13:13:00,13:23:00
12,2,18,20201107,13:25:00,13:35:00
12,3,74,20201107,13:37:00,13:47:00
12,4,102,20201107,13:49:00,13:59:00
12,5,175,20201107,14:01:00,14:11:00
12,6,253,20201107,14:13:00,14:23:00
12,7,528,20201107,14:25:00,14:35:00
12,8,765,20201107,14:37:00,14:47:00
12,9,905,20201107,14:49:00,14:59:00
12,10,1048,20201107,15:01:00,15:11:00
