Date,colony_id,Chamber.Channel,Position,Bin.ID,Run,Fragment.Number,Temp.Cat,Chamber.Vol.L,Notes
20201106,ACR-139,6,12,2,9,1,26.8,0.605,
20201106,ACR-145,1,1,1,9,2,26.8,0.6,
20201106,ACR-150,10,10,2,9,3,26.8,0.605,
20201106,ACR-173,4,4,1,10,1,26.8,0.62,
20201106,ACR-175,2,2,1,10,2,26.8,0.61,
20201106,ACR-176,9,9,2,10,3,26.8,0.59,
20201107,ACR-178,10,10,2,11,1,26.8,0.6,
20201107,ACR-180,5,6,1,11,2,26.8,0.605,
20201107,ACR-185,1,1,1,11,3,26.8,0.6,
20201107,ACR-186,7,7,2,12,1,26.8,0.61,
20201107,ACR-187,1,1,1,12,2,26.8,0.6,
20201102,ACR-210,1,1,1,2,1,26.8,0.61,
20201102,ACR-213,6,12,2,2,2,26.8,0.605,
20201102,ACR-218,3,3,1,2,3,26.8,0.62,
20201103,ACR-220,6,12,2,3,1,26.8,0.61,
20201103,ACR-225,8,8,2,3,2,26.8,0.605,
20201103,ACR-229,1,1,1,3,3,26.8,0.6,
20201102,ACR-234,10,10,2,1,1,26.8,0.6,NA
20201102,ACR-237,6,12,2,1,2,26.8,0.605,
20201103,ACR-241,4,4,1,4,1,26.8,0.6,
20201102,ACR-244,5,6,1,1,3,26.8,0.6,
20201103,ACR-256,9,9,2,4,2,26.8,0.61,
20201103,ACR-267,2,2,1,4,3,26.8,0.605,
20201104,ACR-343,1,1,1,5,1,26.8,0.595,
20201104,ACR-368,6,12,2,5,2,26.8,0.595,
20201104,ACR-389,6,12,2,6,2,26.8,0.6,
20201105,ACR-390,1,1,1,7,1,26.8,0.595,
20201105,ACR-393,1,1,1,8,1,26.8,0.61,
20201104,ACR-398,4,4,1,6,1,26.8,0.61,"Tag is actually ACR-396, verified by field photos by DC (haven't changed in any data but metadata sheets yet)"
20201102,BK-1,2,2,1,1,NA,26.8,0.615,
20201106,BK-10,8,8,2,10,NA,26.8,0.625,
20201107,BK-11,7,7,2,11,NA,26.8,0.61,
20201107,BK-12,8,8,2,12,NA,26.8,0.62,
20201102,BK-2,4,4,1,2,NA,26.8,0.61,
20201103,BK-3,3,3,1,3,NA,26.8,0.615,
20201103,BK-4,5,6,2,4,NA,26.8,0.61,
20201104,BK-5,8,8,2,5,NA,26.8,0.61,
20201104,BK-6,9,9,2,6,NA,26.8,0.61,
20201105,BK-7,5,6,1,7,NA,26.8,0.6,
20201105,BK-8,2,2,1,8,NA,26.8,0.615,
20201106,BK-9,4,4,1,9,NA,26.8,0.61,
20201102,POC-200,4,4,1,1,4,26.8,0.605,Chamber 11 was always for channel 4 and position 4 since chamber 4 was broken
20201102,POC-205,1,1,1,1,5,26.8,0.6,
20201102,POC-207,3,3,1,1,6,26.8,0.6,
20201102,POC-219,2,2,1,2,4,26.8,0.615,
20201102,POC-222,7,7,2,2,5,26.8,0.6,
20201102,POC-238,10,10,2,2,6,26.8,0.595,
20201103,POC-239,4,4,1,3,4,26.8,0.605,
20201103,POC-248,9,9,2,3,5,26.8,0.6,
20201103,POC-254,2,2,1,3,6,26.8,0.61,
20201103,POC-255,6,12,2,4,4,26.8,0.57,
20201103,POC-257,8,8,2,4,5,26.8,0.605,
20201103,POC-259,1,1,1,4,6,26.8,0.595,
20201105,POC-346,8,8,2,8,9,26.8,0.61,
20201104,POC-358,5,6,1,5,3,26.8,0.615,
20201104,POC-359,10,10,2,5,4,26.8,0.595,
20201104,POC-366,2,2,1,5,5,26.8,0.6,
20201104,POC-369,7,7,2,5,6,26.8,0.605,
20201104,POC-371,3,3,1,6,3,26.8,0.6,
20201104,POC-372,1,1,1,6,4,26.8,0.59,
20201104,POC-373,10,10,2,6,5,26.8,0.585,
20201105,POC-375,9,9,2,7,2,26.8,0.59,
20201105,POC-377,6,12,2,7,3,26.8,0.595,
20201105,POC-378,2,2,1,7,4,26.8,0.6,
20201105,POC-386,10,10,2,7,5,26.8,0.595,
20201105,POC-391,6,12,2,8,2,26.8,0.595,
20201105,POC-394,5,6,1,8,4,26.8,0.605,
20201105,POC-395,10,10,2,8,3,26.8,0.6,
20201106,POC-40,9,9,2,9,4,26.8,0.595,
20201106,POC-42,2,2,1,9,5,26.8,0.605,
20201106,POC-43,3,3,1,9,6,26.8,0.605,
20201106,POC-44,3,3,1,10,4,26.8,0.615,
20201106,POC-45,6,12,2,10,5,26.8,0.595,
20201106,POC-47,10,10,2,10,6,26.8,0.595,
20201107,POC-48,6,12,2,12,6,26.8,0.6,
20201107,POC-50,4,4,1,12,5,26.8,0.605,
20201107,POC-52,2,2,1,11,4,26.8,0.605,
20201107,POC-53,9,9,2,11,5,26.8,0.605,
20201107,POC-55,6,12,2,11,6,26.8,0.595,
20201107,POC-57,10,10,2,12,3,26.8,0.595,
20201107,POC-68,3,3,1,12,4,26.8,0.6,
20201102,POR-209,9,9,2,1,7,26.8,0.6,
20201102,POR-214,7,7,2,1,8,26.8,0.595,
20201102,POR-216,8,8,2,1,9,26.8,0.605,
20201103,POR-221,10,10,2,3,7,26.8,0.6,
20201102,POR-224,9,9,2,2,7,26.8,0.61,
20201102,POR-240,5,5,1,2,9,26.8,0.6,
20201103,POR-242,7,7,2,3,8,26.8,0.6,
20201103,POR-245,5,6,1,3,9,26.8,0.61,
20201103,POR-251,10,10,2,4,7,26.8,0.6,
20201103,POR-253,7,7,2,4,8,26.8,0.605,
20201102,POR-260,8,8,2,2,8,26.8,0.6,
20201103,POR-262,3,3,1,4,9,26.8,0.6,
20201104,POR-338,3,3,1,5,7,26.8,0.62,
20201104,POR-340,9,9,2,5,8,26.8,0.61,
20201104,POR-341,4,4,1,5,9,26.8,0.6,
20201104,POR-349,7,7,2,6,6,26.8,0.59,
20201104,POR-353,2,2,1,6,7,26.8,0.6,
20201104,POR-354,8,8,2,6,8,26.8,0.59,
20201104,POR-365,5,6,1,6,9,26.8,0.6,
20201105,POR-357,4,4,1,7,6,26.8,0.62,
20201105,POR-362,8,8,2,7,7,26.8,0.61,
20201105,POR-367,3,3,1,7,8,26.8,0.615,
20201105,POR-381,9,9,2,8,5,26.8,0.59,
20201105,POR-383,3,3,1,8,6,26.8,0.615,
20201105,POR-384,7,7,2,8,7,26.8,0.61,
20201105,POR-385,4,4,1,8,8,26.8,0.6,
20201106,POR-69,5,6,1,9,7,26.8,0.61,
20201106,POR-70,7,7,2,9,8,26.8,0.61,
20201106,POR-71,8,8,2,9,9,26.8,0.605,
20201106,POR-72,7,7,2,10,7,26.8,0.605,
20201106,POR-73,5,6,1,10,8,26.8,0.61,
20201106,POR-74,1,1,1,10,9,26.8,0.595,
20201107,POR-75,3,3,1,11,7,26.8,0.605,
20201107,POR-76,8,8,2,11,8,26.8,0.57,
20201107,POR-79,4,4,1,11,9,26.8,0.61,
20201107,POR-81,9,9,2,12,7,26.8,0.61,
20201107,POR-82,2,2,1,12,8,26.8,0.6,
20201107,POR-83,5,6,1,12,9,26.8,0.61,
