"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h"
"1","ACR-139","0",13,-0.000134403839200583,-0.483853821122098
"2","ACR-139","120",13,-3.52394086842107e-05,-0.126861871263159
"3","ACR-139","175",13,1.78868193086629e-05,0.0643925495111864
"4","ACR-139","280",13,2.79255207808323e-05,0.100531874810996
"5","ACR-139","437",13,6.59586921374748e-05,0.237451291694909
"6","ACR-139","652",13,0.000128600795765557,0.462962864756007
"7","ACR-139","67",13,-8.89774382369791e-05,-0.320318777653125
"8","ACR-139","733",13,0.000158413393828822,0.570288217783761
"9","ACR-139","833",13,0.000156055812878464,0.56180092636247
"10","ACR-139","94",13,-6.15710693616144e-05,-0.221655849701812
"11","ACR-140","0",12,-0.000116456679736216,-0.419244047050377
"12","ACR-140","120",12,-2.12909053295608e-05,-0.0766472591864188
"13","ACR-140","175",12,-2.21373900788015e-06,-0.00796946042836853
"14","ACR-140","280",12,1.70465005411256e-05,0.0613674019480523
"15","ACR-140","437",12,5.02200486777287e-05,0.180792175239823
"16","ACR-140","652",12,7.05184637817176e-05,0.253866469614183
"17","ACR-140","67",12,-6.64445480730608e-05,-0.239200373063019
"18","ACR-140","733",12,7.27309259307952e-05,0.261831333350863
"19","ACR-140","833",12,8.83935382102455e-05,0.318216737556884
"20","ACR-140","94",12,-4.50632295575089e-05,-0.162227626407032
"21","ACR-145","0",14,-7.11455667241838e-05,-0.256124040207062
"22","ACR-145","120",14,2.62188539159744e-05,0.0943878740975079
"23","ACR-145","175",14,0.000101655407255358,0.365959466119289
"24","ACR-145","280",14,7.38654178490194e-05,0.26591550425647
"25","ACR-145","437",14,0.000126671561424274,0.456017621127386
"26","ACR-145","652",14,0.00017404959498749,0.626578541954964
"27","ACR-145","67",14,-2.35163563613427e-05,-0.0846588829008336
"28","ACR-145","733",14,0.000157578671247637,0.567283216491495
"29","ACR-145","833",14,0.000172022790988905,0.619282047560058
"30","ACR-145","94",14,-6.91194270586515e-06,-0.0248829937411145
"31","ACR-150","0",11,-0.000203994477759262,-0.734380119933344
"32","ACR-150","120",11,-0.000104509370574734,-0.376233734069041
"33","ACR-150","175",11,-6.02653413482447e-05,-0.216955228853681
"34","ACR-150","280",11,6.35406518928323e-06,0.0228746346814196
"35","ACR-150","437",11,8.8433989792092e-05,0.318362363251531
"36","ACR-150","652",11,0.000153903736586291,0.554053451710648
"37","ACR-150","67",11,-0.000176426716859256,-0.635136180693322
"38","ACR-150","733",11,0.000181909433335861,0.6548739600091
"39","ACR-150","833",11,0.000213860510956351,0.769897839442862
"40","ACR-150","94",11,-0.000136552956327074,-0.491590642777465
"41","ACR-165","0",14,-0.000125020371696544,-0.450073338107557
"42","ACR-165","120",14,6.00719777285339e-05,0.216259119822722
"43","ACR-165","175",14,0.00012186871738449,0.438727382584164
"44","ACR-165","280",14,0.000127845167941556,0.460242604589603
"45","ACR-165","437",14,0.00016442263414255,0.59192148291318
"46","ACR-165","652",14,0.000246712944306411,0.88816659950308
"47","ACR-165","67",14,-1.20527384979847e-05,-0.0433898585927448
"48","ACR-165","733",14,0.000200105170056649,0.720378612203935
"49","ACR-165","833",14,0.000197781262115512,0.712012543615843
"50","ACR-165","94",14,-1.33914434905544e-05,-0.0482091965659957
"51","ACR-173","0",15,-0.000119931211782502,-0.431752362417008
"52","ACR-173","120",15,-6.09361190578596e-05,-0.219370028608295
"53","ACR-173","175",15,-3.60581488391917e-05,-0.12980933582109
"54","ACR-173","280",15,-6.71173083299535e-06,-0.0241622309987833
"55","ACR-173","437",15,2.27338427182304e-05,0.0818418337856296
"56","ACR-173","652",15,4.88959068825704e-05,0.176025264777253
"57","ACR-173","67",15,-9.36884951750153e-05,-0.337278582630055
"58","ACR-173","733",15,5.99980839042986e-05,0.215993102055475
"59","ACR-173","833",15,6.20783167944544e-05,0.223481940460036
"60","ACR-173","94",15,-8.19110659128966e-05,-0.294879837286428
"61","ACR-175","0",15,-0.00013551564403715,-0.48785631853374
"62","ACR-175","120",15,-6.89915346695953e-05,-0.248369524810543
"63","ACR-175","175",15,-4.60842187552885e-05,-0.165903187519038
"64","ACR-175","280",15,-3.98441664472186e-06,-0.0143438999209987
"65","ACR-175","437",15,8.17776385660094e-05,0.294399498837634
"66","ACR-175","652",15,6.71674104573025e-05,0.241802677646289
"67","ACR-175","67",15,-0.000111997313096207,-0.403190327146345
"68","ACR-175","733",15,9.71697700160034e-05,0.349811172057612
"69","ACR-175","833",15,0.00016207928724191,0.583485434070877
"70","ACR-175","94",15,-8.37336521741734e-05,-0.301441147827024
"71","ACR-176","0",12,-0.000108389573979364,-0.390202466325709
"72","ACR-176","120",12,-1.48582970357338e-05,-0.0534898693286418
"73","ACR-176","175",12,1.52789970404038e-05,0.0550043893454538
"74","ACR-176","280",12,6.01622233362415e-05,0.216584004010469
"75","ACR-176","437",12,9.62231723772755e-05,0.346403420558192
"76","ACR-176","652",12,0.000158793709099991,0.571657352759968
"77","ACR-176","67",12,-6.53674509742788e-05,-0.235322823507404
"78","ACR-176","733",12,0.000164903261802777,0.593651742489999
"79","ACR-176","833",12,0.000162975313712731,0.58671112936583
"80","ACR-176","94",12,-4.05873063967965e-05,-0.146114303028467
"81","ACR-180","0",11,-0.000137349334719511,-0.494457604990241
"82","ACR-180","120",11,-3.89755659183682e-05,-0.140312037306126
"83","ACR-180","175",11,-1.87269843632235e-07,-0.000674171437076047
"84","ACR-180","280",11,4.82020383265209e-05,0.173527337975475
"85","ACR-180","437",11,0.000106768694668048,0.384367300804974
"86","ACR-180","652",11,0.000148622138551621,0.535039698785834
"87","ACR-180","67",11,-9.85832743570511e-05,-0.354899787685384
"88","ACR-180","733",11,0.000144315272480622,0.519534980930239
"89","ACR-180","833",11,0.000150015367658224,0.540055323569606
