colony_id,site,species,cells.cm2,timepoint
ACR-139,site1,Acropora,628007.831347874,timepoint1
ACR-140,site1,Acropora,403797.65495195787,timepoint1
ACR-145,site1,Acropora,684950.3592261618,timepoint1
ACR-150,site1,Acropora,909111.3739112094,timepoint1
ACR-165,site1,Acropora,756468.5765855879,timepoint1
ACR-173,site1,Acropora,800364.3335461013,timepoint1
ACR-175,site1,Acropora,501703.5927977748,timepoint1
ACR-176,site1,Acropora,661656.7089366637,timepoint1
ACR-180,site1,Acropora,698302.8262415257,timepoint1
ACR-185,site1,Acropora,1161806.0150184236,timepoint1
ACR-186,site1,Acropora,367883.10358260013,timepoint1
ACR-187,site1,Acropora,364729.87702685565,timepoint1
ACR-190,site1,Acropora,872883.7337180483,timepoint1
ACR-193,site1,Acropora,543955.1263532046,timepoint1
ACR-225,site2,Acropora,1000335.9764401648,timepoint1
ACR-228,site2,Acropora,311674.74054548086,timepoint1
ACR-229,site2,Acropora,686473.195416689,timepoint1
ACR-231,site2,Acropora,1012848.9774803923,timepoint1
ACR-234,site2,Acropora,624913.2426493893,timepoint1
ACR-237,site2,Acropora,1024920.0037258373,timepoint1
ACR-243,site2,Acropora,626846.3239282764,timepoint1
ACR-244,site2,Acropora,906245.1820969206,timepoint1
ACR-246,site2,Acropora,975763.9038817496,timepoint1
ACR-247,site2,Acropora,1104374.729559669,timepoint1
ACR-256,site2,Acropora,1016825.9865274662,timepoint1
ACR-258,site2,Acropora,1160024.2199149523,timepoint1
ACR-265,site2,Acropora,643177.2713739,timepoint1
ACR-343,site3,Acropora,826242.7505304938,timepoint1
ACR-345,site3,Acropora,291745.5501985981,timepoint1
ACR-350,site3,Acropora,263531.1206851815,timepoint1
ACR-351,site3,Acropora,424609.0220892389,timepoint1
ACR-363,site3,Acropora,464491.0597551168,timepoint1
ACR-364,site3,Acropora,634614.3056467859,timepoint1
ACR-368,site3,Acropora,898082.5095452974,timepoint1
ACR-374,site3,Acropora,563790.2771917161,timepoint1
ACR-379,site3,Acropora,676447.6517756175,timepoint1
ACR-389,site3,Acropora,363611.67381156515,timepoint1
ACR-390,site3,Acropora,222696.2175447819,timepoint1
ACR-393,site3,Acropora,571105.952292991,timepoint1
ACR-396,site3,Acropora,517254.05288023344,timepoint1
ACR-51,site1,Acropora,571118.1028933075,timepoint1
POC-200,site2,Pocillopora,387541.62184295664,timepoint1
